CANTON_CODIGO;PROVINCIA_CODIGO;PROVINCIA_NOMBRE;CANTON_NOMBRE
0000;00;Total Nacional;Total Nacional
0101;01;Azuay;Cuenca
0103;01;Azuay;Gualaceo
0102;01;Azuay;Girón
0105;01;Azuay;Paute
0109;01;Azuay;Sigsig
0108;01;Azuay;Santa Isabel
0106;01;Azuay;Pucará
0115;01;Azuay;Camilo Ponce Enríquez
0110;01;Azuay;Oña
0107;01;Azuay;San Fernando
0104;01;Azuay;Nabón
0111;01;Azuay;Chordeleg
0113;01;Azuay;Sevilla De Oro
0112;01;Azuay;El Pan
0114;01;Azuay;Guachapala
0201;02;Bolívar;Guaranda
0203;02;Bolívar;Chimbo
0205;02;Bolívar;San Miguel
0202;02;Bolívar;Chillanes
0204;02;Bolívar;Echeandía
0206;02;Bolívar;Caluma
0207;02;Bolívar;Las Naves
0301;03;Cañar;Azogues
0303;03;Cañar;Cañar
0307;03;Cañar;Suscal
0302;03;Cañar;Biblián
0304;03;Cañar;La Troncal
0305;03;Cañar;El Tambo
0306;03;Cañar;Deleg
0401;04;Carchi;Tulcán
0405;04;Carchi;Montúfar
0403;04;Carchi;Espejo
0404;04;Carchi;Mira
0402;04;Carchi;Bolívar
0406;04;Carchi;San Pedro De Huaca
0501;05;Cotopaxi;Latacunga
0504;05;Cotopaxi;Pujilí
0505;05;Cotopaxi;Salcedo
0506;05;Cotopaxi;Saquisilí
0503;05;Cotopaxi;Pangua
0502;05;Cotopaxi;La Maná
0507;05;Cotopaxi;Sigchos
0604;06;Chimborazo;Chambo
0601;06;Chimborazo;Riobamba
0607;06;Chimborazo;Guano
0603;06;Chimborazo;Colta
0606;06;Chimborazo;Guamote
0602;06;Chimborazo;Alausí
0605;06;Chimborazo;Chunchi
0609;06;Chimborazo;Penipe
0608;06;Chimborazo;Pallatanga
0610;06;Chimborazo;Cumandá
0701;07;El Oro;Machala
0712;07;El Oro;Santa Rosa
0713;07;El Oro;Zaruma
0709;07;El Oro;Pasaje
0710;07;El Oro;Piñas
0702;07;El Oro;Arenillas
0706;07;El Oro;El Guabo
0705;07;El Oro;Chilla
0711;07;El Oro;Portovelo
0707;07;El Oro;Huaquillas
0703;07;El Oro;Atahualpa
0714;07;El Oro;Las Lajas
0708;07;El Oro;Marcabelí
0704;07;El Oro;Balsas
0801;08;Esmeraldas;Esmeraldas
0807;08;Esmeraldas;Río Verde
0802;08;Esmeraldas;Eloy Alfaro
0803;08;Esmeraldas;Muisne
0804;08;Esmeraldas;Quinindé
0805;08;Esmeraldas;San Lorenzo
0806;08;Esmeraldas;Atacames
0903;09;Guayas;Balao
0905;09;Guayas;Colimes
0908;09;Guayas;El Empalme
0901;09;Guayas;Guayaquil
0920;09;Guayas;Yaguachi
0906;09;Guayas;Daule
0904;09;Guayas;Balzar
0910;09;Guayas;Milagro
0916;09;Guayas;Samborondón
0919;09;Guayas;Salitre
0911;09;Guayas;Naranjal
0909;09;Guayas;El Triunfo
0912;09;Guayas;Naranjito
0913;09;Guayas;Palestina
0914;09;Guayas;Pedro Carbo
0921;09;Guayas;Playas
0922;09;Guayas;Simón Bolívar
0907;09;Guayas;Durán
0902;09;Guayas;A.Baquerizo Moreno
0918;09;Guayas;Santa Lucía
0923;09;Guayas;Crnl. Marcelino Maridueñas
0924;09;Guayas;Lomas De Sargentillo
0925;09;Guayas;Nobol / Piedrahita
0927;09;Guayas;Gral. A. Elizalde
0928;09;Guayas;Isidro Ayora
1001;10;Imbabura;Ibarra
1004;10;Imbabura;Otavalo
1003;10;Imbabura;Cotacachi
1002;10;Imbabura;Antonio Ante
1005;10;Imbabura;Pimampiro
1006;10;Imbabura;Urcuquí
