Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS
10005,00,Total Nacional,0000,Total Nacional,Ecuador,Igualdad de género,Violencia de género,Porcentaje de mujeres que han vivido algún tipo de violencia de género,Total,Total,"64,9",No Aplica,"Indicador recoge el número de mujeres de 15 años y más de edad, que han vivido algún tipo de violencia de género por parte de cualquier persona a lo largo de su vida, expresado como porcentaje del total de mujeres de la edad de referencia.",2019,,INEC - ENVIGMU,Porcentaje,Personas,"ODS 5, 16"
10005,01,Azuay,0000,Total Nacional,Ecuador,Igualdad de género,Violencia de género,Porcentaje de mujeres que han vivido algún tipo de violencia de género,Total,Total,"79,2",No Aplica,"Indicador recoge el número de mujeres de 15 años y más de edad, que han vivido algún tipo de violencia de género por parte de cualquier persona a lo largo de su vida, expresado como porcentaje del total de mujeres de la edad de referencia.",2019,,INEC - ENVIGMU,Porcentaje,Personas,"ODS 5, 16"
10005,02,Bolívar,0000,Total Nacional,Ecuador,Igualdad de género,Violencia de género,Porcentaje de mujeres que han vivido algún tipo de violencia de género,Total,Total,"48,4",No Aplica,"Indicador recoge el número de mujeres de 15 años y más de edad, que han vivido algún tipo de violencia de género por parte de cualquier persona a lo largo de su vida, expresado como porcentaje del total de mujeres de la edad de referencia.",2019,,INEC - ENVIGMU,Porcentaje,Personas,"ODS 5, 16"
10005,03,Cañar,0000,Total Nacional,Ecuador,Igualdad de género,Violencia de género,Porcentaje de mujeres que han vivido algún tipo de violencia de género,Total,Total,"74,9",No Aplica,"Indicador recoge el número de mujeres de 15 años y más de edad, que han vivido algún tipo de violencia de género por parte de cualquier persona a lo largo de su vida, expresado como porcentaje del total de mujeres de la edad de referencia.",2019,,INEC - ENVIGMU,Porcentaje,Personas,"ODS 5, 16"
10005,04,Carchi,0000,Total Nacional,Ecuador,Igualdad de género,Violencia de género,Porcentaje de mujeres que han vivido algún tipo de violencia de género,Total,Total,"61,9",No Aplica,"Indicador recoge el número de mujeres de 15 años y más de edad, que han vivido algún tipo de violencia de género por parte de cualquier persona a lo largo de su vida, expresado como porcentaje del total de mujeres de la edad de referencia.",2019,,INEC - ENVIGMU,Porcentaje,Personas,"ODS 5, 16"
10005,05,Cotopaxi,0000,Total Nacional,Ecuador,Igualdad de género,Violencia de género,Porcentaje de mujeres que han vivido algún tipo de violencia de género,Total,Total,"64,3",No Aplica,"Indicador recoge el número de mujeres de 15 años y más de edad, que han vivido algún tipo de violencia de género por parte de cualquier persona a lo largo de su vida, expresado como porcentaje del total de mujeres de la edad de referencia.",2019,,INEC - ENVIGMU,Porcentaje,Personas,"ODS 5, 16"
10005,06,Chimborazo,0000,Total Nacional,Ecuador,Igualdad de género,Violencia de género,Porcentaje de mujeres que han vivido algún tipo de violencia de género,Total,Total,"51,9",No Aplica,"Indicador recoge el número de mujeres de 15 años y más de edad, que han vivido algún tipo de violencia de género por parte de cualquier persona a lo largo de su vida, expresado como porcentaje del total de mujeres de la edad de referencia.",2019,,INEC - ENVIGMU,Porcentaje,Personas,"ODS 5, 16"
10005,07,El Oro,0000,Total Nacional,Ecuador,Igualdad de género,Violencia de género,Porcentaje de mujeres que han vivido algún tipo de violencia de género,Total,Total,"70,2",No Aplica,"Indicador recoge el número de mujeres de 15 años y más de edad, que han vivido algún tipo de violencia de género por parte de cualquier persona a lo largo de su vida, expresado como porcentaje del total de mujeres de la edad de referencia.",2019,,INEC - ENVIGMU,Porcentaje,Personas,"ODS 5, 16"
10005,08,Esmeraldas,0000,Total Nacional,Ecuador,Igualdad de género,Violencia de género,Porcentaje de mujeres que han vivido algún tipo de violencia de género,Total,Total,"68,2",No Aplica,"Indicador recoge el número de mujeres de 15 años y más de edad, que han vivido algún tipo de violencia de género por parte de cualquier persona a lo largo de su vida, expresado como porcentaje del total de mujeres de la edad de referencia.",2019,,INEC - ENVIGMU,Porcentaje,Personas,"ODS 5, 16"
10005,09,Guayas,0000,Total Nacional,Ecuador,Igualdad de género,Violencia de género,Porcentaje de mujeres que han vivido algún tipo de violencia de género,Total,Total,"63,1",No Aplica,"Indicador recoge el número de mujeres de 15 años y más de edad, que han vivido algún tipo de violencia de género por parte de cualquier persona a lo largo de su vida, expresado como porcentaje del total de mujeres de la edad de referencia.",2019,,INEC - ENVIGMU,Porcentaje,Personas,"ODS 5, 16"
10005,10,Imbabura,0000,Total Nacional,Ecuador,Igualdad de género,Violencia de género,Porcentaje de mujeres que han vivido algún tipo de violencia de género,Total,Total,"73,6",No Aplica,"Indicador recoge el número de mujeres de 15 años y más de edad, que han vivido algún tipo de violencia de género por parte de cualquier persona a lo largo de su vida, expresado como porcentaje del total de mujeres de la edad de referencia.",2019,,INEC - ENVIGMU,Porcentaje,Personas,"ODS 5, 16"
10005,11,Loja,0000,Total Nacional,Ecuador,Igualdad de género,Violencia de género,Porcentaje de mujeres que han vivido algún tipo de violencia de género,Total,Total,"67,0",No Aplica,"Indicador recoge el número de mujeres de 15 años y más de edad, que han vivido algún tipo de violencia de género por parte de cualquier persona a lo largo de su vida, expresado como porcentaje del total de mujeres de la edad de referencia.",2019,,INEC - ENVIGMU,Porcentaje,Personas,"ODS 5, 16"
10005,12,Los Ríos,0000,Total Nacional,Ecuador,Igualdad de género,Violencia de género,Porcentaje de mujeres que han vivido algún tipo de violencia de género,Total,Total,"50,3",No Aplica,"Indicador recoge el número de mujeres de 15 años y más de edad, que han vivido algún tipo de violencia de género por parte de cualquier persona a lo largo de su vida, expresado como porcentaje del total de mujeres de la edad de referencia.",2019,,INEC - ENVIGMU,Porcentaje,Personas,"ODS 5, 16"
10005,13,Manabí,0000,Total Nacional,Ecuador,Igualdad de género,Violencia de género,Porcentaje de mujeres que han vivido algún tipo de violencia de género,Total,Total,"49,7",No Aplica,"Indicador recoge el número de mujeres de 15 años y más de edad, que han vivido algún tipo de violencia de género por parte de cualquier persona a lo largo de su vida, expresado como porcentaje del total de mujeres de la edad de referencia.",2019,,INEC - ENVIGMU,Porcentaje,Personas,"ODS 5, 16"
10005,14,Morona Santiago,0000,Total Nacional,Ecuador,Igualdad de género,Violencia de género,Porcentaje de mujeres que han vivido algún tipo de violencia de género,Total,Total,"78,9",No Aplica,"Indicador recoge el número de mujeres de 15 años y más de edad, que han vivido algún tipo de violencia de género por parte de cualquier persona a lo largo de su vida, expresado como porcentaje del total de mujeres de la edad de referencia.",2019,,INEC - ENVIGMU,Porcentaje,Personas,"ODS 5, 16"
