Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS,Nacionalidad
1010,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Peticionarios de refugio de nacionalidad venezolana,Total,Hombre,439,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por peticionario a la persona que presentó una solicitud de protección internacional bajo la figura de refugio.",2022,8,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Total
1010,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Peticionarios de refugio de nacionalidad venezolana,Total,Hombre,239,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por peticionario a la persona que presentó una solicitud de protección internacional bajo la figura de refugio.",2022,8,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Venezuela
1010,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Peticionarios de refugio de nacionalidad venezolana,Total,Mujer,408,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por peticionario a la persona que presentó una solicitud de protección internacional bajo la figura de refugio.",2022,8,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Total
1010,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Peticionarios de refugio de nacionalidad venezolana,Total,Mujer,252,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por peticionario a la persona que presentó una solicitud de protección internacional bajo la figura de refugio.",2022,8,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Venezuela
1010,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Peticionarios de refugio de nacionalidad venezolana,Total,Total,847,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por peticionario a la persona que presentó una solicitud de protección internacional bajo la figura de refugio.",2022,8,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Total
1010,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Peticionarios de refugio de nacionalidad venezolana,Total,Total,491,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por peticionario a la persona que presentó una solicitud de protección internacional bajo la figura de refugio.",2022,8,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Venezuela
1010,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Peticionarios de refugio de nacionalidad venezolana,Total,Hombre,393,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por peticionario a la persona que presentó una solicitud de protección internacional bajo la figura de refugio.",2022,7,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Total
1010,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Peticionarios de refugio de nacionalidad venezolana,Total,Hombre,176,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por peticionario a la persona que presentó una solicitud de protección internacional bajo la figura de refugio.",2022,7,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Venezuela
1010,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Peticionarios de refugio de nacionalidad venezolana,Total,Mujer,410,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por peticionario a la persona que presentó una solicitud de protección internacional bajo la figura de refugio.",2022,7,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Total
1010,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Peticionarios de refugio de nacionalidad venezolana,Total,Mujer,205,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por peticionario a la persona que presentó una solicitud de protección internacional bajo la figura de refugio.",2022,7,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Venezuela
1010,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Peticionarios de refugio de nacionalidad venezolana,Total,Total,803,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por peticionario a la persona que presentó una solicitud de protección internacional bajo la figura de refugio.",2022,7,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Total
1010,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Peticionarios de refugio de nacionalidad venezolana,Total,Total,381,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por peticionario a la persona que presentó una solicitud de protección internacional bajo la figura de refugio.",2022,7,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Venezuela
1010,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Peticionarios de refugio de nacionalidad venezolana,Total,Mujer,232,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por peticionario a la persona que presentó una solicitud de protección internacional bajo la figura de refugio.",2022,6,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Venezuela
1010,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Peticionarios de refugio de nacionalidad venezolana,Total,Hombre,213,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por peticionario a la persona que presentó una solicitud de protección internacional bajo la figura de refugio.",2022,6,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Venezuela
1010,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Peticionarios de refugio de nacionalidad venezolana,Total,Total,445,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por peticionario a la persona que presentó una solicitud de protección internacional bajo la figura de refugio.",2022,6,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Venezuela
1010,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Peticionarios de refugio de nacionalidad venezolana,Total,Mujer,414,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por peticionario a la persona que presentó una solicitud de protección internacional bajo la figura de refugio.",2022,6,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Total
1010,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Peticionarios de refugio de nacionalidad venezolana,Total,Hombre,381,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por peticionario a la persona que presentó una solicitud de protección internacional bajo la figura de refugio.",2022,6,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Total
1010,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Peticionarios de refugio de nacionalidad venezolana,Total,Total,795,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por peticionario a la persona que presentó una solicitud de protección internacional bajo la figura de refugio.",2022,6,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Total
1010,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Protección internacional,Peticionarios de refugio de nacionalidad venezolana,Total,Hombre,308,No Aplica,"De acuerdo al Ministerio de Relaciones Exteriores y Movilidad Humana, se entiende por peticionario a la persona que presentó una solicitud de protección internacional bajo la figura de refugio.",2022,5,Ministerio de Relaciones Exteriores y Movilidad Humana,Personas,Paz,"ODS 5, 16",Total
