"Código Indicador","Código Provincia","Provincia","Código Cantón","Cantón","País","Dimensión","Subcategoría","Indicador","Área","Sexo","Dato Numérico","Población","Dato Cualitativo","Año","Mes","Fuente","Unidad de medida","Grupo","ODS"
1015,"00","Total Nacional","0000","Total Nacional","Ecuador","Desplazamiento y migración","Flujos migratorios","Entrada de ecuatorianos","Total","Hombre","62328","No Aplica","Entrada de ciudadanos ecuatorianos.",2023,4,"INEC - Registro Estadístico de Entradas y Salidas Internacionales","Personas","Paz","ODS 5, 10, 16"
1015,"00","Total Nacional","0000","Total Nacional","Ecuador","Desplazamiento y migración","Flujos migratorios","Entrada de ecuatorianos","Total","Mujer","66519","No Aplica","Entrada de ciudadanos ecuatorianos.",2023,4,"INEC - Registro Estadístico de Entradas y Salidas Internacionales","Personas","Paz","ODS 5, 10, 16"
1015,"00","Total Nacional","0000","Total Nacional","Ecuador","Desplazamiento y migración","Flujos migratorios","Entrada de ecuatorianos","Total","Total","128847","No Aplica","Entrada de ciudadanos ecuatorianos.",2023,4,"INEC - Registro Estadístico de Entradas y Salidas Internacionales","Personas","Paz","ODS 5, 10, 16"
1015,"00","Total Nacional","0000","Total Nacional","Ecuador","Desplazamiento y migración","Flujos migratorios","Entrada de ecuatorianos","Total","Hombre","58191","No Aplica","Entrada de ciudadanos ecuatorianos.",2023,3,"INEC - Registro Estadístico de Entradas y Salidas Internacionales","Personas","Paz","ODS 5, 10, 16"
1015,"00","Total Nacional","0000","Total Nacional","Ecuador","Desplazamiento y migración","Flujos migratorios","Entrada de ecuatorianos","Total","Mujer","58149","No Aplica","Entrada de ciudadanos ecuatorianos.",2023,3,"INEC - Registro Estadístico de Entradas y Salidas Internacionales","Personas","Paz","ODS 5, 10, 16"
1015,"00","Total Nacional","0000","Total Nacional","Ecuador","Desplazamiento y migración","Flujos migratorios","Entrada de ecuatorianos","Total","Total","116340","No Aplica","Entrada de ciudadanos ecuatorianos.",2023,3,"INEC - Registro Estadístico de Entradas y Salidas Internacionales","Personas","Paz","ODS 5, 10, 16"
1015,"00","Total Nacional","0000","Total Nacional","Ecuador","Desplazamiento y migración","Flujos migratorios","Entrada de ecuatorianos","Total","Hombre","51391","No Aplica","Entrada de ciudadanos ecuatorianos.",2023,2,"INEC - Registro Estadístico de Entradas y Salidas Internacionales","Personas","Paz","ODS 5, 10, 16"
1015,"00","Total Nacional","0000","Total Nacional","Ecuador","Desplazamiento y migración","Flujos migratorios","Entrada de ecuatorianos","Total","Mujer","51737","No Aplica","Entrada de ciudadanos ecuatorianos.",2023,2,"INEC - Registro Estadístico de Entradas y Salidas Internacionales","Personas","Paz","ODS 5, 10, 16"
1015,"00","Total Nacional","0000","Total Nacional","Ecuador","Desplazamiento y migración","Flujos migratorios","Entrada de ecuatorianos","Total","Total","103128","No Aplica","Entrada de ciudadanos ecuatorianos.",2023,2,"INEC - Registro Estadístico de Entradas y Salidas Internacionales","Personas","Paz","ODS 5, 10, 16"
1015,"00","Total Nacional","0000","Total Nacional","Ecuador","Desplazamiento y migración","Flujos migratorios","Entrada de ecuatorianos","Total","Hombre","50445","No Aplica","Entrada de ciudadanos ecuatorianos.",2023,1,"INEC - Registro Estadístico de Entradas y Salidas Internacionales","Personas","Paz","ODS 5, 10, 16"
1015,"00","Total Nacional","0000","Total Nacional","Ecuador","Desplazamiento y migración","Flujos migratorios","Entrada de ecuatorianos","Total","Mujer","52829","No Aplica","Entrada de ciudadanos ecuatorianos.",2023,1,"INEC - Registro Estadístico de Entradas y Salidas Internacionales","Personas","Paz","ODS 5, 10, 16"
