Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS
1029,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Flujos migratorios,Número de encuentros en frontera sur de EE.UU. - Adultos solos,Total,Total,"3162,0",No Aplica,"Adultos solos (Single Adults, en original) de nacionalidad ecuatoriana. Se contabiliza el número total de encuentros procesados para expulsión bajo el Título 8 y Título 42.",2023,4,U.S. Customs and Border Protection,Personas,Paz,
1029,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Flujos migratorios,Número de encuentros en frontera sur de EE.UU. - Adultos solos,Total,Total,"3239,0",No Aplica,"Adultos solos (Single Adults, en original) de nacionalidad ecuatoriana. Se contabiliza el número total de encuentros procesados para expulsión bajo el Título 8 y Título 42.",2023,3,U.S. Customs and Border Protection,Personas,Paz,
1029,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Flujos migratorios,Número de encuentros en frontera sur de EE.UU. - Adultos solos,Total,Total,"2880,0",No Aplica,"Adultos solos (Single Adults, en original) de nacionalidad ecuatoriana. Se contabiliza el número total de encuentros procesados para expulsión bajo el Título 8 y Título 42.",2023,2,U.S. Customs and Border Protection,Personas,Paz,
1029,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Flujos migratorios,Número de encuentros en frontera sur de EE.UU. - Adultos solos,Total,Total,"3573,0",No Aplica,"Adultos solos (Single Adults, en original) de nacionalidad ecuatoriana. Se contabiliza el número total de encuentros procesados para expulsión bajo el Título 8 y Título 42.",2023,1,U.S. Customs and Border Protection,Personas,Paz,
1029,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Flujos migratorios,Número de encuentros en frontera sur de EE.UU. - Adultos solos,Total,Total,"5702,0",No Aplica,"Adultos solos (Single Adults, en original) de nacionalidad ecuatoriana. Se contabiliza el número total de encuentros procesados para expulsión bajo el Título 8 y Título 42.",2022,12,U.S. Customs and Border Protection,Personas,Paz,
1029,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Flujos migratorios,Número de encuentros en frontera sur de EE.UU. - Adultos solos,Total,Total,"4340,0",No Aplica,"Adultos solos (Single Adults, en original) de nacionalidad ecuatoriana. Se contabiliza el número total de encuentros procesados para expulsión bajo el Título 8 y Título 42.",2022,11,U.S. Customs and Border Protection,Personas,Paz,
1029,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Flujos migratorios,Número de encuentros en frontera sur de EE.UU. - Adultos solos,Total,Total,"2069,0",No Aplica,"Adultos solos (Single Adults, en original) de nacionalidad ecuatoriana. Se contabiliza el número total de encuentros procesados para expulsión bajo el Título 8 y Título 42.",2022,10,U.S. Customs and Border Protection,Personas,Paz,
1029,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Flujos migratorios,Número de encuentros en frontera sur de EE.UU. - Adultos solos,Total,Total,"1776,0",No Aplica,"Adultos solos (Single Adults, en original) de nacionalidad ecuatoriana. Se contabiliza el número total de encuentros procesados para expulsión bajo el Título 8 y Título 42.",2022,9,U.S. Customs and Border Protection,Personas,Paz,
1029,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Flujos migratorios,Número de encuentros en frontera sur de EE.UU. - Adultos solos,Total,Total,"1286,0",No Aplica,"Adultos solos (Single Adults, en original) de nacionalidad ecuatoriana. Se contabiliza el número total de encuentros procesados para expulsión bajo el Título 8 y Título 42.",2022,8,U.S. Customs and Border Protection,Personas,Paz,
1029,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Flujos migratorios,Número de encuentros en frontera sur de EE.UU. - Adultos solos,Total,Total,"1100,0",No Aplica,"Adultos solos (Single Adults, en original) de nacionalidad ecuatoriana. Se contabiliza el número total de encuentros procesados para expulsión bajo el Título 8 y Título 42.",2022,7,U.S. Customs and Border Protection,Personas,Paz,
1029,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Flujos migratorios,Número de encuentros en frontera sur de EE.UU. - Adultos solos,Total,Total,"1332,0",No Aplica,"Adultos solos (Single Adults, en original) de nacionalidad ecuatoriana. Se contabiliza el número total de encuentros procesados para expulsión bajo el Título 8 y Título 42.",2022,6,U.S. Customs and Border Protection,Personas,Paz,
1029,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Flujos migratorios,Número de encuentros en frontera sur de EE.UU. - Adultos solos,Total,Total,"1258,0",No Aplica,"Adultos solos (Single Adults, en original) de nacionalidad ecuatoriana. Se contabiliza el número total de encuentros procesados para expulsión bajo el Título 8 y Título 42.",2022,5,U.S. Customs and Border Protection,Personas,Paz,
1029,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Flujos migratorios,Número de encuentros en frontera sur de EE.UU. - Adultos solos,Total,Total,"837,0",No Aplica,"Adultos solos (Single Adults, en original) de nacionalidad ecuatoriana. Se contabiliza el número total de encuentros procesados para expulsión bajo el Título 8 y Título 42.",2022,4,U.S. Customs and Border Protection,Personas,Paz,
1029,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Flujos migratorios,Número de encuentros en frontera sur de EE.UU. - Adultos solos,Total,Total,"526,0",No Aplica,"Adultos solos (Single Adults, en original) de nacionalidad ecuatoriana. Se contabiliza el número total de encuentros procesados para expulsión bajo el Título 8 y Título 42.",2022,3,U.S. Customs and Border Protection,Personas,Paz,
1029,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Flujos migratorios,Número de encuentros en frontera sur de EE.UU. - Adultos solos,Total,Total,"401,0",No Aplica,"Adultos solos (Single Adults, en original) de nacionalidad ecuatoriana. Se contabiliza el número total de encuentros procesados para expulsión bajo el Título 8 y Título 42.",2022,2,U.S. Customs and Border Protection,Personas,Paz,
1029,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Flujos migratorios,Número de encuentros en frontera sur de EE.UU. - Adultos solos,Total,Total,"370,0",No Aplica,"Adultos solos (Single Adults, en original) de nacionalidad ecuatoriana. Se contabiliza el número total de encuentros procesados para expulsión bajo el Título 8 y Título 42.",2022,1,U.S. Customs and Border Protection,Personas,Paz,
1029,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Flujos migratorios,Número de encuentros en frontera sur de EE.UU. - Adultos solos,Total,Total,"399,0",No Aplica,"Adultos solos (Single Adults, en original) de nacionalidad ecuatoriana. Se contabiliza el número total de encuentros procesados para expulsión bajo el Título 8 y Título 42.",2021,12,U.S. Customs and Border Protection,Personas,Paz,
1029,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Flujos migratorios,Número de encuentros en frontera sur de EE.UU. - Adultos solos,Total,Total,"282,0",No Aplica,"Adultos solos (Single Adults, en original) de nacionalidad ecuatoriana. Se contabiliza el número total de encuentros procesados para expulsión bajo el Título 8 y Título 42.",2021,11,U.S. Customs and Border Protection,Personas,Paz,
1029,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Flujos migratorios,Número de encuentros en frontera sur de EE.UU. - Adultos solos,Total,Total,"578,0",No Aplica,"Adultos solos (Single Adults, en original) de nacionalidad ecuatoriana. Se contabiliza el número total de encuentros procesados para expulsión bajo el Título 8 y Título 42.",2021,10,U.S. Customs and Border Protection,Personas,Paz,
1029,00,Total Nacional,0000,Total Nacional,Ecuador,Desplazamiento y migración,Flujos migratorios,Número de encuentros en frontera sur de EE.UU. - Adultos solos,Total,Total,"4629,0",No Aplica,"Adultos solos (Single Adults, en original) de nacionalidad ecuatoriana. Se contabiliza el número total de encuentros procesados para expulsión bajo el Título 8 y Título 42.",2021,9,U.S. Customs and Border Protection,Personas,Paz,
