Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS
2002,00,Total Nacional,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Pobreza y desigualdad,Pobreza extrema por ingresos,Total,Total,"8,2",No Aplica,Se considera a una persona que es pobre extrema por ingresos cuando su ingreso per cápita está por debajo de la línea de pobreza extrema (conjunto de necesidades  basicas alimentarias  expresadas en un valor  monetario).,"2022,0",12,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Personas,ODS 1
2002,00,Total Nacional,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Pobreza y desigualdad,Pobreza extrema por ingresos,Urbano,Total,"3,9",No Aplica,Se considera a una persona que es pobre extrema por ingresos cuando su ingreso per cápita está por debajo de la línea de pobreza extrema (conjunto de necesidades  basicas alimentarias  expresadas en un valor  monetario).,"2022,0",12,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Personas,ODS 1
2002,00,Total Nacional,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Pobreza y desigualdad,Pobreza extrema por ingresos,Rural,Total,"17,4",No Aplica,Se considera a una persona que es pobre extrema por ingresos cuando su ingreso per cápita está por debajo de la línea de pobreza extrema (conjunto de necesidades  basicas alimentarias  expresadas en un valor  monetario).,"2022,0",12,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Personas,ODS 1
2002,00,Total Nacional,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Pobreza y desigualdad,Pobreza extrema por ingresos,Total,Total,"10,7",No Aplica,Se considera a una persona que es pobre extrema por ingresos cuando su ingreso per cápita está por debajo de la línea de pobreza extrema (conjunto de necesidades  basicas alimentarias  expresadas en un valor  monetario).,"2022,0",6,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Personas,ODS 1
2002,00,Total Nacional,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Pobreza y desigualdad,Pobreza extrema por ingresos,Urbano,Total,"5,2",No Aplica,Se considera a una persona que es pobre extrema por ingresos cuando su ingreso per cápita está por debajo de la línea de pobreza extrema (conjunto de necesidades  basicas alimentarias  expresadas en un valor  monetario).,"2022,0",6,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Personas,ODS 1
2002,00,Total Nacional,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Pobreza y desigualdad,Pobreza extrema por ingresos,Rural,Total,"22,7",No Aplica,Se considera a una persona que es pobre extrema por ingresos cuando su ingreso per cápita está por debajo de la línea de pobreza extrema (conjunto de necesidades  basicas alimentarias  expresadas en un valor  monetario).,"2022,0",6,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Personas,ODS 1
2002,00,Total Nacional,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Pobreza y desigualdad,Pobreza extrema por ingresos,Total,Total,"10,5",No Aplica,Se considera a una persona que es pobre extrema por ingresos cuando su ingreso per cápita está por debajo de la línea de pobreza extrema (conjunto de necesidades  basicas alimentarias  expresadas en un valor  monetario).,"2021,0",12,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Personas,ODS 1
2002,00,Total Nacional,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Pobreza y desigualdad,Pobreza extrema por ingresos,Urbano,Total,"5,9",No Aplica,Se considera a una persona que es pobre extrema por ingresos cuando su ingreso per cápita está por debajo de la línea de pobreza extrema (conjunto de necesidades  basicas alimentarias  expresadas en un valor  monetario).,"2021,0",12,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Personas,ODS 1
2002,00,Total Nacional,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Pobreza y desigualdad,Pobreza extrema por ingresos,Rural,Total,"20,3",No Aplica,Se considera a una persona que es pobre extrema por ingresos cuando su ingreso per cápita está por debajo de la línea de pobreza extrema (conjunto de necesidades  basicas alimentarias  expresadas en un valor  monetario).,"2021,0",12,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Personas,ODS 1
2002,00,Total Nacional,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Pobreza y desigualdad,Pobreza extrema por ingresos,Total,Total,"14,7",No Aplica,Se considera a una persona que es pobre extrema por ingresos cuando su ingreso per cápita está por debajo de la línea de pobreza extrema (conjunto de necesidades  basicas alimentarias  expresadas en un valor  monetario).,"2021,0",6,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Personas,ODS 1
