Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS
2007,00,Total Nacional,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"433087,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,01,Azuay,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"26509,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,02,Bolívar,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"3813,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,03,Cañar,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"5772,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,04,Carchi,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"3803,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,06,Chimborazo,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"12706,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,05,Cotopaxi,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"7882,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,07,El Oro,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"12961,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,08,Esmeraldas,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"8791,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,20,Galápagos,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"653,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,09,Guayas,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"99567,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,10,Imbabura,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"13517,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,11,Loja,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"13759,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,12,Los Ríos,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"8353,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,13,Manabí,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"23579,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,14,Morona Santiago,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"1803,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,15,Napo,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"1516,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,22,Orellana,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"783,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,16,Pastaza,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"1935,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,17,Pichincha,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"156440,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,24,Santa Elena,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"3600,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,23,Santo Domingo de los Tsáchilas,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"5045,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
2007,21,Sucumbios,0000,Total Nacional,Ecuador,"Cohesión social, equidad y no discriminación",Protección social contributiva,Personas con pensión por vejez,Total,Total,"1330,0",No Aplica,"Un afiliado accede a este beneficio cuando se cumpla una de las condiciones: 1. 60 o más años de edad y acredite por lo menos 360 imposiciones mensuales; 2. 65 o más años de edad, siempre que registre un mínimo de 180 imposiciones mensuales; 3. 70 o más años de edad, siempre que registre un mínimo de 120 imposiciones mensuales; 4. Con cualquier edad y acredite 480 imposiciones mensuales o más.",2021,,IESS - Boletín estadístico,Personas,Prosperidad,ODS 1
