"Código Indicador","Código Provincia","Provincia","Código Cantón","Cantón","País","Dimensión","Subcategoría","Indicador","Área","Sexo","Dato Numérico","Población","Dato Cualitativo","Año","Mes","Fuente","Unidad de medida","Grupo","ODS"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","47502,61412156","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2023,2,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","47689,5483111","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2023,1,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","47707,78363976","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2022,12,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","45744,82885988","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2022,11,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","45593,447171471","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2022,10,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","46057,83823678","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2022,9,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","46273,82767673","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2022,8,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","46485,09670656","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2022,7,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","46455,21856774","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2022,6,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","45784,41671156","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2022,5,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","45763,48480815","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2022,4,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","46221,97102282","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2022,3,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","45782,6301362","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2022,2,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","45790,65001111","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2022,1,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","46021,31259021","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2021,12,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","45025,54772676","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2021,11,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","45179,64509569","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2021,10,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","44056,83235087","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2021,9,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","44136,80951499","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2021,8,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","45044,0341184793","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2021,7,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","45111,641933537","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2021,6,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","45388,1767018263","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2021,5,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","45415,0422193147","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2021,4,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","45228,387529487","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2021,3,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","45252,9935912053","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2021,2,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","45200,8523823956","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2021,1,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","45368,908527265","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2020,12,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","42343,8745233293","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2020,11,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","42354,5830733257","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2020,10,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","40432,12610011","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2020,9,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","40503,6431048773","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2020,8,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","41814,3264105767","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2020,7,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","41349,845990179","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2020,6,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","41478,5740400563","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2020,5,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","40200,2956880157","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2020,4,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","41018,775112516","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2020,3,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","41494,5440485213","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2020,2,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","41737,6206657887","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2020,1,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","41476,215535134","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2019,12,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","40754,729467675","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2019,11,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","40825,196029566","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2019,10,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","40871,921779411","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2019,9,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","39288,844573362","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2019,8,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","39482,447608035","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2019,7,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
3005,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Deuda externa","Total","Total","39533,673263724","No Aplica","Deuda agregada. Cambios en metodología de cálculo de deuda pública en abril-2019 y julio-2021.",2019,6,"Ministerio de Economía y Finanzas","Millones de USD","Prosperidad","ODS 8"
