Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS
3012,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Sector productivo,Sector manufactura (sin refinación petróleo),Total,Total,"11,563888786995074",No Aplica,"Año base = 2007, (provisional)***",2022,,Banco Central del Ecuador,% de PIB,Prosperidad,ODS 8
3012,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Sector productivo,Sector manufactura (sin refinación petróleo),Total,Total,"11,838336425781476",No Aplica,"Año base = 2007, (provisional)***",2021,,Banco Central del Ecuador,% de PIB,Prosperidad,ODS 8
3012,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Sector productivo,Sector manufactura (sin refinación petróleo),Total,Total,"11,96939492026936",No Aplica,"Año base = 2007, (provisional)",2020,,Banco Central del Ecuador,% de PIB,Prosperidad,ODS 8
3012,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Sector productivo,Sector manufactura (sin refinación petróleo),Total,Total,"11,706248831285961",No Aplica,"Año base = 2007, (provisional)",2019,,Banco Central del Ecuador,% de PIB,Prosperidad,ODS 8
3012,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Sector productivo,Sector manufactura (sin refinación petróleo),Total,Total,"11,637966928775535",No Aplica,"Año base = 2007, (provisional)",2018,,Banco Central del Ecuador,% de PIB,Prosperidad,ODS 8
3012,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Sector productivo,Sector manufactura (sin refinación petróleo),Total,Total,"11,647825401348005",No Aplica,"Año base = 2007, (provisional)",2017,,Banco Central del Ecuador,% de PIB,Prosperidad,ODS 8
3012,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Sector productivo,Sector manufactura (sin refinación petróleo),Total,Total,"11,565190822884347",No Aplica,"Año base = 2007, (semi-definitivo)",2016,,Banco Central del Ecuador,% de PIB,Prosperidad,ODS 8
3012,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Sector productivo,Sector manufactura (sin refinación petróleo),Total,Total,"11,728514261633153",No Aplica,Año base = 2007,2015,,Banco Central del Ecuador,% de PIB,Prosperidad,ODS 8
3012,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Sector productivo,Sector manufactura (sin refinación petróleo),Total,Total,"11,791638705182065",No Aplica,Año base = 2007,2014,,Banco Central del Ecuador,% de PIB,Prosperidad,ODS 8
3012,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Sector productivo,Sector manufactura (sin refinación petróleo),Total,Total,"11,802583265764694",No Aplica,Año base = 2007,2013,,Banco Central del Ecuador,% de PIB,Prosperidad,ODS 8
