"Código Indicador","Código Provincia","Provincia","Código Cantón","Cantón","País","Dimensión","Subcategoría","Indicador","Área","Sexo","Dato Numérico","Población","Dato Cualitativo","Año","Mes","Fuente","Unidad de medida","Grupo","ODS"
3015,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Sector productivo","Balanza comercial (no petrolera)","Total","Total","64,9597310260001","No Aplica","La información de balanza comercial hasta el 2018 es definitiva, desde 2019 es provisional, su reproceso se realiza conforme a la recepción de documentos fuente de las operaciones de comercio exterior; por consiguiente, las cifras que constan en este cuadro no necesariamente corresponden a las publicadas trimestralmente en la balanza de pagos. A partir del año 2021, incluye cifras de reimportaciones, de acuerdo a recomendaciones de la metodología internacional.",2023,4,"Banco Central del Ecuador","Millones de USD","Prosperidad","ODS 8, 9"
3015,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Sector productivo","Balanza comercial (no petrolera)","Total","Total","163,026014555","No Aplica","La información de balanza comercial hasta el 2018 es definitiva, desde 2019 es provisional, su reproceso se realiza conforme a la recepción de documentos fuente de las operaciones de comercio exterior; por consiguiente, las cifras que constan en este cuadro no necesariamente corresponden a las publicadas trimestralmente en la balanza de pagos. A partir del año 2021, incluye cifras de reimportaciones, de acuerdo a recomendaciones de la metodología internacional.",2023,3,"Banco Central del Ecuador","Millones de USD","Prosperidad","ODS 8, 9"
3015,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Sector productivo","Balanza comercial (no petrolera)","Total","Total","153,006131013","No Aplica","La información de balanza comercial hasta el 2018 es definitiva, desde 2019 es provisional, su reproceso se realiza conforme a la recepción de documentos fuente de las operaciones de comercio exterior; por consiguiente, las cifras que constan en este cuadro no necesariamente corresponden a las publicadas trimestralmente en la balanza de pagos. A partir del año 2021, incluye cifras de reimportaciones, de acuerdo a recomendaciones de la metodología internacional.",2023,2,"Banco Central del Ecuador","Millones de USD","Prosperidad","ODS 8, 9"
3015,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Sector productivo","Balanza comercial (no petrolera)","Total","Total","-49,6278723850001","No Aplica","La información de balanza comercial hasta el 2018 es definitiva, desde 2019 es provisional, su reproceso se realiza conforme a la recepción de documentos fuente de las operaciones de comercio exterior; por consiguiente, las cifras que constan en este cuadro no necesariamente corresponden a las publicadas trimestralmente en la balanza de pagos. A partir del año 2021, incluye cifras de reimportaciones, de acuerdo a recomendaciones de la metodología internacional.",2023,1,"Banco Central del Ecuador","Millones de USD","Prosperidad","ODS 8, 9"
3015,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Sector productivo","Balanza comercial (no petrolera)","Total","Total","-103,409855469","No Aplica","La información de balanza comercial hasta el 2018 es definitiva, desde 2019 es provisional, su reproceso se realiza conforme a la recepción de documentos fuente de las operaciones de comercio exterior; por consiguiente, las cifras que constan en este cuadro no necesariamente corresponden a las publicadas trimestralmente en la balanza de pagos. A partir del año 2021, incluye cifras de reimportaciones, de acuerdo a recomendaciones de la metodología internacional.",2022,12,"Banco Central del Ecuador","Millones de USD","Prosperidad","ODS 8, 9"
3015,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Sector productivo","Balanza comercial (no petrolera)","Total","Total","-247,888869254","No Aplica","La información de balanza comercial hasta el 2018 es definitiva, desde 2019 es provisional, su reproceso se realiza conforme a la recepción de documentos fuente de las operaciones de comercio exterior; por consiguiente, las cifras que constan en este cuadro no necesariamente corresponden a las publicadas trimestralmente en la balanza de pagos. A partir del año 2021, incluye cifras de reimportaciones, de acuerdo a recomendaciones de la metodología internacional.",2022,11,"Banco Central del Ecuador","Millones de USD","Prosperidad","ODS 8, 9"
3015,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Sector productivo","Balanza comercial (no petrolera)","Total","Total","-74,304782811","No Aplica","La información de balanza comercial hasta el 2018 es definitiva, desde 2019 es provisional, su reproceso se realiza conforme a la recepción de documentos fuente de las operaciones de comercio exterior; por consiguiente, las cifras que constan en este cuadro no necesariamente corresponden a las publicadas trimestralmente en la balanza de pagos. A partir del año 2021, incluye cifras de reimportaciones, de acuerdo a recomendaciones de la metodología internacional.",2022,10,"Banco Central del Ecuador","Millones de USD","Prosperidad","ODS 8, 9"
3015,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Sector productivo","Balanza comercial (no petrolera)","Total","Total","-362,037943251","No Aplica","La información de balanza comercial hasta el 2018 es definitiva, desde 2019 es provisional, su reproceso se realiza conforme a la recepción de documentos fuente de las operaciones de comercio exterior; por consiguiente, las cifras que constan en este cuadro no necesariamente corresponden a las publicadas trimestralmente en la balanza de pagos. A partir del año 2021, incluye cifras de reimportaciones, de acuerdo a recomendaciones de la metodología internacional.",2022,9,"Banco Central del Ecuador","Millones de USD","Prosperidad","ODS 8, 9"
3015,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Sector productivo","Balanza comercial (no petrolera)","Total","Total","-312,527161324","No Aplica","La información de balanza comercial hasta el 2018 es definitiva, desde 2019 es provisional, su reproceso se realiza conforme a la recepción de documentos fuente de las operaciones de comercio exterior; por consiguiente, las cifras que constan en este cuadro no necesariamente corresponden a las publicadas trimestralmente en la balanza de pagos. A partir del año 2021, incluye cifras de reimportaciones, de acuerdo a recomendaciones de la metodología internacional.",2022,8,"Banco Central del Ecuador","Millones de USD","Prosperidad","ODS 8, 9"
3015,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Sector productivo","Balanza comercial (no petrolera)","Total","Total","-50,40910575","No Aplica","La información de balanza comercial hasta el 2018 es definitiva, desde 2019 es provisional, su reproceso se realiza conforme a la recepción de documentos fuente de las operaciones de comercio exterior; por consiguiente, las cifras que constan en este cuadro no necesariamente corresponden a las publicadas trimestralmente en la balanza de pagos. A partir del año 2021, incluye cifras de reimportaciones, de acuerdo a recomendaciones de la metodología internacional.",2022,7,"Banco Central del Ecuador","Millones de USD","Prosperidad","ODS 8, 9"
