"Código Indicador","Código Provincia","Provincia","Código Cantón","Cantón","País","Dimensión","Subcategoría","Indicador","Área","Sexo","Dato Numérico","Población","Dato Cualitativo","Año","Mes","Fuente","Unidad de medida","Grupo","ODS"
3018,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Precio de petróleo (Crudo Napo)","Total","Total","63,9888730956676","No Aplica","Precio promedio ponderado del Crudo Napo exportado por EP Petroecuador. Crudo pesado entre 18 y 21 grados API y un contenido de azufre de 2.10%.",2023,4,"Banco Central del Ecuador","USD por barril","Prosperidad","ODS 8"
3018,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Precio de petróleo (Crudo Napo)","Total","Total","54,9705733849052","No Aplica","Precio promedio ponderado del Crudo Napo exportado por EP Petroecuador. Crudo pesado entre 18 y 21 grados API y un contenido de azufre de 2.10%.",2023,3,"Banco Central del Ecuador","USD por barril","Prosperidad","ODS 8"
3018,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Precio de petróleo (Crudo Napo)","Total","Total","59,5910138733226","No Aplica","Precio promedio ponderado del Crudo Napo exportado por EP Petroecuador. Crudo pesado entre 18 y 21 grados API y un contenido de azufre de 2.10%.",2023,2,"Banco Central del Ecuador","USD por barril","Prosperidad","ODS 8"
3018,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Precio de petróleo (Crudo Napo)","Total","Total","60,3776855257496","No Aplica","Precio promedio ponderado del Crudo Napo exportado por EP Petroecuador. Crudo pesado entre 18 y 21 grados API y un contenido de azufre de 2.10%.",2023,1,"Banco Central del Ecuador","USD por barril","Prosperidad","ODS 8"
3018,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Precio de petróleo (Crudo Napo)","Total","Total","63,1741374838446","No Aplica","Precio promedio ponderado del Crudo Napo exportado por EP Petroecuador. Crudo pesado entre 18 y 21 grados API y un contenido de azufre de 2.10%.",2022,12,"Banco Central del Ecuador","USD por barril","Prosperidad","ODS 8"
3018,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Precio de petróleo (Crudo Napo)","Total","Total","69,6087640129873","No Aplica","Precio promedio ponderado del Crudo Napo exportado por EP Petroecuador. Crudo pesado entre 18 y 21 grados API y un contenido de azufre de 2.10%.",2022,11,"Banco Central del Ecuador","USD por barril","Prosperidad","ODS 8"
3018,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Precio de petróleo (Crudo Napo)","Total","Total","74,6194316261129","No Aplica","Precio promedio ponderado del Crudo Napo exportado por EP Petroecuador. Crudo pesado entre 18 y 21 grados API y un contenido de azufre de 2.10%.",2022,10,"Banco Central del Ecuador","USD por barril","Prosperidad","ODS 8"
3018,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Precio de petróleo (Crudo Napo)","Total","Total","73,8686116792514","No Aplica","Precio promedio ponderado del Crudo Napo exportado por EP Petroecuador. Crudo pesado entre 18 y 21 grados API y un contenido de azufre de 2.10%.",2022,9,"Banco Central del Ecuador","USD por barril","Prosperidad","ODS 8"
3018,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Precio de petróleo (Crudo Napo)","Total","Total","78,6869297286641","No Aplica","Precio promedio ponderado del Crudo Napo exportado por EP Petroecuador. Crudo pesado entre 18 y 21 grados API y un contenido de azufre de 2.10%.",2022,8,"Banco Central del Ecuador","USD por barril","Prosperidad","ODS 8"
3018,"00","Total Nacional","0000","Total Nacional","Ecuador","Estabilidad económica","Política fiscal","Precio de petróleo (Crudo Napo)","Total","Total","84,9779963649211","No Aplica","Precio promedio ponderado del Crudo Napo exportado por EP Petroecuador. Crudo pesado entre 18 y 21 grados API y un contenido de azufre de 2.10%.",2022,7,"Banco Central del Ecuador","USD por barril","Prosperidad","ODS 8"
