Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS
3025,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Mercado laboral,Tasa de subempleo,Total,Hombre,"20,570199558513227",No Aplica,"Son personas con empleo que, durante la semana de referencia, trabajaron menos de la jornada legal y/o percibieron ingresos inferiores al salario mínimo y insuficiencia de ingresos. Tienen el deseo y disponibilidad de trabajar horas adicionales. Es la sumatoria del subempleo por insuficiencia de tiempo de trabajo y por insuficiencia de ingresos.",2023,3,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Prosperidad,"ODS 5, 8"
3025,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Mercado laboral,Tasa de subempleo,Total,Mujer,"18,51523022107531",No Aplica,"Son personas con empleo que, durante la semana de referencia, trabajaron menos de la jornada legal y/o percibieron ingresos inferiores al salario mínimo y insuficiencia de ingresos. Tienen el deseo y disponibilidad de trabajar horas adicionales. Es la sumatoria del subempleo por insuficiencia de tiempo de trabajo y por insuficiencia de ingresos.",2023,3,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Prosperidad,"ODS 5, 8"
3025,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Mercado laboral,Tasa de subempleo,Total,Total,"19,724993357702278",No Aplica,"Son personas con empleo que, durante la semana de referencia, trabajaron menos de la jornada legal y/o percibieron ingresos inferiores al salario mínimo y insuficiencia de ingresos. Tienen el deseo y disponibilidad de trabajar horas adicionales. Es la sumatoria del subempleo por insuficiencia de tiempo de trabajo y por insuficiencia de ingresos.",2023,3,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Prosperidad,"ODS 5, 8"
3025,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Mercado laboral,Tasa de subempleo,Urbano,Total,"19,155877711864825",No Aplica,"Son personas con empleo que, durante la semana de referencia, trabajaron menos de la jornada legal y/o percibieron ingresos inferiores al salario mínimo y insuficiencia de ingresos. Tienen el deseo y disponibilidad de trabajar horas adicionales. Es la sumatoria del subempleo por insuficiencia de tiempo de trabajo y por insuficiencia de ingresos.",2023,3,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Prosperidad,"ODS 5, 8"
3025,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Mercado laboral,Tasa de subempleo,Rural,Total,"20,809276565357816",No Aplica,"Son personas con empleo que, durante la semana de referencia, trabajaron menos de la jornada legal y/o percibieron ingresos inferiores al salario mínimo y insuficiencia de ingresos. Tienen el deseo y disponibilidad de trabajar horas adicionales. Es la sumatoria del subempleo por insuficiencia de tiempo de trabajo y por insuficiencia de ingresos.",2023,3,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Prosperidad,"ODS 5, 8"
3025,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Mercado laboral,Tasa de subempleo,Total,Hombre,"23,43053983186448",No Aplica,"Son personas con empleo que, durante la semana de referencia, trabajaron menos de la jornada legal y/o percibieron ingresos inferiores al salario mínimo y insuficiencia de ingresos. Tienen el deseo y disponibilidad de trabajar horas adicionales. Es la sumatoria del subempleo por insuficiencia de tiempo de trabajo y por insuficiencia de ingresos.",2023,2,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Prosperidad,"ODS 5, 8"
3025,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Mercado laboral,Tasa de subempleo,Total,Mujer,"19,04830291227176",No Aplica,"Son personas con empleo que, durante la semana de referencia, trabajaron menos de la jornada legal y/o percibieron ingresos inferiores al salario mínimo y insuficiencia de ingresos. Tienen el deseo y disponibilidad de trabajar horas adicionales. Es la sumatoria del subempleo por insuficiencia de tiempo de trabajo y por insuficiencia de ingresos.",2023,2,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Prosperidad,"ODS 5, 8"
3025,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Mercado laboral,Tasa de subempleo,Total,Total,"21,57945656405839",No Aplica,"Son personas con empleo que, durante la semana de referencia, trabajaron menos de la jornada legal y/o percibieron ingresos inferiores al salario mínimo y insuficiencia de ingresos. Tienen el deseo y disponibilidad de trabajar horas adicionales. Es la sumatoria del subempleo por insuficiencia de tiempo de trabajo y por insuficiencia de ingresos.",2023,2,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Prosperidad,"ODS 5, 8"
3025,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Mercado laboral,Tasa de subempleo,Urbano,Total,"20,513267094939515",No Aplica,"Son personas con empleo que, durante la semana de referencia, trabajaron menos de la jornada legal y/o percibieron ingresos inferiores al salario mínimo y insuficiencia de ingresos. Tienen el deseo y disponibilidad de trabajar horas adicionales. Es la sumatoria del subempleo por insuficiencia de tiempo de trabajo y por insuficiencia de ingresos.",2023,2,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Prosperidad,"ODS 5, 8"
3025,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Mercado laboral,Tasa de subempleo,Rural,Total,"23,630128354870294",No Aplica,"Son personas con empleo que, durante la semana de referencia, trabajaron menos de la jornada legal y/o percibieron ingresos inferiores al salario mínimo y insuficiencia de ingresos. Tienen el deseo y disponibilidad de trabajar horas adicionales. Es la sumatoria del subempleo por insuficiencia de tiempo de trabajo y por insuficiencia de ingresos.",2023,2,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Prosperidad,"ODS 5, 8"
3025,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Mercado laboral,Tasa de subempleo,Total,Hombre,"21,714903282921885",No Aplica,"Son personas con empleo que, durante la semana de referencia, trabajaron menos de la jornada legal y/o percibieron ingresos inferiores al salario mínimo y insuficiencia de ingresos. Tienen el deseo y disponibilidad de trabajar horas adicionales. Es la sumatoria del subempleo por insuficiencia de tiempo de trabajo y por insuficiencia de ingresos.",2023,1,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Prosperidad,"ODS 5, 8"
3025,00,Total Nacional,0000,Total Nacional,Ecuador,Estabilidad económica,Mercado laboral,Tasa de subempleo,Total,Mujer,"16,04672123443605",No Aplica,"Son personas con empleo que, durante la semana de referencia, trabajaron menos de la jornada legal y/o percibieron ingresos inferiores al salario mínimo y insuficiencia de ingresos. Tienen el deseo y disponibilidad de trabajar horas adicionales. Es la sumatoria del subempleo por insuficiencia de tiempo de trabajo y por insuficiencia de ingresos.",2023,1,"INEC - Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",Porcentaje,Prosperidad,"ODS 5, 8"
