Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS
4002,23,Santo Domingo de los Tsáchilas,2301,Santo Domingo,Ecuador,Seguridad interna,Sistema penitenciario,Personas detenidas,Total,Total,181,No Aplica,,"2023,0","3,0",Ministerio de Gobierno,Personas,Paz,"ODS 10, 16"
4002,18,Tungurahua,1802,Baños,Ecuador,Seguridad interna,Sistema penitenciario,Personas detenidas,Total,Total,18,No Aplica,,"2023,0","3,0",Ministerio de Gobierno,Personas,Paz,"ODS 10, 16"
4002,09,Guayas,0916,Samborondón,Ecuador,Seguridad interna,Sistema penitenciario,Personas detenidas,Total,Total,17,No Aplica,,"2023,0","3,0",Ministerio de Gobierno,Personas,Paz,"ODS 10, 16"
4002,17,Pichincha,1701,Quito,Ecuador,Seguridad interna,Sistema penitenciario,Personas detenidas,Total,Total,923,No Aplica,,"2023,0","3,0",Ministerio de Gobierno,Personas,Paz,"ODS 10, 16"
4002,18,Tungurahua,1801,Ambato,Ecuador,Seguridad interna,Sistema penitenciario,Personas detenidas,Total,Total,119,No Aplica,,"2023,0","3,0",Ministerio de Gobierno,Personas,Paz,"ODS 10, 16"
4002,09,Guayas,0908,El Empalme,Ecuador,Seguridad interna,Sistema penitenciario,Personas detenidas,Total,Total,19,No Aplica,,"2023,0","3,0",Ministerio de Gobierno,Personas,Paz,"ODS 10, 16"
4002,13,Manabí,1321,Jaramijó,Ecuador,Seguridad interna,Sistema penitenciario,Personas detenidas,Total,Total,9,No Aplica,,"2023,0","3,0",Ministerio de Gobierno,Personas,Paz,"ODS 10, 16"
4002,01,Azuay,0101,Cuenca,Ecuador,Seguridad interna,Sistema penitenciario,Personas detenidas,Total,Total,195,No Aplica,,"2023,0","3,0",Ministerio de Gobierno,Personas,Paz,"ODS 10, 16"
4002,17,Pichincha,1702,Cayambe,Ecuador,Seguridad interna,Sistema penitenciario,Personas detenidas,Total,Total,38,No Aplica,,"2023,0","3,0",Ministerio de Gobierno,Personas,Paz,"ODS 10, 16"
4002,05,Cotopaxi,0505,Salcedo,Ecuador,Seguridad interna,Sistema penitenciario,Personas detenidas,Total,Total,44,No Aplica,,"2023,0","3,0",Ministerio de Gobierno,Personas,Paz,"ODS 10, 16"
4002,23,Santo Domingo de los Tsáchilas,2302,La Concordia,Ecuador,Seguridad interna,Sistema penitenciario,Personas detenidas,Total,Total,36,No Aplica,,"2023,0","3,0",Ministerio de Gobierno,Personas,Paz,"ODS 10, 16"
