"Código Indicador","Código Provincia","Provincia","Código Cantón","Cantón","País","Dimensión","Subcategoría","Indicador","Área","Sexo","Dato Numérico","Población","Dato Cualitativo","Año","Mes","Fuente","Unidad de medida","Grupo","ODS"
4009,"00","Total Nacional","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","3675","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"01","Azuay","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","90","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"02","Bolívar","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","26","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"03","Cañar","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","19","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"04","Carchi","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","82","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"05","Cotopaxi","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","68","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"06","Chimborazo","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","43","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"07","El Oro","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","212","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"08","Esmeraldas","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","301","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"09","Guayas","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","1138","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"10","Imbabura","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","94","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"11","Loja","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","37","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"12","Los Ríos","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","289","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"13","Manabí","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","375","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"14","Morona Santiago","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","22","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"15","Napo","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","32","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"16","Pastaza","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","13","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"17","Pichincha","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","251","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"18","Tungurahua","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","36","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"19","Zamora Chinchipe","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","39","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"20","Galápagos","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","1","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"21","Sucumbios","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","167","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"22","Orellana","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","65","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"24","Santa Elena","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","67","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"00","Santo Domingo de los Tsáchilas","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","187","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a abril de 2023",2023,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"00","Total Nacional","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","8500","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a noviembre de 2022",2022,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"01","Azuay","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","134","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a noviembre de 2022",2022,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
4009,"02","Bolívar","0000","Total Nacional","Ecuador","Seguridad interna","Armas ilícitas","Armas ilícitas decomisadas","Total","Total","46","No Aplica","Se consideran armas de fuego o armas de fogueo que han sido obtenidos de forma ilícita. Agregado a noviembre de 2022",2022,NA,"Ministerio de Gobierno","Armas","Paz","ODS 16"
