Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS
5001,00,Total Nacional,0000,Total Nacional,Ecuador,Justicia y estado de derecho,Percepción y confianza,Confianza en Gobierno,Total,Total,"90,0",No Aplica,"Resultados corresponden a la suma de las opciones ""Poca confianza"" y ""Ninguna confianza"". Opciones adicionales son ""Mucha confianza"", ""Algo de confianza"", ""No sabe"" y ""No contesta"".",2020,,Latinobarómetro,Porcentaje,Paz,"ODS 5, 16"
5001,00,Total Nacional,0000,Total Nacional,Ecuador,Justicia y estado de derecho,Percepción y confianza,Confianza en Gobierno,Total,Hombre,"89,5",No Aplica,"Resultados corresponden a la suma de las opciones ""Poca confianza"" y ""Ninguna confianza"". Opciones adicionales son ""Mucha confianza"", ""Algo de confianza"", ""No sabe"" y ""No contesta"".",2020,,Latinobarómetro,Porcentaje,Paz,"ODS 5, 16"
5001,00,Total Nacional,0000,Total Nacional,Ecuador,Justicia y estado de derecho,Percepción y confianza,Confianza en Gobierno,Total,Mujer,"90,40000000000002",No Aplica,"Resultados corresponden a la suma de las opciones ""Poca confianza"" y ""Ninguna confianza"". Opciones adicionales son ""Mucha confianza"", ""Algo de confianza"", ""No sabe"" y ""No contesta"".",2020,,Latinobarómetro,Porcentaje,Paz,"ODS 5, 16"
5001,00,Total Nacional,0000,Total Nacional,Ecuador,Justicia y estado de derecho,Percepción y confianza,Confianza en Gobierno,Total,Total,"73,8",No Aplica,"Resultados corresponden a la suma de las opciones ""Poca confianza"" y ""Ninguna confianza"". Opciones adicionales son ""Mucha confianza"", ""Algo de confianza"", ""No sabe"" y ""No contesta"".",2018,,Latinobarómetro,Porcentaje,Paz,"ODS 5, 16"
5001,00,Total Nacional,0000,Total Nacional,Ecuador,Justicia y estado de derecho,Percepción y confianza,Confianza en Gobierno,Total,Hombre,"74,4",No Aplica,"Resultados corresponden a la suma de las opciones ""Poca confianza"" y ""Ninguna confianza"". Opciones adicionales son ""Mucha confianza"", ""Algo de confianza"", ""No sabe"" y ""No contesta"".",2018,,Latinobarómetro,Porcentaje,Paz,"ODS 5, 16"
5001,00,Total Nacional,0000,Total Nacional,Ecuador,Justicia y estado de derecho,Percepción y confianza,Confianza en Gobierno,Total,Mujer,"73,2",No Aplica,"Resultados corresponden a la suma de las opciones ""Poca confianza"" y ""Ninguna confianza"". Opciones adicionales son ""Mucha confianza"", ""Algo de confianza"", ""No sabe"" y ""No contesta"".",2018,,Latinobarómetro,Porcentaje,Paz,"ODS 5, 16"
5001,00,Total Nacional,0000,Total Nacional,Ecuador,Justicia y estado de derecho,Percepción y confianza,Confianza en Gobierno,Total,Total,"61,0",No Aplica,"Resultados corresponden a la suma de las opciones ""Poca confianza"" y ""Ninguna confianza"". Opciones adicionales son ""Mucha confianza"", ""Algo de confianza"", ""No sabe"" y ""No contesta"".",2017,,Latinobarómetro,Porcentaje,Paz,"ODS 5, 16"
5001,00,Total Nacional,0000,Total Nacional,Ecuador,Justicia y estado de derecho,Percepción y confianza,Confianza en Gobierno,Total,Hombre,"60,0",No Aplica,"Resultados corresponden a la suma de las opciones ""Poca confianza"" y ""Ninguna confianza"". Opciones adicionales son ""Mucha confianza"", ""Algo de confianza"", ""No sabe"" y ""No contesta"".",2017,,Latinobarómetro,Porcentaje,Paz,"ODS 5, 16"
5001,00,Total Nacional,0000,Total Nacional,Ecuador,Justicia y estado de derecho,Percepción y confianza,Confianza en Gobierno,Total,Mujer,"61,8",No Aplica,"Resultados corresponden a la suma de las opciones ""Poca confianza"" y ""Ninguna confianza"". Opciones adicionales son ""Mucha confianza"", ""Algo de confianza"", ""No sabe"" y ""No contesta"".",2017,,Latinobarómetro,Porcentaje,Paz,"ODS 5, 16"
5001,00,Total Nacional,0000,Total Nacional,Ecuador,Justicia y estado de derecho,Percepción y confianza,Confianza en Gobierno,Total,Total,"60,6",No Aplica,"Resultados corresponden a la suma de las opciones ""Poca confianza"" y ""Ninguna confianza"". Opciones adicionales son ""Mucha confianza"", ""Algo de confianza"", ""No sabe"" y ""No contesta"".",2016,,Latinobarómetro,Porcentaje,Paz,"ODS 5, 16"
