"Código Indicador","Código Provincia","Provincia","Código Cantón","Cantón","País","Dimensión","Subcategoría","Indicador","Área","Sexo","Dato Numérico","Población","Dato Cualitativo","Año","Mes","Fuente","Unidad de medida","Grupo","ODS"
5004,"00","Total Nacional","0000","Total Nacional","Ecuador","Justicia y estado de derecho","Percepción y confianza","Índice de percepción de la corrupción","Total","Total","36","No Aplica","El índice de percepción de la corrupción clasifica a los países del mundo en función a como se percibe la corrupción en el sector público. Los resultados están en una escala entre 0 y 100, en donde 0 es altamente corrupto y 100 es muy transparente.",2022,NA,"Transparencia Internacional","Índice","Paz","ODS 16"
5004,"00","Total Nacional","0000","Total Nacional","Ecuador","Justicia y estado de derecho","Percepción y confianza","Índice de percepción de la corrupción","Total","Total","36","No Aplica","El índice de percepción de la corrupción clasifica a los países del mundo en función a como se percibe la corrupción en el sector público. Los resultados están en una escala entre 0 y 100, en donde 0 es altamente corrupto y 100 es muy transparente.",2021,NA,"Transparencia Internacional","Índice","Paz","ODS 16"
5004,"00","Total Nacional","0000","Total Nacional","Ecuador","Justicia y estado de derecho","Percepción y confianza","Índice de percepción de la corrupción","Total","Total","39","No Aplica","El índice de percepción de la corrupción clasifica a los países del mundo en función a como se percibe la corrupción en el sector público. Los resultados están en una escala entre 0 y 100, en donde 0 es altamente corrupto y 100 es muy transparente.",2020,NA,"Transparencia Internacional","Índice","Paz","ODS 16"
5004,"00","Total Nacional","0000","Total Nacional","Ecuador","Justicia y estado de derecho","Percepción y confianza","Índice de percepción de la corrupción","Total","Total","38","No Aplica","El índice de percepción de la corrupción clasifica a los países del mundo en función a como se percibe la corrupción en el sector público. Los resultados están en una escala entre 0 y 100, en donde 0 es altamente corrupto y 100 es muy transparente.",2019,NA,"Transparencia Internacional","Índice","Paz","ODS 16"
5004,"00","Total Nacional","0000","Total Nacional","Ecuador","Justicia y estado de derecho","Percepción y confianza","Índice de percepción de la corrupción","Total","Total","34","No Aplica","El índice de percepción de la corrupción clasifica a los países del mundo en función a como se percibe la corrupción en el sector público. Los resultados están en una escala entre 0 y 100, en donde 0 es altamente corrupto y 100 es muy transparente.",2018,NA,"Transparencia Internacional","Índice","Paz","ODS 16"
5004,"00","Total Nacional","0000","Total Nacional","Ecuador","Justicia y estado de derecho","Percepción y confianza","Índice de percepción de la corrupción","Total","Total","32","No Aplica","El índice de percepción de la corrupción clasifica a los países del mundo en función a como se percibe la corrupción en el sector público. Los resultados están en una escala entre 0 y 100, en donde 0 es altamente corrupto y 100 es muy transparente.",2017,NA,"Transparencia Internacional","Índice","Paz","ODS 16"
5004,"00","Total Nacional","0000","Total Nacional","Ecuador","Justicia y estado de derecho","Percepción y confianza","Índice de percepción de la corrupción","Total","Total","31","No Aplica","El índice de percepción de la corrupción clasifica a los países del mundo en función a como se percibe la corrupción en el sector público. Los resultados están en una escala entre 0 y 100, en donde 0 es altamente corrupto y 100 es muy transparente.",2016,NA,"Transparencia Internacional","Índice","Paz","ODS 16"
5004,"00","Total Nacional","0000","Total Nacional","Ecuador","Justicia y estado de derecho","Percepción y confianza","Índice de percepción de la corrupción","Total","Total","32","No Aplica","El índice de percepción de la corrupción clasifica a los países del mundo en función a como se percibe la corrupción en el sector público. Los resultados están en una escala entre 0 y 100, en donde 0 es altamente corrupto y 100 es muy transparente.",2015,NA,"Transparencia Internacional","Índice","Paz","ODS 16"
5004,"00","Total Nacional","0000","Total Nacional","Ecuador","Justicia y estado de derecho","Percepción y confianza","Índice de percepción de la corrupción","Total","Total","33","No Aplica","El índice de percepción de la corrupción clasifica a los países del mundo en función a como se percibe la corrupción en el sector público. Los resultados están en una escala entre 0 y 100, en donde 0 es altamente corrupto y 100 es muy transparente.",2014,NA,"Transparencia Internacional","Índice","Paz","ODS 16"
5004,"00","Total Nacional","0000","Total Nacional","Ecuador","Justicia y estado de derecho","Percepción y confianza","Índice de percepción de la corrupción","Total","Total","35","No Aplica","El índice de percepción de la corrupción clasifica a los países del mundo en función a como se percibe la corrupción en el sector público. Los resultados están en una escala entre 0 y 100, en donde 0 es altamente corrupto y 100 es muy transparente.",2013,NA,"Transparencia Internacional","Índice","Paz","ODS 16"
5004,"00","Total Nacional","0000","Total Nacional","Ecuador","Justicia y estado de derecho","Percepción y confianza","Índice de percepción de la corrupción","Total","Total","32","No Aplica","El índice de percepción de la corrupción clasifica a los países del mundo en función a como se percibe la corrupción en el sector público. Los resultados están en una escala entre 0 y 100, en donde 0 es altamente corrupto y 100 es muy transparente.",2012,NA,"Transparencia Internacional","Índice","Paz","ODS 16"
