Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS
5005,01,Azuay,0000,Total Nacional,Ecuador,Justicia y estado de derecho,Eficiencia judicial,Tasa de resolución,Total,Total,"0,8516104294478528",No Aplica,"Es el cociente entre las causas resueltas y las ingresadas, ambas referidas al mismo año. Si el valor de la tasa de resolución es superior a uno, quiere decir que el órgano judicial está dando salida a más asuntos de los que entraron y, por tanto, reduciendo la carga de trabajo atrasada; lo contrario sucede si el valor fuera inferior a uno, es decir, se están resolviendo menos procesos de los que entraron para ese período.",2012,,Consejo de la Judicatura,Tasa,Paz,ODS 16
5005,02,Bolívar,0000,Total Nacional,Ecuador,Justicia y estado de derecho,Eficiencia judicial,Tasa de resolución,Total,Total,"1,0697950697950698",No Aplica,"Es el cociente entre las causas resueltas y las ingresadas, ambas referidas al mismo año. Si el valor de la tasa de resolución es superior a uno, quiere decir que el órgano judicial está dando salida a más asuntos de los que entraron y, por tanto, reduciendo la carga de trabajo atrasada; lo contrario sucede si el valor fuera inferior a uno, es decir, se están resolviendo menos procesos de los que entraron para ese período.",2012,,Consejo de la Judicatura,Tasa,Paz,ODS 16
5005,03,Cañar,0000,Total Nacional,Ecuador,Justicia y estado de derecho,Eficiencia judicial,Tasa de resolución,Total,Total,"0,7951730995209256",No Aplica,"Es el cociente entre las causas resueltas y las ingresadas, ambas referidas al mismo año. Si el valor de la tasa de resolución es superior a uno, quiere decir que el órgano judicial está dando salida a más asuntos de los que entraron y, por tanto, reduciendo la carga de trabajo atrasada; lo contrario sucede si el valor fuera inferior a uno, es decir, se están resolviendo menos procesos de los que entraron para ese período.",2012,,Consejo de la Judicatura,Tasa,Paz,ODS 16
5005,04,Carchi,0000,Total Nacional,Ecuador,Justicia y estado de derecho,Eficiencia judicial,Tasa de resolución,Total,Total,"1,1270320483046912",No Aplica,"Es el cociente entre las causas resueltas y las ingresadas, ambas referidas al mismo año. Si el valor de la tasa de resolución es superior a uno, quiere decir que el órgano judicial está dando salida a más asuntos de los que entraron y, por tanto, reduciendo la carga de trabajo atrasada; lo contrario sucede si el valor fuera inferior a uno, es decir, se están resolviendo menos procesos de los que entraron para ese período.",2012,,Consejo de la Judicatura,Tasa,Paz,ODS 16
5005,06,Chimborazo,0000,Total Nacional,Ecuador,Justicia y estado de derecho,Eficiencia judicial,Tasa de resolución,Total,Total,"0,9725142356548401",No Aplica,"Es el cociente entre las causas resueltas y las ingresadas, ambas referidas al mismo año. Si el valor de la tasa de resolución es superior a uno, quiere decir que el órgano judicial está dando salida a más asuntos de los que entraron y, por tanto, reduciendo la carga de trabajo atrasada; lo contrario sucede si el valor fuera inferior a uno, es decir, se están resolviendo menos procesos de los que entraron para ese período.",2012,,Consejo de la Judicatura,Tasa,Paz,ODS 16
5005,05,Cotopaxi,0000,Total Nacional,Ecuador,Justicia y estado de derecho,Eficiencia judicial,Tasa de resolución,Total,Total,"0,9230827580975499",No Aplica,"Es el cociente entre las causas resueltas y las ingresadas, ambas referidas al mismo año. Si el valor de la tasa de resolución es superior a uno, quiere decir que el órgano judicial está dando salida a más asuntos de los que entraron y, por tanto, reduciendo la carga de trabajo atrasada; lo contrario sucede si el valor fuera inferior a uno, es decir, se están resolviendo menos procesos de los que entraron para ese período.",2012,,Consejo de la Judicatura,Tasa,Paz,ODS 16
5005,07,El Oro,0000,Total Nacional,Ecuador,Justicia y estado de derecho,Eficiencia judicial,Tasa de resolución,Total,Total,"1,632280268266855",No Aplica,"Es el cociente entre las causas resueltas y las ingresadas, ambas referidas al mismo año. Si el valor de la tasa de resolución es superior a uno, quiere decir que el órgano judicial está dando salida a más asuntos de los que entraron y, por tanto, reduciendo la carga de trabajo atrasada; lo contrario sucede si el valor fuera inferior a uno, es decir, se están resolviendo menos procesos de los que entraron para ese período.",2012,,Consejo de la Judicatura,Tasa,Paz,ODS 16
5005,08,Esmeraldas,0000,Total Nacional,Ecuador,Justicia y estado de derecho,Eficiencia judicial,Tasa de resolución,Total,Total,"1,1201080607476634",No Aplica,"Es el cociente entre las causas resueltas y las ingresadas, ambas referidas al mismo año. Si el valor de la tasa de resolución es superior a uno, quiere decir que el órgano judicial está dando salida a más asuntos de los que entraron y, por tanto, reduciendo la carga de trabajo atrasada; lo contrario sucede si el valor fuera inferior a uno, es decir, se están resolviendo menos procesos de los que entraron para ese período.",2012,,Consejo de la Judicatura,Tasa,Paz,ODS 16
5005,20,Galápagos,0000,Total Nacional,Ecuador,Justicia y estado de derecho,Eficiencia judicial,Tasa de resolución,Total,Total,"0,8025641025641026",No Aplica,"Es el cociente entre las causas resueltas y las ingresadas, ambas referidas al mismo año. Si el valor de la tasa de resolución es superior a uno, quiere decir que el órgano judicial está dando salida a más asuntos de los que entraron y, por tanto, reduciendo la carga de trabajo atrasada; lo contrario sucede si el valor fuera inferior a uno, es decir, se están resolviendo menos procesos de los que entraron para ese período.",2012,,Consejo de la Judicatura,Tasa,Paz,ODS 16
5005,09,Guayas,0000,Total Nacional,Ecuador,Justicia y estado de derecho,Eficiencia judicial,Tasa de resolución,Total,Total,"1,0250470239768232",No Aplica,"Es el cociente entre las causas resueltas y las ingresadas, ambas referidas al mismo año. Si el valor de la tasa de resolución es superior a uno, quiere decir que el órgano judicial está dando salida a más asuntos de los que entraron y, por tanto, reduciendo la carga de trabajo atrasada; lo contrario sucede si el valor fuera inferior a uno, es decir, se están resolviendo menos procesos de los que entraron para ese período.",2012,,Consejo de la Judicatura,Tasa,Paz,ODS 16
