Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS
6016,09,Guayas,0000,Total Nacional,Ecuador,Salud pública,COVID-19,Vacunas COVID-19,Total,Total,2989574,No Aplica,Totales de segunda dosis,2022,1,"Ministerio de Salud Pública, ECUACOVID",Vacunas (segunda dosis),Personas,ODS 3
6016,17,Pichincha,0000,Total Nacional,Ecuador,Salud pública,COVID-19,Vacunas COVID-19,Total,Total,2710087,No Aplica,Totales de segunda dosis,2022,1,"Ministerio de Salud Pública, ECUACOVID",Vacunas (segunda dosis),Personas,ODS 3
6016,13,Manabí,0000,Total Nacional,Ecuador,Salud pública,COVID-19,Vacunas COVID-19,Total,Total,1191998,No Aplica,Totales de segunda dosis,2022,1,"Ministerio de Salud Pública, ECUACOVID",Vacunas (segunda dosis),Personas,ODS 3
6016,01,Azuay,0000,Total Nacional,Ecuador,Salud pública,COVID-19,Vacunas COVID-19,Total,Total,683199,No Aplica,Totales de segunda dosis,2022,1,"Ministerio de Salud Pública, ECUACOVID",Vacunas (segunda dosis),Personas,ODS 3
6016,12,Los Ríos,0000,Total Nacional,Ecuador,Salud pública,COVID-19,Vacunas COVID-19,Total,Total,577461,No Aplica,Totales de segunda dosis,2022,1,"Ministerio de Salud Pública, ECUACOVID",Vacunas (segunda dosis),Personas,ODS 3
6016,07,El Oro,0000,Total Nacional,Ecuador,Salud pública,COVID-19,Vacunas COVID-19,Total,Total,560268,No Aplica,Totales de segunda dosis,2022,1,"Ministerio de Salud Pública, ECUACOVID",Vacunas (segunda dosis),Personas,ODS 3
6016,18,Tungurahua,0000,Total Nacional,Ecuador,Salud pública,COVID-19,Vacunas COVID-19,Total,Total,449679,No Aplica,Totales de segunda dosis,2022,1,"Ministerio de Salud Pública, ECUACOVID",Vacunas (segunda dosis),Personas,ODS 3
6016,08,Esmeraldas,0000,Total Nacional,Ecuador,Salud pública,COVID-19,Vacunas COVID-19,Total,Total,385237,No Aplica,Totales de segunda dosis,2022,1,"Ministerio de Salud Pública, ECUACOVID",Vacunas (segunda dosis),Personas,ODS 3
6016,11,Loja,0000,Total Nacional,Ecuador,Salud pública,COVID-19,Vacunas COVID-19,Total,Total,412458,No Aplica,Totales de segunda dosis,2022,1,"Ministerio de Salud Pública, ECUACOVID",Vacunas (segunda dosis),Personas,ODS 3
6016,06,Chimborazo,0000,Total Nacional,Ecuador,Salud pública,COVID-19,Vacunas COVID-19,Total,Total,358164,No Aplica,Totales de segunda dosis,2022,1,"Ministerio de Salud Pública, ECUACOVID",Vacunas (segunda dosis),Personas,ODS 3
