Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS
7017.1,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Ministerio de Educación - Codificado,Total,Total,"3965,20038853",No Aplica,"140 - MINISTERIO DE EDUCACION / Presupuesto Codificado Marzo 2023. Constituye el presupuesto inicial más las reformas realizadas a una fecha de corte y resulta de una serie de modificaciones realizadas al presupuesto inicial, como son: incrementos y disminuciones de los gastos, identificación de recursos para gastos adicionales, traspasos, entre otros.",2023,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7017.1,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Ministerio de Educación - Codificado,Total,Total,"3060,1745826700003",No Aplica,"140 - MINISTERIO DE EDUCACION / Presupuesto Codificado Diciembre 2022. Constituye el presupuesto inicial más las reformas realizadas a una fecha de corte y resulta de una serie de modificaciones realizadas al presupuesto inicial, como son: incrementos y disminuciones de los gastos, identificación de recursos para gastos adicionales, traspasos, entre otros.",2022,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7017.1,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Ministerio de Educación - Codificado,Total,Total,"3363,46079568",No Aplica,"140 - MINISTERIO DE EDUCACION / Presupuesto Codificado Diciembre 2021. Constituye el presupuesto inicial más las reformas realizadas a una fecha de corte y resulta de una serie de modificaciones realizadas al presupuesto inicial, como son: incrementos y disminuciones de los gastos, identificación de recursos para gastos adicionales, traspasos, entre otros.",2021,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7017.1,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Ministerio de Educación - Codificado,Total,Total,"2997,96219802",No Aplica,"140 - MINISTERIO DE EDUCACION / Presupuesto Codificado Diciembre 2020. Constituye el presupuesto inicial más las reformas realizadas a una fecha de corte y resulta de una serie de modificaciones realizadas al presupuesto inicial, como son: incrementos y disminuciones de los gastos, identificación de recursos para gastos adicionales, traspasos, entre otros.",2020,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7017.1,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Ministerio de Educación - Codificado,Total,Total,"3327,1263258000004",No Aplica,"140 - MINISTERIO DE EDUCACION / Presupuesto Codificado Diciembre 2019. Constituye el presupuesto inicial más las reformas realizadas a una fecha de corte y resulta de una serie de modificaciones realizadas al presupuesto inicial, como son: incrementos y disminuciones de los gastos, identificación de recursos para gastos adicionales, traspasos, entre otros.",2019,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7017.1,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Ministerio de Educación - Codificado,Total,Total,"3422,62669925",No Aplica,"140 - MINISTERIO DE EDUCACION / Presupuesto Codificado Diciembre 2018. Constituye el presupuesto inicial más las reformas realizadas a una fecha de corte y resulta de una serie de modificaciones realizadas al presupuesto inicial, como son: incrementos y disminuciones de los gastos, identificación de recursos para gastos adicionales, traspasos, entre otros.",2018,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7017.1,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Ministerio de Educación - Codificado,Total,Total,"3322,54897769",No Aplica,"140 - MINISTERIO DE EDUCACION / Presupuesto Codificado Diciembre 2017. Constituye el presupuesto inicial más las reformas realizadas a una fecha de corte y resulta de una serie de modificaciones realizadas al presupuesto inicial, como son: incrementos y disminuciones de los gastos, identificación de recursos para gastos adicionales, traspasos, entre otros.",2017,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7017.1,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Ministerio de Educación - Codificado,Total,Total,"3041,0029831399997",No Aplica,"140 - MINISTERIO DE EDUCACION / Presupuesto Codificado Diciembre 2016. Constituye el presupuesto inicial más las reformas realizadas a una fecha de corte y resulta de una serie de modificaciones realizadas al presupuesto inicial, como son: incrementos y disminuciones de los gastos, identificación de recursos para gastos adicionales, traspasos, entre otros.",2016,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7017.1,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Ministerio de Educación - Codificado,Total,Total,"2935,74743456",No Aplica,"140 - MINISTERIO DE EDUCACION / Presupuesto Codificado Diciembre 2015. Constituye el presupuesto inicial más las reformas realizadas a una fecha de corte y resulta de una serie de modificaciones realizadas al presupuesto inicial, como son: incrementos y disminuciones de los gastos, identificación de recursos para gastos adicionales, traspasos, entre otros.",2015,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7017.1,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Ministerio de Educación - Codificado,Total,Total,"3395,2509165300003",No Aplica,"140 - MINISTERIO DE EDUCACION / Presupuesto Codificado Diciembre 2014. Constituye el presupuesto inicial más las reformas realizadas a una fecha de corte y resulta de una serie de modificaciones realizadas al presupuesto inicial, como son: incrementos y disminuciones de los gastos, identificación de recursos para gastos adicionales, traspasos, entre otros.",2014,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
