Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS
7018.2,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Universidades públicas y Escuelas Politécnicas - Devengado,Total,Total,"241,0504992",No Aplica,"18 - UNIVERSIDADES Y ESCUELAS POLITECNICAS PUBLICAS / Presupuesto Devengado Marzo 2023. Es el monto de las obras, bienes o servicios gestionados por cada entidad, cuyo valor constituye una obligación de pago por la prestación efectiva realizada, independientemente de si este pago se realizó o no. El devengo es el acto administrativo por el que la autoridad competente reconoce una obligación a un tercero como consecuencia de la recepción de los bienes y servicios previamente convenidos o contratados. La obligación causará la afectación definitiva de la asignación presupuestaria y del compromiso en el mismo monto, al mes de corte.",2023,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7018.2,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Universidades públicas y Escuelas Politécnicas - Devengado,Total,Total,"1134,79267459",No Aplica,"18 - UNIVERSIDADES Y ESCUELAS POLITECNICAS PUBLICAS / Presupuesto Devengado Diciembre 2022. Es el monto de las obras, bienes o servicios gestionados por cada entidad, cuyo valor constituye una obligación de pago por la prestación efectiva realizada, independientemente de si este pago se realizó o no. El devengo es el acto administrativo por el que la autoridad competente reconoce una obligación a un tercero como consecuencia de la recepción de los bienes y servicios previamente convenidos o contratados. La obligación causará la afectación definitiva de la asignación presupuestaria y del compromiso en el mismo monto, al mes de corte.",2022,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7018.2,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Universidades públicas y Escuelas Politécnicas - Devengado,Total,Total,"1118,08832213",No Aplica,"18 - UNIVERSIDADES Y ESCUELAS POLITECNICAS PUBLICAS / Presupuesto Devengado Diciembre 2021. Es el monto de las obras, bienes o servicios gestionados por cada entidad, cuyo valor constituye una obligación de pago por la prestación efectiva realizada, independientemente de si este pago se realizó o no. El devengo es el acto administrativo por el que la autoridad competente reconoce una obligación a un tercero como consecuencia de la recepción de los bienes y servicios previamente convenidos o contratados. La obligación causará la afectación definitiva de la asignación presupuestaria y del compromiso en el mismo monto, al mes de corte.",2021,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7018.2,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Universidades públicas y Escuelas Politécnicas - Devengado,Total,Total,"1075,59562838",No Aplica,"18 - UNIVERSIDADES Y ESCUELAS POLITECNICAS PUBLICAS / Presupuesto Devengado Diciembre 2020. Es el monto de las obras, bienes o servicios gestionados por cada entidad, cuyo valor constituye una obligación de pago por la prestación efectiva realizada, independientemente de si este pago se realizó o no. El devengo es el acto administrativo por el que la autoridad competente reconoce una obligación a un tercero como consecuencia de la recepción de los bienes y servicios previamente convenidos o contratados. La obligación causará la afectación definitiva de la asignación presupuestaria y del compromiso en el mismo monto, al mes de corte.",2020,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7018.2,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Universidades públicas y Escuelas Politécnicas - Devengado,Total,Total,"1219,7521958599998",No Aplica,"18 - UNIVERSIDADES Y ESCUELAS POLITECNICAS PUBLICAS / Presupuesto Devengado Diciembre 2019. Es el monto de las obras, bienes o servicios gestionados por cada entidad, cuyo valor constituye una obligación de pago por la prestación efectiva realizada, independientemente de si este pago se realizó o no. El devengo es el acto administrativo por el que la autoridad competente reconoce una obligación a un tercero como consecuencia de la recepción de los bienes y servicios previamente convenidos o contratados. La obligación causará la afectación definitiva de la asignación presupuestaria y del compromiso en el mismo monto, al mes de corte.",2019,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7018.2,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Universidades públicas y Escuelas Politécnicas - Devengado,Total,Total,"1223,77601457",No Aplica,"18 - UNIVERSIDADES Y ESCUELAS POLITECNICAS PUBLICAS / Presupuesto Devengado Diciembre 2018. Es el monto de las obras, bienes o servicios gestionados por cada entidad, cuyo valor constituye una obligación de pago por la prestación efectiva realizada, independientemente de si este pago se realizó o no. El devengo es el acto administrativo por el que la autoridad competente reconoce una obligación a un tercero como consecuencia de la recepción de los bienes y servicios previamente convenidos o contratados. La obligación causará la afectación definitiva de la asignación presupuestaria y del compromiso en el mismo monto, al mes de corte.",2018,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7018.2,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Universidades públicas y Escuelas Politécnicas - Devengado,Total,Total,"1206,21457054",No Aplica,"18 - UNIVERSIDADES Y ESCUELAS POLITECNICAS PUBLICAS / Presupuesto Devengado Diciembre 2017. Es el monto de las obras, bienes o servicios gestionados por cada entidad, cuyo valor constituye una obligación de pago por la prestación efectiva realizada, independientemente de si este pago se realizó o no. El devengo es el acto administrativo por el que la autoridad competente reconoce una obligación a un tercero como consecuencia de la recepción de los bienes y servicios previamente convenidos o contratados. La obligación causará la afectación definitiva de la asignación presupuestaria y del compromiso en el mismo monto, al mes de corte.",2017,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7018.2,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Universidades públicas y Escuelas Politécnicas - Devengado,Total,Total,"1137,8672700999998",No Aplica,"18 - UNIVERSIDADES Y ESCUELAS POLITECNICAS PUBLICAS / Presupuesto Devengado Diciembre 2016. Es el monto de las obras, bienes o servicios gestionados por cada entidad, cuyo valor constituye una obligación de pago por la prestación efectiva realizada, independientemente de si este pago se realizó o no. El devengo es el acto administrativo por el que la autoridad competente reconoce una obligación a un tercero como consecuencia de la recepción de los bienes y servicios previamente convenidos o contratados. La obligación causará la afectación definitiva de la asignación presupuestaria y del compromiso en el mismo monto, al mes de corte.",2016,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7018.2,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Universidades públicas y Escuelas Politécnicas - Devengado,Total,Total,"1203,62044076",No Aplica,"18 - UNIVERSIDADES Y ESCUELAS POLITECNICAS PUBLICAS / Presupuesto Devengado Diciembre 2015. Es el monto de las obras, bienes o servicios gestionados por cada entidad, cuyo valor constituye una obligación de pago por la prestación efectiva realizada, independientemente de si este pago se realizó o no. El devengo es el acto administrativo por el que la autoridad competente reconoce una obligación a un tercero como consecuencia de la recepción de los bienes y servicios previamente convenidos o contratados. La obligación causará la afectación definitiva de la asignación presupuestaria y del compromiso en el mismo monto, al mes de corte.",2015,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
7018.2,00,Total Nacional,0000,Total Nacional,Ecuador,Infraestructura y acceso a servicios sociales,Gasto público,Presupuesto destinado a Universidades públicas y Escuelas Politécnicas - Devengado,Total,Total,"1096,44942825",No Aplica,"18 - UNIVERSIDADES Y ESCUELAS POLITECNICAS PUBLICAS / Presupuesto Devengado Diciembre 2014. Es el monto de las obras, bienes o servicios gestionados por cada entidad, cuyo valor constituye una obligación de pago por la prestación efectiva realizada, independientemente de si este pago se realizó o no. El devengo es el acto administrativo por el que la autoridad competente reconoce una obligación a un tercero como consecuencia de la recepción de los bienes y servicios previamente convenidos o contratados. La obligación causará la afectación definitiva de la asignación presupuestaria y del compromiso en el mismo monto, al mes de corte.",2014,,Ministerio de Economía y Finanzas,Millones de USD,Personas,"ODS 4, 16"
