Código Indicador,Código Provincia,Provincia,Código Cantón,Cantón,País,Dimensión,Subcategoría,Indicador,Área,Sexo,Dato Numérico,Población,Dato Cualitativo,Año,Mes,Fuente,Unidad de medida,Grupo,ODS
8009,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Superficie conservada a través del sistema nacional de áreas protegidas,Total,Total,"17763537,23036792",No Aplica,Superficie en hectáreas de territorio conservado mediante área protegida,2010,,"Ministerio de Ambiente, Agua y Transición Ecológica",Hectáreas,Planeta,ODS 15
8009,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Superficie conservada a través del sistema nacional de áreas protegidas,Total,Total,"17776492,619581934",No Aplica,Superficie en hectáreas de territorio conservado mediante área protegida,2011,,"Ministerio de Ambiente, Agua y Transición Ecológica",Hectáreas,Planeta,ODS 15
8009,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Superficie conservada a través del sistema nacional de áreas protegidas,Total,Total,"17830762,398974113",No Aplica,Superficie en hectáreas de territorio conservado mediante área protegida,2012,,"Ministerio de Ambiente, Agua y Transición Ecológica",Hectáreas,Planeta,ODS 15
8009,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Superficie conservada a través del sistema nacional de áreas protegidas,Total,Total,"17830762,398965415",No Aplica,Superficie en hectáreas de territorio conservado mediante área protegida,2013,,"Ministerio de Ambiente, Agua y Transición Ecológica",Hectáreas,Planeta,ODS 15
8009,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Superficie conservada a través del sistema nacional de áreas protegidas,Total,Total,"18098146,35439617",No Aplica,Superficie en hectáreas de territorio conservado mediante área protegida,2014,,"Ministerio de Ambiente, Agua y Transición Ecológica",Hectáreas,Planeta,ODS 15
8009,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Superficie conservada a través del sistema nacional de áreas protegidas,Total,Total,"18098146,35439617",No Aplica,Superficie en hectáreas de territorio conservado mediante área protegida,2015,,"Ministerio de Ambiente, Agua y Transición Ecológica",Hectáreas,Planeta,ODS 15
8009,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Superficie conservada a través del sistema nacional de áreas protegidas,Total,Total,"18178030,198924005",No Aplica,Superficie en hectáreas de territorio conservado mediante área protegida,2016,,"Ministerio de Ambiente, Agua y Transición Ecológica",Hectáreas,Planeta,ODS 15
8009,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Superficie conservada a través del sistema nacional de áreas protegidas,Total,Total,"18342201,842501007",No Aplica,Superficie en hectáreas de territorio conservado mediante área protegida,2017,,"Ministerio de Ambiente, Agua y Transición Ecológica",Hectáreas,Planeta,ODS 15
8009,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Superficie conservada a través del sistema nacional de áreas protegidas,Total,Total,"18378874,151324004",No Aplica,Superficie en hectáreas de territorio conservado mediante área protegida,2018,,"Ministerio de Ambiente, Agua y Transición Ecológica",Hectáreas,Planeta,ODS 15
8009,00,Total Nacional,0000,Total Nacional,Ecuador,Medio ambiente y cambio climático,"Biodiversidad, ecosistemas y recursos hídricos",Superficie conservada a través del sistema nacional de áreas protegidas,Total,Total,"18408222,909351997",No Aplica,Superficie en hectáreas de territorio conservado mediante área protegida,2019,,"Ministerio de Ambiente, Agua y Transición Ecológica",Hectáreas,Planeta,ODS 15
