"Código Indicador","Código Provincia","Provincia","Código Cantón","Cantón","País","Dimensión","Subcategoría","Indicador","Área","Sexo","Dato Numérico","Población","Dato Cualitativo","Año","Mes","Fuente","Unidad de medida","Grupo","ODS"
9005,"00","Total Nacional","0000","Total Nacional","Ecuador","Seguridad alimentaria, agricultura y tierra","Uso de suelo","Cultivos permanentes","Total","Total","1366079,7397977","No Aplica","Para la selección de la muestra, se tomó la variable ""superficie de suelo con uso agropecuario"" como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, areas urbanas, áreas mayores a los 3000msnm, reservas naturales (selva) y sectores amanzanados.",2022,NA,"INEC","Hectáreas","Personas","ODS 2"
9005,"01","Azuay","0000","Total Nacional","Ecuador","Seguridad alimentaria, agricultura y tierra","Uso de suelo","Cultivos permanentes","Total","Total","5713,12257247161","No Aplica","Para la selección de la muestra, se tomó la variable ""superficie de suelo con uso agropecuario"" como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, areas urbanas, áreas mayores a los 3000msnm, reservas naturales (selva) y sectores amanzanados.",2022,NA,"INEC","Hectáreas","Personas","ODS 2"
9005,"02","Bolívar","0000","Total Nacional","Ecuador","Seguridad alimentaria, agricultura y tierra","Uso de suelo","Cultivos permanentes","Total","Total","35222,047848096","No Aplica","Para la selección de la muestra, se tomó la variable ""superficie de suelo con uso agropecuario"" como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, areas urbanas, áreas mayores a los 3000msnm, reservas naturales (selva) y sectores amanzanados.",2022,NA,"INEC","Hectáreas","Personas","ODS 2"
9005,"03","Cañar","0000","Total Nacional","Ecuador","Seguridad alimentaria, agricultura y tierra","Uso de suelo","Cultivos permanentes","Total","Total","17181,8068555956","No Aplica","Para la selección de la muestra, se tomó la variable ""superficie de suelo con uso agropecuario"" como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, areas urbanas, áreas mayores a los 3000msnm, reservas naturales (selva) y sectores amanzanados.",2022,NA,"INEC","Hectáreas","Personas","ODS 2"
9005,"04","Carchi","0000","Total Nacional","Ecuador","Seguridad alimentaria, agricultura y tierra","Uso de suelo","Cultivos permanentes","Total","Total","6274,70658214613","No Aplica","Para la selección de la muestra, se tomó la variable ""superficie de suelo con uso agropecuario"" como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, areas urbanas, áreas mayores a los 3000msnm, reservas naturales (selva) y sectores amanzanados.",2022,NA,"INEC","Hectáreas","Personas","ODS 2"
9005,"05","Cotopaxi","0000","Total Nacional","Ecuador","Seguridad alimentaria, agricultura y tierra","Uso de suelo","Cultivos permanentes","Total","Total","23100,8367918101","No Aplica","Para la selección de la muestra, se tomó la variable ""superficie de suelo con uso agropecuario"" como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, areas urbanas, áreas mayores a los 3000msnm, reservas naturales (selva) y sectores amanzanados.",2022,NA,"INEC","Hectáreas","Personas","ODS 2"
9005,"06","Chimborazo","0000","Total Nacional","Ecuador","Seguridad alimentaria, agricultura y tierra","Uso de suelo","Cultivos permanentes","Total","Total","5851,435773666","No Aplica","Para la selección de la muestra, se tomó la variable ""superficie de suelo con uso agropecuario"" como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, areas urbanas, áreas mayores a los 3000msnm, reservas naturales (selva) y sectores amanzanados.",2022,NA,"INEC","Hectáreas","Personas","ODS 2"
9005,"10","Imbabura","0000","Total Nacional","Ecuador","Seguridad alimentaria, agricultura y tierra","Uso de suelo","Cultivos permanentes","Total","Total","15806,3764692958","No Aplica","Para la selección de la muestra, se tomó la variable ""superficie de suelo con uso agropecuario"" como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, areas urbanas, áreas mayores a los 3000msnm, reservas naturales (selva) y sectores amanzanados.",2022,NA,"INEC","Hectáreas","Personas","ODS 2"
9005,"11","Loja","0000","Total Nacional","Ecuador","Seguridad alimentaria, agricultura y tierra","Uso de suelo","Cultivos permanentes","Total","Total","11865,6004178201","No Aplica","Para la selección de la muestra, se tomó la variable ""superficie de suelo con uso agropecuario"" como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, areas urbanas, áreas mayores a los 3000msnm, reservas naturales (selva) y sectores amanzanados.",2022,NA,"INEC","Hectáreas","Personas","ODS 2"
9005,"17","Pichincha","0000","Total Nacional","Ecuador","Seguridad alimentaria, agricultura y tierra","Uso de suelo","Cultivos permanentes","Total","Total","40248,0082600078","No Aplica","Para la selección de la muestra, se tomó la variable ""superficie de suelo con uso agropecuario"" como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, areas urbanas, áreas mayores a los 3000msnm, reservas naturales (selva) y sectores amanzanados.",2022,NA,"INEC","Hectáreas","Personas","ODS 2"
9005,"18","Tungurahua","0000","Total Nacional","Ecuador","Seguridad alimentaria, agricultura y tierra","Uso de suelo","Cultivos permanentes","Total","Total","6053,48886016804","No Aplica","Para la selección de la muestra, se tomó la variable ""superficie de suelo con uso agropecuario"" como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, areas urbanas, áreas mayores a los 3000msnm, reservas naturales (selva) y sectores amanzanados.",2022,NA,"INEC","Hectáreas","Personas","ODS 2"
9005,"07","Santo Domingo de los Tsáchilas","0000","Total Nacional","Ecuador","Seguridad alimentaria, agricultura y tierra","Uso de suelo","Cultivos permanentes","Total","Total","72102,105262959","No Aplica","Para la selección de la muestra, se tomó la variable ""superficie de suelo con uso agropecuario"" como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, areas urbanas, áreas mayores a los 3000msnm, reservas naturales (selva) y sectores amanzanados.",2022,NA,"INEC","Hectáreas","Personas","ODS 2"
9005,"07","El Oro","0000","Total Nacional","Ecuador","Seguridad alimentaria, agricultura y tierra","Uso de suelo","Cultivos permanentes","Total","Total","53279,0537009846","No Aplica","Para la selección de la muestra, se tomó la variable ""superficie de suelo con uso agropecuario"" como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, areas urbanas, áreas mayores a los 3000msnm, reservas naturales (selva) y sectores amanzanados.",2022,NA,"INEC","Hectáreas","Personas","ODS 2"
9005,"08","Esmeraldas","0000","Total Nacional","Ecuador","Seguridad alimentaria, agricultura y tierra","Uso de suelo","Cultivos permanentes","Total","Total","170430,17102903","No Aplica","Para la selección de la muestra, se tomó la variable ""superficie de suelo con uso agropecuario"" como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, areas urbanas, áreas mayores a los 3000msnm, reservas naturales (selva) y sectores amanzanados.",2022,NA,"INEC","Hectáreas","Personas","ODS 2"
9005,"09","Guayas","0000","Total Nacional","Ecuador","Seguridad alimentaria, agricultura y tierra","Uso de suelo","Cultivos permanentes","Total","Total","309657,569038492","No Aplica","Para la selección de la muestra, se tomó la variable ""superficie de suelo con uso agropecuario"" como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, areas urbanas, áreas mayores a los 3000msnm, reservas naturales (selva) y sectores amanzanados.",2022,NA,"INEC","Hectáreas","Personas","ODS 2"
9005,"12","Los Ríos","0000","Total Nacional","Ecuador","Seguridad alimentaria, agricultura y tierra","Uso de suelo","Cultivos permanentes","Total","Total","251733,624603668","No Aplica","Para la selección de la muestra, se tomó la variable ""superficie de suelo con uso agropecuario"" como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, areas urbanas, áreas mayores a los 3000msnm, reservas naturales (selva) y sectores amanzanados.",2022,NA,"INEC","Hectáreas","Personas","ODS 2"
9005,"13","Manabí","0000","Total Nacional","Ecuador","Seguridad alimentaria, agricultura y tierra","Uso de suelo","Cultivos permanentes","Total","Total","200193,941928875","No Aplica","Para la selección de la muestra, se tomó la variable ""superficie de suelo con uso agropecuario"" como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, areas urbanas, áreas mayores a los 3000msnm, reservas naturales (selva) y sectores amanzanados.",2022,NA,"INEC","Hectáreas","Personas","ODS 2"
9005,"24","Santa Elena","0000","Total Nacional","Ecuador","Seguridad alimentaria, agricultura y tierra","Uso de suelo","Cultivos permanentes","Total","Total","4439,5095131963","No Aplica","Para la selección de la muestra, se tomó la variable ""superficie de suelo con uso agropecuario"" como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, areas urbanas, áreas mayores a los 3000msnm, reservas naturales (selva) y sectores amanzanados.",2022,NA,"INEC","Hectáreas","Personas","ODS 2"
9005,"14","Morona Santiago","0000","Total Nacional","Ecuador","Seguridad alimentaria, agricultura y tierra","Uso de suelo","Cultivos permanentes","Total","Total","10494,9936796241","No Aplica","Para la selección de la muestra, se tomó la variable ""superficie de suelo con uso agropecuario"" como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, areas urbanas, áreas mayores a los 3000msnm, reservas naturales (selva) y sectores amanzanados.",2022,NA,"INEC","Hectáreas","Personas","ODS 2"
