;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;  ;;;;;Índice ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
; Período ;;Incidencia (1);Brecha(1);Severidad  (1);;;;;;;;;;;;;;;;;;;;
;Junio;    2007 (2);-;-;-;;;;;;;;;;;;;;;;;;;;
;;2008;35,0;14,2;8,0;;;;;;;;;;;;;;;;;;;;
;;   2009 (2);-;-;-;;;;;;;;;;;;;;;;;;;;
;;2010;33,0;13,7;7,8;;;;;;;;;;;;;;;;;;;;
;;2011;29,6;11,4;6,2;;;;;;;;;;;;;;;;;;;;
;;2012;25,3;9,4;4,9;;;;;;;;;;;;;;;;;;;;
;;2013;23,7;8,4;4,4;;;;;;;;;;;;;;;;;;;;
;;2014;24,5;8,5;4,2;;;;;;;;;;;;;;;;;;;;
;;2015;22,0;7,7;3,9;;;;;;;;;;;;;;;;;;;;
;;2016;23,7;8,6;4,6;;;;;;;;;;;;;;;;;;;;
;;2017;23,1;8,3;4,4;;;;;;;;;;;;;;;;;;;;
;;2018;24,5;8,8;4,6;;;;;;;;;;;;;;;;;;;;
;;2019;25,5;9,3;4,8;;;;;;;;;;;;;;;;;;;;
;;2021;32,2;12,8;7,0;;;;;;;;;;;;;;;;;;;;
;;2022;25,0;9,4;4,9;;;;;;;;;;;;;;;;;;;;
;Diciembre;2007;36,7;15,3;8,7;;;;;;;;;;;;;;;;;;;;
;;2008;35,1;14,5;8,1;;;;;;;;;;;;;;;;;;;;
;;2009;36,0;14,5;8,0;;;;;;;;;;;;;;;;;;;;
;;2010;32,8;12,7;6,8;;;;;;;;;;;;;;;;;;;;
;;2011;28,6;10,8;5,7;;;;;;;;;;;;;;;;;;;;
;;2012;27,3;10,5;5,8;;;;;;;;;;;;;;;;;;;;
;;2013;25,6;9,0;4,5;;;;;;;;;;;;;;;;;;;;
;;2014;22,5;7,9;4,0;;;;;;;;;;;;;;;;;;;;
;;2015;23,3;8,5;4,5;;;;;;;;;;;;;;;;;;;;
;;2016;22,9;8,6;4,7;;;;;;;;;;;;;;;;;;;;
;;2017;21,5;8,0;4,2;;;;;;;;;;;;;;;;;;;;
;;2018;23,2;8,5;4,4;;;;;;;;;;;;;;;;;;;;
;;2019;25,0;9,2;4,8;;;;;;;;;;;;;;;;;;;;
;;2020;33,0;14,0;8,2;;;;;;;;;;;;;;;;;;;;
;;2021;27,7;9,6;5,1;;;;;;;;;;;;;;;;;;;;
;;2022;25,2;8,9;4,6;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Fuente: Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU.;;;;;;;;;;;;;;;;;;;;;;;;
;Notas: (1) Los datos se encuentran expresados en porcentajes.;;;;;;;;;;;;;;;;;;;;;;;;
;"             (2) La información en junio 2007 y junio 2009 solo fue representativa
                     a nivel urbano.";;;;;;;;;;;;;;;;;;;;;;;;
;"* Desde 2020 hasta mayo de 2021 se implementó en la ENEMDU cambios metodológicos asociados al tamaño y distribución de la muestra, nivel de representatividad de los estimadores y construcción de factores de ponderación, afectando la comparabilidad histórica de las estadísticas oficiales. Ante esta problemática, se decidió mantener el esquema tradicional de diseño muestral, estandarizando el cálculo de factores de ponderación a nivel de la Unidad Primaria de Muestreo y recalculando los indicadores desde septiembre 2020 hasta mayo  2021, con el fin de mantener la comparabilidad de las cifras. Para mayor información referirse a la nota técnica disponible en: https://bit.ly/3hQMHRE
";;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
