;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
 Período ;;Incidencia (1);;Índice ;;;;;;
Junio;   2007 (2);-;;;;;;;;
;2008;31,0;;;;;;;;
;  2009 (2);-;;;;;;;;
;2010;28,4;;;;;;;;
;2011;25,0;;;;;;;;
;2012;20,0;;;;;;;;
;2013;17,0;;;;;;;;
;2014;16,0;;;;;;;;
;2015;14,9;;;;;;;;
;2016;18,6;;;;;;;;
;2017;17,8;;;;;;;;
;2018;18,1;;;;;;;;
;2019;17,9;;;;;;;;
;2021;28,0;;;;;;;;
;2022;22,7;;;;;;;;
Diciembre;2007;33,3;;;;;;;;
;2008;31,7;;;;;;;;
;2009;29,3;;;;;;;;
;2010;25,1;;;;;;;;
;2011;24,6;;;;;;;;
;2012;23,3;;;;;;;;
;2013;17,4;;;;;;;;
;2014;14,3;;;;;;;;
;2015;17,0;;;;;;;;
;2016;17,6;;;;;;;;
;2017;17,9;;;;;;;;
;2018;17,7;;;;;;;;
;2019;18,7;;;;;;;;
;2020;29,1;;;;;;;;
;2021;20,3;;;;;;;;
;2022;17,4;;;;;;;;
;;;;;;;;;;
Fuente: Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU.;;;;;;;;;;
Notas: (1) Los datos se encuentran expresados en porcentajes.;;;;;;;;;;
             (2) La información en junio 2007 y junio 2009 solo fue representativa  a nivel urbano.;;;;;;;;;;
"* Desde 2020 hasta mayo de 2021 se implementó en la ENEMDU cambios metodológicos asociados al tamaño y distribución de la muestra, nivel de representatividad de los estimadores y construcción de factores de ponderación, afectando la comparabilidad histórica de las estadísticas oficiales. Ante esta problemática, se decidió mantener el esquema tradicional de diseño muestral, estandarizando el cálculo de factores de ponderación a nivel de la Unidad Primaria de Muestreo y recalculando los indicadores desde septiembre 2020 hasta mayo  2021, con el fin de mantener la comparabilidad de las cifras. Para mayor información referirse a la nota técnica disponible en: https://bit.ly/3hQMHRE
";;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
