;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;Índice ;;;;;;;
;;;;;;;;;;;;;;
 Característica ;;dic-22;;;;;;;;;;;;
;;Nacional ;;Urbano ;;Rural ;;;;;;;;
;;Incidencia          (%);Ingreso promedio         (USD);Incidencia          (%);Ingreso promedio         (USD);Incidencia          (%);Ingreso promedio         (USD);;;;;;;
Tipo de Hogar ;Nuclear;20,4;56,4;13,7;62,4;35,2;51,3;;;;;;;
;Ampliado;22,6;60,8;18,3;63,2;33,2;57,6;;;;;;;
;Compuesto;21,6;66,8;12,2;67,5;54,0;66,3;;;;;;;
;Unipersonal;4,9;60,4;2,4;55,1;10,4;63,0;;;;;;;
;Corresidente;2,5;70,0;0,0;-;15,3;70,0;;;;;;;
Número de miembros en el hogar ;1;4,9;60,4;2,4;55,1;10,4;63,0;;;;;;;
;2;11,3;54,3;6,4;59,2;21,8;51,2;;;;;;;
;3;14,3;66,4;11,9;67,0;21,2;65,5;;;;;;;
;4;16,8;58,6;13,1;56,4;27,1;61,5;;;;;;;
;5;19,8;61,2;14,5;66,6;35,1;54,8;;;;;;;
;Mas de 6 ;47,4;54,9;35,9;63,6;62,5;48,4;;;;;;;
;;;;;;;;;;;;;;
Fuente: Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU;;;;;;;;;;;;;;
Notas: (1) Valores de ingreso expresados en dólares corrientes;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
"*Desde 2020 hasta mayo de 2021 se implementó en la ENEMDU cambios metodológicos asociados al tamaño y distribución de la muestra, nivel de representatividad de los estimadores y construcción de factores de ponderación, afectando la comparabilidad histórica de las estadísticas oficiales. Ante esta problemática, se decidió mantener el esquema tradicional de diseño muestral, estandarizando el cálculo de factores de ponderación a nivel de la Unidad Primaria de Muestreo y recalculando los indicadores desde septiembre 2020 hasta mayo  2021, con el fin de mantener la comparabilidad de las cifras. Para mayor información referirse a la nota técnica disponible en: https://bit.ly/3hQMHRE
";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
