;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
 Período ;;Índice de Gini;;;;Índice ;;;;
Junio;   2007 (1);-;;;;;;;;
;2008;0,525;;;;;;;;
;   2009 (1);-;;;;;;;;
;2010;0,519;;;;;;;;
;2011;0,497;;;;;;;;
;2012;0,471;;;;;;;;
;2013;0,463;;;;;;;;
;2014;0,486;;;;;;;;
;2015;0,459;;;;;;;;
;2016;0,465;;;;;;;;
;2017;0,462;;;;;;;;
;2018;0,472;;;;;;;;
;2019;0,478;;;;;;;;
;2021;0,493;;;;;;;;
;2022;0,453;;;;;;;;
Diciembre;2007;0,551;;;;;;;;
;2008;0,515;;;;;;;;
;2009;0,504;;;;;;;;
;2010;0,505;;;;;;;;
;2011;0,473;;;;;;;;
;2012;0,477;;;;;;;;
;2013;0,485;;;;;;;;
;2014;0,467;;;;;;;;
;2015;0,476;;;;;;;;
;2016;0,466;;;;;;;;
;2017;0,459;;;;;;;;
;2018;0,469;;;;;;;;
;2019;0,473;;;;;;;;
;2020;0,498;;;;;;;;
;2021;0,474;;;;;;;;
;2022;0,466;;;;;;;;
;;;;;;;;;;
Fuente: Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU.;;;;;;;;;;
Notas: (1) La información en junio 2007 y junio 2009 solo fue representativa a nivel urbano.;;;;;;;;;;
"* Desde 2020 hasta mayo de 2021 se implementó en la ENEMDU cambios metodológicos asociados al tamaño y distribución de la muestra, nivel de representatividad de los estimadores y construcción de factores de ponderación, afectando la comparabilidad histórica de las estadísticas oficiales. Ante esta problemática, se decidió mantener el esquema tradicional de diseño muestral, estandarizando el cálculo de factores de ponderación a nivel de la Unidad Primaria de Muestreo y recalculando los indicadores desde septiembre 2020 hasta mayo  2021, con el fin de mantener la comparabilidad de las cifras. Para mayor información referirse a la nota técnica disponible en: https://bit.ly/3hQMHRE
";;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
