;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Período ;;Índice de Gini;;;;Índice ;;;;
Junio;2007;0,523;;;;;;;;
;2008;0,497;;;;;;;;
;2009;0,490;;;;;;;;
;2010;0,498;;;;;;;;
;2011;0,474;;;;;;;;
;2012;0,447;;;;;;;;
;2013;0,442;;;;;;;;
;2014;0,466;;;;;;;;
;2015;0,443;;;;;;;;
;2016;0,445;;;;;;;;
;2017;0,442;;;;;;;;
;2018;0,452;;;;;;;;
;2019;0,462;;;;;;;;
;2021;0,478;;;;;;;;
;2022;0,435;;;;;;;;
Diciembre;2007;0,522;;;;;;;;
;2008;0,483;;;;;;;;
;2009;0,482;;;;;;;;
;2010;0,487;;;;;;;;
;2011;0,441;;;;;;;;
;2012;0,445;;;;;;;;
;2013;0,471;;;;;;;;
;2014;0,458;;;;;;;;
;2015;0,454;;;;;;;;
;2016;0,450;;;;;;;;
;2017;0,435;;;;;;;;
;2018;0,452;;;;;;;;
;2019;0,454;;;;;;;;
;2020;0,481;;;;;;;;
;2021;0,466;;;;;;;;
;2022;0,451;;;;;;;;
;;;;;;;;;;
Fuente: Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU.;;;;;;;;;;
Notas:   ;;;;;;;;;;
"* Desde 2020 hasta mayo de 2021 se implementó en la ENEMDU cambios metodológicos asociados al tamaño y distribución de la muestra, nivel de representatividad de los estimadores y construcción de factores de ponderación, afectando la comparabilidad histórica de las estadísticas oficiales. Ante esta problemática, se decidió mantener el esquema tradicional de diseño muestral, estandarizando el cálculo de factores de ponderación a nivel de la Unidad Primaria de Muestreo y recalculando los indicadores desde septiembre 2020 hasta mayo  2021, con el fin de mantener la comparabilidad de las cifras. Para mayor información referirse a la nota técnica disponible en: https://bit.ly/3hQMHRE
";;;;;;;;;;
