;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
 Período ;;Índice de Gini;;;;Índice ;;;;
Junio;  2007 (1);-;;;;;;;;
;2008;0,480;;;;;;;;
;   2009 (1);-;;;;;;;;
;2010;0,470;;;;;;;;
;2011;0,462;;;;;;;;
;2012;0,430;;;;;;;;
;2013;0,429;;;;;;;;
;2014;0,459;;;;;;;;
;2015;0,437;;;;;;;;
;2016;0,446;;;;;;;;
;2017;0,434;;;;;;;;
;2018;0,448;;;;;;;;
;2019;0,432;;;;;;;;
;2021;0,477;;;;;;;;
;2022;0,432;;;;;;;;
Diciembre;2007;0,501;;;;;;;;
;2008;0,479;;;;;;;;
;2009;0,455;;;;;;;;
;2010;0,441;;;;;;;;
;2011;0,456;;;;;;;;
;2012;0,456;;;;;;;;
;2013;0,441;;;;;;;;
;2014;0,440;;;;;;;;
;2015;0,475;;;;;;;;
;2016;0,456;;;;;;;;
;2017;0,463;;;;;;;;
;2018;0,440;;;;;;;;
;2019;0,444;;;;;;;;
;2020;0,475;;;;;;;;
;2021;0,426;;;;;;;;
;2022;0,433;;;;;;;;
;;;;;;;;;;
Fuente: Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU.;;;;;;;;;;
Notas: (1) La información en junio 2007 y junio 2009 solo fue representativa a nivel urbano.;;;;;;;;;;
"* Desde 2020 hasta mayo de 2021 se implementó en la ENEMDU cambios metodológicos asociados al tamaño y distribución de la muestra, nivel de representatividad de los estimadores y construcción de factores de ponderación, afectando la comparabilidad histórica de las estadísticas oficiales. Ante esta problemática, se decidió mantener el esquema tradicional de diseño muestral, estandarizando el cálculo de factores de ponderación a nivel de la Unidad Primaria de Muestreo y recalculando los indicadores desde septiembre 2020 hasta mayo  2021, con el fin de mantener la comparabilidad de las cifras. Para mayor información referirse a la nota técnica disponible en: https://bit.ly/3hQMHRE
";;;;;;;;;;
