Tipo Muert.;Provincia;Cantón;Area del Hecho;Lugar;Tipo Lugar;Fecha Infracción;Hora Infracción;Arma;Tipo Arma;Probable Causa M.;Edad;Med. Edad;Sexo;Etnia;Estado Civil;Nacionalidad;Anio_i;Mes_i;Cod_prov;cod_cantón
ASESINATO;PICHINCHA;QUITO;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;03:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;45;A;HOMBRE;MESTIZO/A;NO DETERMINADO;OTROS;2023;enero;1701;17
ASESINATO;LOS RIOS;URDANETA;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;04:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;25;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;1206;12
HOMICIDIO;LOS RIOS;QUEVEDO;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;09:45;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;38;A;MUJER;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;1205;12
HOMICIDIO;PICHINCHA;QUITO;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;05:00;ARMA CONTUNDENTE;OTRO;HERIDAS CONTUSAS;33;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;1701;17
ASESINATO;GUAYAS;NARANJITO;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;06:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;25;A;MUJER;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;0912;09
ASESINATO;MANABI;PEDERNALES;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;07:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;30;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;1317;13
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;00:15;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;3;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;0901;09
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;00:15;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;43;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;0901;09
ASESINATO;GUAYAS;DURAN;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;03:25;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;26;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;0907;09
ASESINATO;MANABI;PORTOVIEJO;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;05:50;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;24;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;1301;13
ASESINATO;GUAYAS;BALZAR;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;17:20;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;23;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;0904;09
ASESINATO;GUAYAS;BALZAR;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;21:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;23;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;0904;09
ASESINATO;LOS RIOS;QUEVEDO;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;18:55;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;26;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;1205;12
HOMICIDIO;LOS RIOS;BABAHOYO;URBANO;CONJUNTO HABITACIONAL;PRIVADO;1/1/2023;22:10;ARMA BLANCA;OTRO;HERIDA POR ARMA BLANCA;63;A;HOMBRE;MESTIZO/A;CASADO;ECUADOR;2023;enero;1201;12
ASESINATO;LOS RIOS;BABAHOYO;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;21:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;22;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;1201;12
HOMICIDIO;LOS RIOS;BABAHOYO;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;11:30;ARMA BLANCA;OTRO;HERIDA POR ARMA BLANCA;42;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;1201;12
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;06:20;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;18;A;MUJER;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;0901;09
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;23:20;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;24;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;0901;09
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;CASA/VILLA;PRIVADO;2/1/2023;01:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;33;A;HOMBRE;AFRO;CASADO;ECUADOR;2023;enero;0901;09
ASESINATO;GUAYAS;BALZAR;URBANO;CENTROS Y SUBCENTROS DE SALUD;PRIVADO;1/1/2023;22:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;43;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;0904;09
ASESINATO;GUAYAS;ALFREDO BAQUERIZO MORENO;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;20:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;44;A;HOMBRE;MESTIZO/A;DIVORCIADO;ECUADOR;2023;enero;0902;09
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;2/1/2023;04:20;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;29;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;0901;09
ASESINATO;GUAYAS;SIMON BOLIVAR;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;23:40;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;22;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;0922;09
FEMICIDIO;PICHINCHA;RUMIÑAHUI;URBANO;VIA PUBLICA;PUBLICO;2/1/2023;19:28;ARMA BLANCA;CUCHILLO            ;HERIDA POR ARMA BLANCA;35;A;MUJER;MESTIZO/A;CASADO;ECUADOR;2023;enero;1705;17
ASESINATO;ESMERALDAS;ELOY ALFARO;URBANO;VIA PUBLICA;PUBLICO;1/1/2023;23:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;33;A;HOMBRE;MULATO/A;SOLTERO;ECUADOR;2023;enero;0802;08
ASESINATO;ESMERALDAS;ESMERALDAS;URBANO;VIA PUBLICA;PUBLICO;2/1/2023;20:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;38;A;HOMBRE;AFRO;NO DETERMINADO;ECUADOR;2023;enero;0801;08
ASESINATO;ESMERALDAS;ESMERALDAS;URBANO;VIA PUBLICA;PUBLICO;2/1/2023;20:30;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;33;A;HOMBRE;AFRO;CASADO;ECUADOR;2023;enero;0801;08
ASESINATO;GUAYAS;GUAYAQUIL;URBANO;VIA PUBLICA;PUBLICO;2/1/2023;19:00;ARMA DE FUEGO;OTRO;HERIDA POR ARMA DE FUEGO;22;A;HOMBRE;MESTIZO/A;SOLTERO;ECUADOR;2023;enero;0901;09
