Tipo muerte SRMCE2;Año I;Canton;Provincia;Cuenta Victima;Accion Infraccion;Agravantes 142 1;Agravantes 142 2;Agravantes 142 3;Agravantes 142 4;Ambito Genero;Años Privac;anteced VBG vict;Anteced Vic;Anteced Vict;Antecedentes22;antecedVBG vic vict;Apelacion;Area;Arma Especif;Atenuantes Art 42;Casacion;Categoria Tipificada;Categoria Vict;Circunstancias Art 140;Cod Provin;Cuenta Noticia Delito;Defensor Publico;Delito Sent Ejec;Delito Sentencia;Dictamen;Disc Vic;Edad Reproductiva;Edad Vic;Edad Vict;Embarazo Vic;Estado Causa;Estado Causa2;Estado Ppl;Estcivil Vic;Estcivil Vict;Etnia Vic;Etnia Vict;Fecha Acta;fecha actualizacionCJ;Fecha Detencion;Fecha I;fecha ingresaMatriz;Fecha M;Fecha Ndd;Fecha Proceso;fecha reformulacion NDD;Fecha Sentencia;Fechafallec Vict;Garantia No Repeticion;Gedad Vic;Gedad Vict;Glbti Vic;Hijos Vic;Hora Acta;Hora I;Hora Ndd;Id Victima;Indemnizacion;Indicio Asex;Ingresa;Intento Suicidio;Latitud;Longitud;Lugar Especif;Lugar Hecho;Mas Buscados;Med Cautelares Art522;Mes I;Mod Tipo Penal Otro;Muerte Victimario;Nac Vic;Nac Vict;NDD;Ndd Pd;Ndd Reformulacion;ndd tipoPenal Actual;ndd tipoPenal Inicia;Niña Adoles;Nivel Educación Vic;Nivin Vic;Nivin Vict;Noticia Delito;Num Vic Conex;Numero Juicio;Numhijos Vic;Ocupa Vic;Ocupa Vict;Orden Captura;Otros Agravantes Art 47;Otros Victimarios;Otrosproced Vict;Otrosproced Vict23;otrosProces vic vict;Pcausa M;Ppl Menor;Presun Motiva;presun motivaEsp;Privac Modif;Profesion Vic;Profesion Vict;Profugo Victimario;Rehabilitacion;rela vicConex;Relacion Vic Agresor;reportada PD;Resol Apela;Resol Casac;Restitucion;Satisfaccion Simbolica;Sexo Vic;Sexo Vict;Termina Causa;Tipo Arma;Tipo muerte SRMCE;Tipo Sent Ejec;Tipo Sentencia;Vic Conex;Victimas Indirect
FEMICIDIO;2014;QUITO;PICHINCHA;1;;NO;SI;SI;NO;PRIVADO;26 AÑOS;NO;NO;NO;;NO;NO;URBANA;CUCHILLO;NO;NO;FEMICIDIO;SENTENCIADO;NO APLICA;17;1;SI;141 FEMICIDIO;141 FEMICIDIO;ACUSATORIO;NO DETERMINADO;SI;20;24;NO;RESUELTA;RESUELTA;SENTENCIADO;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;27/2/2014;;30/5/2016;10/8/2014;;27/2/2014;27/2/2014;29/5/2016;;23/12/2016 0:00:00;NO APLICA;NO;ENTRE 15 Y 24 AÑOS;ENTRE 15 Y 24 AÑOS;NO;SI;08:30;05:29;30/12/1899 14:35:02;8635;SI;NO;SAI;SIN DATO;-0,155623;-78,469475;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;6;8;NO APLICA;NO APLICA;ECUADOR;ECUADOR;170101814024772;NO APLICA;NO;140 ASESINATO;140 ASESINATO;;EDUCACION BASICA;EDUCACION BASICA;PRIMARIA;;NO APLICA;17282201603016;2;SIN DATO;PALMICULTOR;NO APLICA;NO;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;MALTRATO;NO APLICA;QUEHACER. DOMESTICOS;ESTUDIANTE;NO;NO;NO APLICA;CONVIVIENTE;NO;NO APLICA;NO APLICA;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA BLANCA;FEMICIDIO;CONDENATORIA;CONDENATORIA;NO;"1 HIJO/A; MADRE"
FEMICIDIO;2014;RIOBAMBA;CHIMBORAZO;1;;NO;SI;NO;NO;PRIVADO;26 AÑOS;NO;NO;ASESINATO;SI;NO;SI;URBANA;CUCHILLO;NO;SI;FEMICIDIO;SENTENCIADO;NO APLICA;06;1;;141 FEMICIDIO;141 FEMICIDIO;ACUSATORIO;NO DETERMINADO;SI;39;40;NO;RESUELTA;RESUELTA;SENTENCIADO;CASADO/A;CASADO/A;MESTIZO/A;MESTIZO/A;12/8/2014;;28/8/2014;12/8/2014;;12/8/2014;13/8/2014;12/8/2014;;24/12/2014 0:00:00;NO APLICA;NO;ENTRE 35 Y 44 AÑOS;ENTRE 35 Y 44 AÑOS;NO;SI;08:30;08:00;30/12/1899 8:47:48;4821;SI;NO;FLAGRANCIA;SIN DATO;-1,680753;-78,635879;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;6;8;NO APLICA;NO APLICA;ECUADOR;ECUADOR;060101814080188;NO APLICA;REFORMULACION A 141 FEMICIDIO;141 FEMICIDIO;140 ASESINATO;;BACHILLERATO;BACHILLERATO;SUPERIOR;;NO APLICA;0628220143779;1;TRABAJADORA DEL HOGAR NO REMUNERADA;TECNICO ELECTROMECANICO;NO APLICA;NO;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;MALTRATO;NO APLICA;EMPLEADA;TLGO.ELECTROMECANICO;NO;NO;NO APLICA;CONYUGE;NO;RATIFICA SENTENCIA;ABANDONO DEL RECURSO;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA BLANCA;FEMICIDIO;CONDENATORIA;CONDENATORIA;NO;"MADRE; HERMANAS/OS"
FEMICIDIO;2014;IBARRA;IMBABURA;1;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO APLICA;NO;NO;NO;;NO;NO APLICA;URBANA;OBJETO CONTUSO;NO APLICA;NO APLICA;FEMICIDIO;SOSPECHOSO;NO APLICA;10;1;;NO APLICA;NO APLICA;ABSTENTIVO;NINGUNA;SI;22;27;NO;INVESTIGACION PREVIA;TRÁMITE;PROFUGO;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;13/8/2014;;30/12/1899;13/8/2014;;13/8/2014;14/8/2014;30/12/1899;;30/12/1899 0:00:00;NO APLICA;NO APLICA;ENTRE 15 Y 24 AÑOS;ENTRE 25 Y 34 AÑOS;NO;NO;23:00;12:00;30/12/1899 15:00:50;4944;NO APLICA;NO;SAI;NO;0,337521;-78,125282;DOMICILIO DEL VICTIMARIO;CASA/VILLA;SI;6;8;NO APLICA;NO APLICA;ECUADOR;ECUADOR;100101814080148;NO APLICA;NO;141 FEMICIDIO;141 FEMICIDIO;;BACHILLERATO;BACHILLERATO;SUPERIOR;;NO APLICA;;NO APLICA;ESTUDIANTE;ESTUDIANTE;SI;NO APLICA;NO;NO;;NO;HERIDAS CONTUSAS;NO;VIOLENCIA COMUNITARIA;EMOCIONAL;NO APLICA;ESTUDIANTE;ESTUDIANTE;SI;NO APLICA;NO APLICA;PAREJA;NO;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;NO APLICA;ARMA CONTUNDENTE;FEMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
FEMICIDIO;2014;NOBOL;GUAYAS;1;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO APLICA;NO;NO;ROBO;SI;NO;NO APLICA;RURAL;CORTO PUNZANTE;NO APLICA;NO APLICA;FEMICIDIO;SOSPECHOSO;NO APLICA;09;1;;NO APLICA;NO APLICA;ABSTENTIVO;NO DETERMINADO;NO;51;35;NO APLICA;INVESTIGACION PREVIA;TRÁMITE;NO APLICA;VIUDO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;27/8/2014;;30/12/1899;14/8/2014;;4/7/2016;15/7/2016;30/12/1899;;30/12/1899 0:00:00;NO APLICA;NO APLICA;ENTRE 45 Y 64 AÑOS;ENTRE 35 Y 44 AÑOS;NO;NO;12:30;00:00;30/12/1899 11:27:37;5910;NO APLICA;NO;FLAGRANCIA;SIN DATO;-1,912146;-80,028336;DOMICILIO DE LA VICTIMA;HACIENDAS;NO APLICA;6;8;NO APLICA;NO APLICA;ECUADOR;ECUADOR;090101816070930;SIN DATO;NO;141 FEMICIDIO;141 FEMICIDIO;;EDUCACION BASICA;PRIMARIA;BACHILLERATO;;NO APLICA;;NO APLICA;SIN DATO;CHOFER;NO APLICA;NO APLICA;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;LITIGIO DE BIENES;NO APLICA;QUEHACER. DOMESTICOS;ESTUDIANTE;NO;NO APLICA;NO APLICA;CONVIVIENTE;SI;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;NO APLICA;ARMA BLANCA;FEMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
OTRAS MUERTES VIOLENTAS;2014;ALFREDO BAQUERIZO MORENO;GUAYAS;1;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO APLICA;NO;NO;NO;;VIOLENCIA FISICA Y PSICOLOGICA CONTRA LA MUJER O MIEMBROS DEL NUCLEO FAMILIAR;NO APLICA;RURAL;CUCHILLO;NO APLICA;NO APLICA;ASESINATO;SOSPECHOSO;NO APLICA;09;1;;NO APLICA;NO APLICA;NO APLICA;NINGUNA;SI;30;70;SIN DATO;INVESTIGACION PREVIA;TRÁMITE;PROFUGO;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;17/8/2014;;30/12/1899;17/8/2014;;17/8/2014;21/8/2014;21/10/2014;;30/12/1899 0:00:00;NO APLICA;NO APLICA;ENTRE 25 Y 34 AÑOS;DE 65 AÑOS Y MÁS;NO;SIN DATO;20:30;16:00;30/12/1899 14:03:50;5196;NO APLICA;NO;SAI;NO;-1,919422;-79,58477;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;6;8;NO APLICA;NO APLICA;ECUADOR;ECUADOR;092001814080080;NO APLICA;NO;140 ASESINATO;140 ASESINATO;;EDUCACION BASICA;PRIMARIA;SIN DATO;;NO APLICA;0926120140870;SIN DATO;TRABAJADORA DEL HOGAR NO REMUNERADA;SIN DATO;SI;NO APLICA;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;QUEHACER. DOMESTICOS;JORNALERO;SI;NO APLICA;NO APLICA;CONVIVIENTE;NO;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;NO APLICA;ARMA BLANCA;HOMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
OTRAS MUERTES VIOLENTAS;2014;GUAYAQUIL;GUAYAS;1;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO APLICA;NO;NO;NO;;NO;NO APLICA;URBANA;REVOLVER;NO APLICA;NO APLICA;ASESINATO;FALLECIDO;NO APLICA;09;1;;NO APLICA;NO APLICA;NO APLICA;NO DETERMINADO;SI;22;28;NO;RESUELTA;RESUELTA;NO APLICA;SOLTERO/A;SOLTERO/A;MESTIZO/A;MESTIZO/A;19/8/2014;;NO APLICA;19/8/2014;;19/8/2014;19/8/2014;5/10/2017;;30/12/1899 0:00:00;19/8/2014;NO APLICA;ENTRE 15 Y 24 AÑOS;ENTRE 25 Y 34 AÑOS;NO;SI;07:20;05:00;30/12/1899 14:05:04;5228;NO APLICA;NO;SAI;NO APLICA;-2,078139;-79,932552;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;NO APLICA;8;NO APLICA;SUICIDIO;ECUADOR;ECUADOR;090101814083113;NO APLICA;NO;140 ASESINATO;140 ASESINATO;;BACHILLERATO;BACHILLERATO;EDUCACION BASICA;;NO APLICA;09286201710911G;1;OTROS;SIN DATO;NO APLICA;NO APLICA;NO;JUICO DE ALIMENTOS;;NO;HERIDA POR ARMA DE FUEGO;NO;SICOPATOLOGIAS;TRANSTORNOS MENTALES;NO APLICA;ESTUDIANTE;ESTUDIANTE;NO APLICA;NO APLICA;NO APLICA;CONVIVIENTE;NO;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;ARCHIVO DE LA INVESTIGACION PREVIA;ARMA DE FUEGO;ASESINATO;NO APLICA;NO APLICA;NO;NO APLICA
OTRAS MUERTES VIOLENTAS;2014;ESMERALDAS;ESMERALDAS;1;NO APLICA;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PUBLICO;NO APLICA;NO IDENTIFICADO;NO;NO IDENTIFICADO;;NO IDENTIFICADO;NO APLICA;URBANA;CUCHILLO;NO APLICA;NO APLICA;ASESINATO;NO IDENTIFICADO;NO APLICA;08;1;;NO APLICA;NO APLICA;SIN DATO;NO DETERMINADO;SI;37;NO IDENTIFICADO;SIN DATO;RESUELTA;RESUELTA;NO APLICA;SOLTERO/A;NO IDENTIFICADO;AFROECUATORIANO/A-AFRODESCENDIENTE;NO IDENTIFICADO;24/8/2014;27/6/2021;NO IDENTIFICADO;24/8/2014;;24/8/2014;24/8/2014;30/12/1899;;30/12/1899 0:00:00;NO IDENTIFICADO;NO APLICA;ENTRE 35 Y 44 AÑOS;NO IDENTIFICADO;NO;SIN DATO;06:30;06:30;30/12/1899 15:23:34;5832;NO APLICA;SI;SAI;NO IDENTIFICADO;0,951943;-79,645575;OTRO LUGAR;VIA PUBLICA;NO IDENTIFICADO;NO IDENTIFICADO;8;NO APLICA;NO IDENTIFICADO;ECUADOR;NO IDENTIFICADO;080101814080273;NO APLICA;NO;140 ASESINATO;140 ASESINATO;;NINGUNO;NINGUNO;NO IDENTIFICADO;1;NO APLICA;NO APLICA;SIN DATO;OTROS;NO IDENTIFICADO;NO IDENTIFICADO;NO APLICA;NO IDENTIFICADO;NO IDENTIFICADO;;NO IDENTIFICADO;HERIDA POR ARMA BLANCA;NO APLICA;DELINCUENCIA COMUN;AMENAZA;NO APLICA;QUEHACER. DOMESTICOS;NO IDENTIFICADO;NO IDENTIFICADO;NO APLICA;NO APLICA;NO IDENTIFICADO;NO;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;NO IDENTIFICADO;ARCHIVO DE LA INVESTIGACION PREVIA;ARMA BLANCA;ASESINATO;NO APLICA;NO APLICA;NO;NO APLICA
OTRAS MUERTES VIOLENTAS;2014;QUITO;PICHINCHA;1;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO APLICA;NO IDENTIFICADO;NO;NO IDENTIFICADO;;NO IDENTIFICADO;NO APLICA;URBANA;PISTOLA;NO APLICA;NO APLICA;HOMICIDIO;NO IDENTIFICADO;NO APLICA;17;1;;NO APLICA;NO APLICA;NO APLICA;NO DETERMINADO;SI;46;NO IDENTIFICADO;NO;INVESTIGACION PREVIA;TRÁMITE;NO APLICA;DIVORCIADO/A;NO IDENTIFICADO;MESTIZO/A;NO IDENTIFICADO;27/8/2014;;NO IDENTIFICADO;27/8/2014;;27/8/2014;2/9/2014;;;30/12/1899 0:00:00;NO IDENTIFICADO;NO APLICA;ENTRE 45 Y 64 AÑOS;NO IDENTIFICADO;NO;SI;21:15;19:40;30/12/1899 17:30:09;5909;NO APLICA;NO;SAI;NO IDENTIFICADO;-0,128462;-78,467303;DOMICILIO DE LA VICTIMA;CASA/VILLA;NO IDENTIFICADO;NO IDENTIFICADO;8;NO APLICA;NO IDENTIFICADO;ECUADOR;NO IDENTIFICADO;170101814090492;NO APLICA;NO;144 HOMICIDIO;144 HOMICIDIO;;EDUCACION BASICA;PRIMARIA;NO IDENTIFICADO;1;NO APLICA;;SIN DATO;EMPLEADA;NO IDENTIFICADO;NO IDENTIFICADO;NO APLICA;NO IDENTIFICADO;NO IDENTIFICADO;;NO IDENTIFICADO;HERIDA POR ARMA DE FUEGO;NO APLICA;DELINCUENCIA COMUN;VIOLACION SEXUAL (DESCONOCIDO);NO APLICA;EMPLEADA;NO IDENTIFICADO;NO IDENTIFICADO;NO APLICA;NO APLICA;NO IDENTIFICADO;NO;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;NO IDENTIFICADO;NO APLICA;ARMA DE FUEGO;HOMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
FEMICIDIO;2014;ESMERALDAS;ESMERALDAS;1;;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PRIVADO;NO APLICA;NO;NO;NO;;NO;NO APLICA;URBANA;CUCHILLO;NO APLICA;NO APLICA;FEMICIDIO;FALLECIDO;NO APLICA;08;1;;NO APLICA;NO APLICA;NO APLICA;NINGUNA;SI;24;30;SI;RESUELTA;RESUELTA;NO APLICA;SOLTERO/A;SOLTERO/A;AFROECUATORIANO/A-AFRODESCENDIENTE;AFROECUATORIANO/A-AFRODESCENDIENTE;29/8/2014;;NO APLICA;29/8/2014;;28/8/2014;4/9/2014;30/12/1899;;30/12/1899 0:00:00;28/8/2014;NO APLICA;ENTRE 15 Y 24 AÑOS;ENTRE 25 Y 34 AÑOS;NO;SIN DATO;07:30;01:00;30/12/1899 15:01:36;5955;NO APLICA;NO;SAI;NO APLICA;0,914861;-79,683405;DOMICILIO FAMILIAR;CASA/VILLA;NO APLICA;NO APLICA;8;NO APLICA;SUICIDIO;ECUADOR;ECUADOR;080101814090103;NO APLICA;NO;141 FEMICIDIO;141 FEMICIDIO;;BACHILLERATO;BACHILLERATO;PRIMARIA;1;NO APLICA;NO APLICA;SIN DATO;SIN DATO;ALBAÑIL;NO APLICA;NO APLICA;NO;NO;;NO;HERIDA POR ARMA BLANCA;NO;VIOLENCIA INTRAFAMILIAR;SENTIMENTAL;NO APLICA;ESTUDIANTE;OBRERO;NO APLICA;NO APLICA;NO APLICA;PAREJA;NO;NO APLICA;NO APLICA;NO APLICA;NO APLICA;MUJER;HOMBRE;EXTINCION DEL EJERCICIO DE LA ACCION PENAL;ARMA BLANCA;FEMICIDIO;NO APLICA;NO APLICA;NO;NO APLICA
OTRAS MUERTES VIOLENTAS;2014;CUENCA;AZUAY;1;144 HOMICIDIO;NO APLICA;NO APLICA;NO APLICA;NO APLICA;PUBLICO;17 AÑOS Y 4 MESES;NO;NO;NO;;NO;SI;URBANA;PISTOLA;NO;SI;HOMICIDIO;SENTENCIADO;NO APLICA;01;1;;144 HOMICIDIO;144 HOMICIDIO;ACUSATORIO;NO DETERMINADO;SI;37;36;SIN DATO;RESUELTA;RESUELTA;SENTENCIADO;SOLTERO/A;DIVORCIADO/A;AFROECUATORIANO/A-AFRODESCENDIENTE;AFROECUATORIANO/A-AFRODESCENDIENTE;30/8/2014;27/6/2021;30/8/2014;30/8/2014;;30/8/2014;31/8/2014;31/8/2014;;8/4/2015 0:00:00;NO APLICA;NO;ENTRE 35 Y 44 AÑOS;ENTRE 35 Y 44 AÑOS;NO;SI;23:00;22:00;30/12/1899 15:50:10;5981;SI;NO;FLAGRANCIA;SIN DATO;-2,926427;-79,046375;OTRO LUGAR;NIGHT CLUBS;NO APLICA;6;8;NO APLICA;NO APLICA;ECUADOR;ECUADOR;010101814080942;NO APLICA;NO;144 HOMICIDIO;144 HOMICIDIO;;EDUCACION BASICA;SECUNDARIA;SECUNDARIA;1;NO APLICA;0165220141803;1;TRABAJADORA SEXUAL;CHOFER;NO APLICA;47.1;NO;NO;;NO;HERIDA POR ARMA DE FUEGO;NO;VIOLENCIA COMUNITARIA;RIÑAS;NO APLICA;CONTADOR BACHILLER;CHOFER PROFESIONAL;NO;NO;NO APLICA;CONOCIDO/A;NO;NEGANDO RECURSO;NEGANDO RECURSO;NO;NO;MUJER;HOMBRE;SENTENCIA;ARMA DE FUEGO;HOMICIDIO;CONDENATORIA;CONDENATORIA;NO;HERMANA
