AÑO;PROVINCIA;CANTÓN;Pos_Cunclillas;Pos_Arrodillada;Pos_Acos_lad;Pos_Sen;Pos_Litotómica;Pos_pie;Par_com_<= 14 años;Par_com_15 A 19 años;Par_com_ 20 A 39 años;Par_com_ 40 Y MAS;Par_csra <= 14 años;Par_csra_ 15 A 19 años;Par_csra_ 20 A 39 años;Par_csra_40 Y MAS;Aborto <= 14 años;Aborto_ 15 A 19 años;Aborto_ 20 A 39 años;Aborto_40 Y MAS;Curetajes;NV_ 500 GR - 2.499 gr.;NV_ 2.500 GR - 5.500 GR.;NV_ Ignorados;NVM_500 gr - 2.499gr.;NVM_2.500 GR - 5.500 GR.;NVM_ignorados;P_Gemelar;P_otros
2020;AZUAY;CAMILO PONCE ENRIQUEZ;8;2;0;0;117;2;0;2;10;0;0;0;0;0;0;0;0;0;0;18;110;0;1;0;0;0;0
2020;AZUAY;CUENCA;9;8;460;442;1673;10;0;117;401;10;4;157;1065;46;1;15;77;10;0;538;3339;0;19;13;0;35;0
2020;AZUAY;GIRON;1;0;251;0;0;0;0;23;91;6;2;19;96;3;0;7;29;5;14;9;361;0;1;2;0;1;0
2020;AZUAY;GUALACEO;0;1;1;0;391;1;1;33;114;3;1;19;112;4;0;4;22;1;0;27;504;0;1;1;0;3;0
2020;AZUAY;NABON;9;3;25;43;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;8;75;0;0;0;0;0;0
2020;AZUAY;PAUTE;0;0;313;2;0;0;1;2;8;0;2;26;144;4;0;0;0;0;0;13;478;0;0;1;0;1;0
2020;AZUAY;PUCARA;0;2;1;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0
2020;AZUAY;SANTA ISABEL;0;1;213;0;16;7;1;25;83;7;0;18;71;5;0;7;23;7;27;5;325;0;0;1;0;0;0
2020;AZUAY;SIGSIG;0;0;0;0;203;4;0;0;16;1;0;14;56;0;0;5;13;4;19;72;204;0;0;1;0;0;0
2020;BOLIVAR;CALUMA;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;70;0;0;0;0;0;0
2020;BOLIVAR;CHILLANES;0;0;0;0;132;0;0;0;0;0;0;2;7;0;0;4;21;1;12;3;127;11;0;0;0;0;0
2020;BOLIVAR;ECHEANDIA;0;0;5;36;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;37;2;0;0;0;1;0
2020;BOLIVAR;GUARANDA;1;21;10;37;625;25;0;0;0;1;1;97;469;14;1;8;12;0;61;128;1160;0;12;12;0;10;0
2020;BOLIVAR;SAN MIGUEL;4;9;1;223;0;3;0;1;7;0;0;10;32;2;0;1;9;3;6;8;274;0;0;2;0;0;0
2020;CAÑAR;AZOGUES;0;0;0;0;761;1;0;6;18;3;8;104;518;28;3;14;102;13;206;127;1284;0;18;3;0;12;0
2020;CAÑAR;BIBLIAN;24;1;2;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;47;0;0;0;0;0;0
2020;CAÑAR;CAÑAR;2;4;0;0;479;0;0;0;0;0;5;26;73;2;0;16;29;6;58;41;544;0;3;4;0;1;0
2020;CAÑAR;DELEG;4;2;2;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0
2020;CAÑAR;EL TAMBO;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2020;CAÑAR;LA TRONCAL;0;2;1;82;772;0;0;0;0;0;2;75;270;11;2;11;61;7;57;7;1206;0;2;2;0;2;0
2020;CAÑAR;SUSCAL;0;0;0;0;35;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;32;0;0;1;0;0;0
2020;CARCHI;ESPEJO;1;0;0;1;132;0;0;0;0;0;0;7;49;2;1;3;16;1;22;7;185;0;0;0;0;0;0
2020;CARCHI;MIRA;0;0;0;0;12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0;0;0;0;0;0
2020;CARCHI;MONTUFAR;2;1;1;18;229;3;0;0;0;0;0;6;41;0;1;7;31;2;26;12;287;0;2;0;0;0;0
2020;CARCHI;TULCAN;0;1;0;0;1105;1;0;9;45;2;3;73;418;33;1;31;159;20;265;198;1430;0;18;4;2;18;0
2020;CHIMBORAZO;ALAUSI;0;0;0;0;186;0;0;0;0;0;0;6;18;0;0;0;0;0;0;10;200;0;0;0;0;0;0
2020;CHIMBORAZO;CHUNCHI;0;0;1;0;139;0;0;0;0;0;0;6;15;0;0;1;20;0;0;1;160;0;0;0;0;0;0
2020;CHIMBORAZO;COLTA;1;23;183;5;22;0;0;0;0;0;0;1;13;1;0;0;0;0;0;15;234;0;0;0;0;0;0
2020;CHIMBORAZO;CUMANDA;0;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0
2020;CHIMBORAZO;GUAMOTE;37;75;118;20;7;4;0;0;0;0;1;2;10;0;0;0;0;0;0;27;247;0;0;0;0;1;0
2020;CHIMBORAZO;GUANO;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
2020;CHIMBORAZO;PALLATANGA;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0
2020;CHIMBORAZO;PENIPE;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2020;CHIMBORAZO;RIOBAMBA;3;16;48;306;1533;2;1;19;59;1;11;200;1049;48;3;45;277;26;431;333;2874;0;20;12;3;26;0
2020;COTOPAXI;LA MANA;9;7;11;251;14;1;0;1;2;0;0;0;0;0;0;0;0;0;0;10;283;0;0;0;0;0;0
2020;COTOPAXI;LATACUNGA;13;15;329;271;1426;5;8;114;256;72;7;91;561;96;2;59;114;40;0;472;2324;3;24;3;2;21;1
2020;COTOPAXI;PANGUA;6;9;18;1;229;3;0;0;9;0;1;3;21;0;1;10;36;5;13;8;278;0;3;2;0;0;0
2020;COTOPAXI;PUJILI;3;4;3;388;7;0;0;0;0;0;0;8;74;5;1;6;23;1;29;55;434;0;3;1;0;1;0
2020;COTOPAXI;SALCEDO;0;75;28;139;108;0;0;0;0;0;0;11;16;1;1;8;19;4;0;22;356;0;0;0;0;0;0
2020;COTOPAXI;SAQUISILI;1;4;1;165;1;2;0;1;9;0;0;0;0;0;0;0;0;0;0;4;170;0;0;0;0;0;0
2020;COTOPAXI;SIGCHOS;0;0;0;0;110;0;0;0;0;0;0;4;14;0;0;1;13;0;3;3;125;0;0;1;0;1;0
