event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ECU3087,"30 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Ecuador)","Students (Ecuador)",6,,,0,60,,218,"South America",Ecuador,Azuay,Cuenca,,Cuenca,-2.9006,-79.0045,1,"El Mercurio (Ecuador)",Subnational,"On 30 March 2023, in Cuenca (Azuay), dozens of students attending Cuenca University marched through Solano avenue as a demonstration to demand the National Assembly to not approve the Superior Education Organic Law (LOES) reforms. The students have been carrying out demonstrations for several days.",0,"crowd size=dozens",1680546529
ECU3094,"29 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Ecuador)","UNE: National Union of Educators; Teachers (Ecuador); UP: Popular Unity (Ecuador)",6,,,0,60,,218,"South America",Ecuador,Pichincha,Quito,,Quito,-0.2299,-78.525,1,"El Comercio (Ecuador)",National,"On 29 March 2023, in Quito - Eugenio Espejo (Pichincha), leaders of the National Union of Educators (UNE), members of Popular Unity (UP) and members of the Neighborhoods Federation staged a demonstration outside the Constitutional Court offices to demand the entity approve the impeachment process against president Guillermo Lasso, that was proposed by the national assembly.",0,"crowd size=no report",1680546529
ECU3093,"28 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Ecuador)","CONAIE: Confederation of Indigenous Nationalities of Ecuador; Indigenous Group (Ecuador)",6,,,0,60,,218,"South America",Ecuador,Pichincha,Quito,,Quito,-0.2299,-78.525,1,"El Comercio (Ecuador)",National,"On 28 March 2023, in Quito - Eugenio Espejo (Pichincha), Indigenous citizens members of the Confederation of Indigenous Nationalities of Ecuador (CONAIE) marched outside the Constitutional Court offices to demand the entity approve the impeachment process against president Guillermo Lasso, that was proposed by the national assembly.",0,"crowd size=no report",1680546529
ECU3095,"28 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Ecuador)",,6,,,0,60,,218,"South America",Ecuador,Tungurahua,Ambato,,Ambato,-1.2491,-78.6168,1,"El Heraldo (Ecuador)",Subnational,"On 28 March 2023, in Ambato (Tungurahua), parents of students of the Plazas and Markets Child Development Centers (CDI) staged a demonstration in front of the local government offices to voice their concern about the local authorities not extending their agreement with the Social and Economic Inclusion Ministry (MIES) for the CDIs to continue operating.",0,"crowd size=no report",1680546529
ECU3086,"27 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Ecuador)","Students (Ecuador)",6,,,0,60,,218,"South America",Ecuador,Azuay,Cuenca,,Cuenca,-2.9006,-79.0045,1,"El Mercurio (Ecuador)",Subnational,"On 27 March 2023, in Cuenca (Azuay), dozens of students attending Cuenca University marched as a demonstration to demand the National Assembly to not approve the Superior Education Organic Law (LOES) reforms.",0,"crowd size=dozens",1680546529
ECU3089,"27 March 2023",2023,1,Demonstrations,Riots,"Violent demonstration","Rioters (Ecuador)",,5,"Police Forces of Ecuador (2021-)","Military Forces of Ecuador (2021-)",1,15,,218,"South America",Ecuador,Chimborazo,Alausi,,Alausi,-2.2051,-78.8453,1,"El Diario (Ecuador)",National,"On 27 March 2023, in Alausi (Chimborazo), residents staged a demonstration outside the local government offices to reject the presence of president Guillermo Lasso, who came to hold a meeting with local authorities and propose actions about the landslide that happened days prior. The residents clashed with police and military officers, and they damaged the tires of the cars of the president's caravan.",0,"crowd size=no report",1680546529
ECU3091,"27 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Ecuador)",,6,,,0,60,,218,"South America",Ecuador,Pichincha,Quito,,Quito,-0.2299,-78.525,1,"El Comercio (Ecuador)",National,"On 27 March 2023, in Quito - Manuela Saenz (Pichincha), family members of three journalists that were kidnapped and killed five years prior by FARC Dissidents staged a demonstration in Teatro square to demand the government provide justice in the case, and to find the culprits.",0,"crowd size=no report",1680546529
ECU3092,"27 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Ecuador)",,6,,,0,60,,218,"South America",Ecuador,Pichincha,Quito,,Quito,-0.2299,-78.525,1,Expreso,National,"On 27 March 2023, in Quito - Los Chillos (Pichincha), residents of Pintag parish blocked the Pan-American highway at a roundabout as a demonstration to demand local authorities for a solution about the increase of bus fares, which they claim is too high.",0,"crowd size=no report",1680546529
ECU3090,"25 March 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Ecuador)","Vigilante Group (Ecuador)",5,"Civilians (Ecuador)",,7,57,"Civilian targeting",218,"South America",Ecuador,Pichincha,Quito,,Quito,-0.2299,-78.525,1,"El Diario (Ecuador)",National,"On 25 March 2023, in Quito - Tumbaco (Pichincha), residents of Pifo parish captured, beat up and burned a man accused of robbing a car. The man was rescued by firefighters and taken to a hospital.",0,"crowd size=no report",1680546529
ECU3088,"24 March 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Ecuador)","Labor Group (Ecuador)",6,,,0,60,,218,"South America",Ecuador,Chimborazo,Alausi,,Alausi,-2.2051,-78.8453,1,"Diario Regional Los Andes",Subnational,"On 24 March 2023, in Alausi (Chimborazo), residents and merchants blocked the Alausi - Riobamba highway as a demonstration to show their grievance about the unfulfilled works promised by the government to mitigate the damages caused by the increasing geological faults and landslides. This demonstration happened after a landslide happened in the canton days before.",0,"crowd size=no report",1680546529
