,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Serie 1.1.2B
Número de defunciones en el año (t+1) por edades simples (días) a nivel nacional
Periodo 1990 - 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Años,Total defunciones (t+1)1/,Días,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,
,1990," 2,395 ", 345 , 275 , 195 , 137 , 110 , 122 , 117 , 94 , 56 , 67 , 52 , 50 , 63 , 64 , 80 , 56 , 37 , 46 , 40 , 53 , 48 , 44 , 31 , 51 , 36 , 38 , 30 , 36 , 22 , - ,,
,1991," 2,216 ", 290 , 297 , 207 , 147 , 105 , 107 , 88 , 80 , 59 , 61 , 47 , 40 , 44 , 53 , 45 , 48 , 49 , 28 , 40 , 45 , 50 , 36 , 42 , 38 , 41 , 38 , 34 , 39 , 18 , - ,,
,1992," 2,126 ", 317 , 334 , 192 , 116 , 118 , 97 , 80 , 90 , 68 , 55 , 55 , 36 , 54 , 34 , 66 , 29 , 25 , 30 , 29 , 45 , 35 , 23 , 29 , 29 , 22 , 33 , 24 , 38 , 23 , - ,,
,1993," 2,108 ", 313 , 286 , 181 , 151 , 105 , 78 , 97 , 81 , 55 , 67 , 47 , 45 , 48 , 44 , 40 , 31 , 33 , 45 , 28 , 45 , 53 , 38 , 33 , 29 , 35 , 31 , 22 , 28 , 19 , - ,,
,1994," 1,711 ", 287 , 255 , 146 , 100 , 98 , 94 , 66 , 48 , 56 , 43 , 57 , 35 , 31 , 29 , 42 , 30 , 29 , 27 , 26 , 37 , 21 , 23 , 17 , 18 , 22 , 19 , 17 , 23 , 12 , 3 ,,
,1995," 1,658 ", 273 , 259 , 143 , 105 , 91 , 81 , 80 , 70 , 37 , 43 , 34 , 22 , 25 , 35 , 42 , 23 , 27 , 27 , 15 , 32 , 34 , 23 , 18 , 21 , 25 , 25 , 16 , 20 , 10 , 2 ,,
,1996," 1,671 ", 246 , 264 , 152 , 98 , 87 , 91 , 81 , 67 , 45 , 46 , 38 , 44 , 26 , 40 , 49 , 27 , 24 , 26 , 23 , 28 , 18 , 22 , 27 , 16 , 22 , 19 , 17 , 15 , 9 , 4 ,,
,1997," 1,643 ", 270 , 258 , 159 , 110 , 89 , 65 , 64 , 56 , 36 , 51 , 32 , 31 , 33 , 27 , 43 , 15 , 25 , 25 , 31 , 37 , 21 , 23 , 23 , 22 , 27 , 23 , 12 , 22 , 9 , 4 ,,
,1998," 1,675 ", 258 , 265 , 147 , 148 , 92 , 82 , 76 , 61 , 41 , 45 , 36 , 39 , 34 , 27 , 36 , 24 , 19 , 17 , 15 , 22 , 19 , 29 , 22 , 21 , 20 , 17 , 17 , 23 , 13 , 10 ,,
,1999," 1,838 ", 293 , 303 , 176 , 107 , 123 , 80 , 76 , 68 , 54 , 52 , 41 , 49 , 18 , 35 , 32 , 32 , 27 , 27 , 20 , 23 , 16 , 23 , 24 , 32 , 21 , 24 , 21 , 30 , 9 , 2 ,,
,2000," 1,830 ", 295 , 289 , 184 , 116 , 94 , 79 , 70 , 78 , 46 , 51 , 46 , 40 , 30 , 31 , 35 , 29 , 29 , 25 , 13 , 21 , 33 , 33 , 20 , 31 , 21 , 22 , 20 , 24 , 15 , 10 ,,
,2001," 1,606 ", 227 , 231 , 150 , 98 , 90 , 74 , 65 , 75 , 38 , 62 , 45 , 27 , 18 , 32 , 48 , 27 , 37 , 31 , 24 , 28 , 24 , 25 , 22 , 15 , 15 , 27 , 21 , 16 , 10 , 4 ,,
,2002," 1,528 ", 261 , 257 , 143 , 84 , 74 , 72 , 51 , 45 , 45 , 43 , 36 , 36 , 24 , 27 , 39 , 26 , 16 , 20 , 11 , 37 , 24 , 22 , 10 , 17 , 23 , 20 , 9 , 26 , 16 , 14 ,,
,2003," 1,426 ", 236 , 207 , 122 , 86 , 81 , 53 , 48 , 56 , 39 , 42 , 46 , 38 , 32 , 22 , 33 , 23 , 22 , 35 , 14 , 31 , 17 , 19 , 22 , 18 , 23 , 13 , 9 , 23 , 11 , 5 ,,
,2004," 1,431 ", 237 , 229 , 129 , 108 , 71 , 55 , 60 , 50 , 34 , 38 , 46 , 31 , 28 , 21 , 42 , 16 , 19 , 19 , 16 , 29 , 25 , 13 , 12 , 17 , 22 , 18 , 12 , 15 , 19 , - ,,
,2005," 1,396 ", 209 , 247 , 145 , 80 , 62 , 79 , 47 , 67 , 36 , 41 , 35 , 30 , 28 , 26 , 26 , 23 , 24 , 17 , 17 , 30 , 12 , 23 , 13 , 15 , 9 , 18 , 18 , 7 , 12 , - ,,
,2006," 1,413 ", 210 , 240 , 131 , 104 , 86 , 54 , 68 , 43 , 36 , 53 , 42 , 30 , 28 , 24 , 27 , 28 , 17 , 19 , 21 , 17 , 17 , 25 , 12 , 12 , 23 , 22 , 11 , 7 , 6 , - ,,
