,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Serie 1.1.2D
Número de defunciones en el año (t+1) por edades simples (De 1 a 120 años) a nivel nacional
Periodo 1990 - 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Años,Total defunciones (t+1)1/,Años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,Sin información,,INDICE,
1990,"42,244"," 1,984 ", 710 , 389 , 293 , 244 , 183 , 169 , 181 , 158 , 150 , 156 , 178 , 182 , 167 , 167 , 237 , 237 , 289 , 293 , 305 , 295 , 338 , 304 , 339 , 291 , 279 , 268 , 295 , 263 , 333 , 259 , 300 , 283 , 273 , 317 , 266 , 316 , 328 , 301 , 354 , 250 , 328 , 296 , 310 , 370 , 305 , 324 , 337 , 299 , 425 , 320 , 392 , 344 , 419 , 465 , 412 , 397 , 439 , 443 , 693 , 445 , 502 , 474 , 518 , 694 , 496 , 539 , 591 , 588 , 924 , 529 , 663 , 638 , 645 ," 1,017 ", 673 , 613 , 750 , 722 ," 1,172 ", 626 , 695 , 617 , 621 , 955 , 571 , 516 , 505 , 449 , 902 , 215 , 239 , 164 , 156 , 328 , 131 , 101 , 91 , 653 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 274 ,,,
1991,"45,881"," 1,906 ", 694 , 441 , 316 , 232 , 212 , 205 , 184 , 152 , 196 , 172 , 157 , 174 , 186 , 217 , 261 , 263 , 283 , 313 , 333 , 314 , 333 , 304 , 336 , 324 , 307 , 302 , 344 , 311 , 352 , 270 , 310 , 302 , 302 , 352 , 300 , 330 , 363 , 295 , 368 , 323 , 345 , 327 , 376 , 432 , 342 , 322 , 390 , 312 , 455 , 399 , 430 , 394 , 399 , 485 , 452 , 447 , 547 , 423 , 717 , 563 , 571 , 544 , 542 , 762 , 585 , 625 , 611 , 549 , 970 , 654 , 662 , 668 , 763 ," 1,051 ", 774 , 733 , 802 , 751 ," 1,283 ", 868 , 744 , 738 , 687 , 976 , 678 , 570 , 536 , 479 , 870 , 475 , 245 , 235 , 167 , 308 , 177 , 96 , 104 , 627 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 205 ,,,
1992,"46,104"," 1,978 ", 723 , 441 , 284 , 247 , 200 , 193 , 175 , 155 , 175 , 152 , 192 , 161 , 180 , 174 , 249 , 255 , 330 , 302 , 311 , 340 , 342 , 325 , 315 , 375 , 346 , 320 , 359 , 297 , 331 , 321 , 343 , 297 , 334 , 330 , 335 , 342 , 350 , 353 , 376 , 326 , 358 , 317 , 309 , 407 , 363 , 340 , 356 , 322 , 443 , 358 , 430 , 398 , 423 , 482 , 454 , 440 , 471 , 468 , 647 , 520 , 601 , 589 , 603 , 690 , 632 , 623 , 645 , 675 , 934 , 673 , 760 , 636 , 700 , 967 , 745 , 744 , 774 , 751 ," 1,086 ", 790 , 940 , 756 , 762 , 879 , 669 , 601 , 505 , 496 , 766 , 425 , 493 , 209 , 189 , 274 , 171 , 131 , 109 , 605 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 266 ,,,
1993,"45,447"," 1,626 ", 617 , 379 , 264 , 245 , 187 , 141 , 164 , 146 , 165 , 144 , 185 , 165 , 203 , 218 , 253 , 270 , 299 , 273 , 329 , 290 , 394 , 337 , 333 , 318 , 369 , 335 , 356 , 328 , 396 , 311 , 328 , 355 , 337 , 332 , 309 , 338 , 356 , 347 , 372 , 281 , 374 , 335 , 294 , 377 , 345 , 346 , 385 , 358 , 398 , 375 , 420 , 424 , 393 , 467 , 431 , 530 , 418 , 471 , 603 , 490 , 608 , 575 , 604 , 732 , 563 , 566 , 647 , 575 , 840 , 606 , 701 , 712 , 705 , 888 , 729 , 720 , 848 , 777 ," 1,165 ", 746 , 846 , 916 , 776 , 933 , 655 , 601 , 590 , 516 , 772 , 392 , 457 , 393 , 192 , 276 , 176 , 107 , 118 , 555 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 240 ,,,
1994,"45,040"," 1,545 ", 606 , 346 , 254 , 211 , 168 , 149 , 154 , 139 , 142 , 108 , 141 , 164 , 180 , 189 , 239 , 256 , 258 , 259 , 280 , 364 , 341 , 321 , 354 , 350 , 326 , 311 , 353 , 350 , 358 , 298 , 346 , 344 , 337 , 345 , 323 , 351 , 315 , 362 , 368 , 307 , 346 , 331 , 362 , 433 , 353 , 364 , 388 , 377 , 408 , 361 , 364 , 434 , 466 , 449 , 459 , 446 , 495 , 498 , 596 , 476 , 537 , 534 , 639 , 687 , 591 , 576 , 667 , 612 , 906 , 615 , 738 , 668 , 738 , 867 , 732 , 742 , 845 , 767 ," 1,132 ", 765 , 781 , 784 , 934 , 956 , 710 , 605 , 534 , 520 , 759 , 403 , 357 , 214 , 505 , 242 , 131 , 91 , 105 , 409 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 324 ,,,
1995,"45,334"," 1,603 ", 525 , 334 , 239 , 216 , 158 , 176 , 146 , 125 , 123 , 111 , 135 , 166 , 177 , 253 , 243 , 288 , 349 , 313 , 348 , 335 , 357 , 348 , 332 , 368 , 327 , 331 , 351 , 337 , 371 , 314 , 343 , 318 , 306 , 360 , 339 , 306 , 344 , 336 , 380 , 317 , 353 , 349 , 349 , 390 , 346 , 373 , 373 , 340 , 446 , 374 , 387 , 379 , 409 , 480 , 406 , 457 , 472 , 460 , 636 , 521 , 506 , 592 , 594 , 729 , 571 , 635 , 627 , 619 , 828 , 637 , 723 , 761 , 732 , 928 , 692 , 736 , 769 , 786 ," 1,052 ", 852 , 758 , 797 , 804 ," 1,062 ", 743 , 662 , 580 , 525 , 742 , 425 , 329 , 350 , 202 , 499 , 231 , 114 , 95 , 435 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 164 ,,,
1996,"46,949"," 1,326 ", 530 , 276 , 206 , 163 , 176 , 160 , 155 , 119 , 117 , 125 , 137 , 163 , 181 , 219 , 261 , 280 , 310 , 351 , 359 , 288 , 348 , 330 , 362 , 358 , 368 , 338 , 337 , 336 , 339 , 340 , 368 , 321 , 324 , 380 , 320 , 327 , 362 , 333 , 378 , 338 , 356 , 366 , 370 , 390 , 368 , 372 , 423 , 393 , 456 , 417 , 424 , 431 , 426 , 447 , 491 , 470 , 483 , 532 , 660 , 479 , 572 , 559 , 569 , 721 , 744 , 648 , 685 , 718 , 796 , 743 , 673 , 717 , 789 , 927 , 839 , 732 , 843 , 815 ," 1,088 ", 873 , 798 , 814 , 805 ," 1,033 "," 1,027 ", 750 , 654 , 575 , 732 , 471 , 432 , 353 , 349 , 280 , 436 , 101 , 92 , 475 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 158 ,,,
1997,"46,626"," 1,391 ", 590 , 311 , 222 , 156 , 131 , 133 , 131 , 140 , 145 , 153 , 158 , 147 , 193 , 225 , 240 , 289 , 310 , 317 , 344 , 316 , 312 , 335 , 330 , 364 , 330 , 335 , 343 , 310 , 350 , 321 , 299 , 396 , 341 , 336 , 347 , 368 , 339 , 339 , 376 , 327 , 369 , 357 , 339 , 378 , 373 , 338 , 366 , 427 , 457 , 426 , 427 , 420 , 409 , 472 , 469 , 476 , 484 , 464 , 637 , 515 , 582 , 584 , 619 , 701 , 689 , 679 , 705 , 670 , 781 , 699 , 747 , 713 , 777 , 950 , 799 , 794 , 802 , 776 ," 1,034 ", 860 , 908 , 842 , 857 , 963 , 786 , 818 , 707 , 578 , 738 , 437 , 424 , 360 , 336 , 335 , 172 , 450 , 77 , 314 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 120 ,,,
1998,"49,171"," 1,361 ", 516 , 314 , 229 , 187 , 159 , 129 , 144 , 132 , 120 , 127 , 186 , 149 , 176 , 221 , 242 , 302 , 328 , 368 , 407 , 351 , 368 , 388 , 375 , 355 , 385 , 372 , 380 , 338 , 390 , 321 , 351 , 365 , 337 , 379 , 363 , 343 , 405 , 372 , 407 , 344 , 386 , 390 , 404 , 406 , 353 , 416 , 465 , 402 , 426 , 401 , 426 , 432 , 436 , 444 , 475 , 491 , 506 , 494 , 642 , 542 , 599 , 610 , 658 , 708 , 699 , 710 , 794 , 705 , 834 , 706 , 745 , 832 , 827 , 957 , 875 , 868 , 909 , 809 ," 1,076 ", 862 , 904 , 901 , 902 , 995 , 808 , 777 , 833 , 671 , 814 , 490 , 490 , 430 , 340 , 378 , 264 , 118 , 490 , 248 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 112 ,,,
1999,"50,549"," 1,073 ", 495 , 273 , 253 , 170 , 178 , 163 , 140 , 130 , 124 , 114 , 139 , 147 , 183 , 197 , 258 , 294 , 319 , 329 , 328 , 383 , 368 , 361 , 409 , 371 , 366 , 349 , 388 , 316 , 370 , 351 , 359 , 364 , 346 , 362 , 399 , 345 , 392 , 397 , 380 , 365 , 380 , 400 , 394 , 419 , 407 , 406 , 463 , 456 , 478 , 404 , 440 , 486 , 485 , 522 , 497 , 481 , 581 , 513 , 599 , 564 , 591 , 711 , 674 , 778 , 669 , 679 , 760 , 836 , 917 , 807 , 769 , 812 , 900 , 990 , 850 , 947 , 964 , 892 ," 1,047 ", 872 , 987 , 993 , 990 ," 1,069 ", 858 , 807 , 783 , 772 , 917 , 567 , 493 , 416 , 413 , 359 , 259 , 203 , 148 , 534 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 93 ,,,
