,,,,,,,,,,,,,,,
"Serie 1.1.4
Razón de mortalidad materna (t) sin consideración del sub-registro (t+1), estimación de mortalidad materna, tasa de mortalidad infantil (t) y tasa de mortalidad infantil (t+1) a nivel nacional
Periodo 1990 - 2021",,,,,,,,,,,,,,,
Años,Razón de mortalidad materna (t)1/,Razón de mortalidad materna (t+1)2/,Razón de mortalidad materna considerando el sub-registro 3/ (*),Tasa de mortalidad infantil (Menores de un año)  en el año (t)1/,Tasa de mortalidad infantil (Menores de un año) en el año (t+1)2/,Tasa neonatal (t)1/,Tasa neonatal (t+1)2/,Tasa mortalidad de la niñez (t)1/,Tasa mortalidad de la niñez (t+1)2/,INDICE,,,,,
,,,,,,,,,,,,,,,
1990,84.6,84.6,153.5,21.8,21.8,8.9,8.9,31.1,31.1,,,,,,
1991,87.9,87.9,,20.5,20.5,8.4,8.4,29.7,29.7,,,,,,
1992,93.1,93.1,,20.2,20.2,8.3,8.3,29.6,29.6,,,,,,
1993,96.1,96.1,,19.4,19.4,8.3,8.3,27.3,27.3,,,,,,
1994,66.8,66.8,,17.0,17.0,7.1,7.1,24.6,24.6,,,,,,
1995,47.2,47.2,135.7,15.4,15.4,7.2,7.2,22.9,22.9,,,,,,
1996,54.1,54.1,,14.9,14.9,7.0,7.0,21.4,21.4,,,,,,
1997,45.3,45.3,,15.3,15.3,6.8,6.8,22.3,22.3,,,,,,
1998,42.6,42.6,,14.5,14.5,6.8,6.8,21.3,21.3,,,,,,
1999,58.5,58.5,,15.1,15.1,7.6,7.6,21.0,21.0,,,,,,
2000,65.4,65.4,115.6,15.5,15.5,7.5,7.5,21.3,21.3,,,,,,
2001,52.6,52.6,,13.6,13.6,6.8,6.8,19.6,19.6,,,,,,
2002,42.3,42.3,,12.9,12.9,6.5,6.5,18.6,18.6,,,,,,
2003,39.3,39.3,,11.3,11.3,5.9,5.9,16.5,16.5,,,,,,
2004,36.8,36.8,,11.3,11.3,6.2,6.2,15.8,15.8,,,,,,
2005,41.0,41.0,91.3,10.6,10.6,6.0,6.0,14.7,14.7,,,,,,
2006,38.8,38.8,,10.7,10.7,6.0,6.0,14.6,14.6,,,,,,
2007,50.7,50.7,,10.2,10.2,6.0,6.0,13.8,13.8,,,,,,
2008,47.7,47.7,,9.8,9.8,5.6,5.6,13.4,13.4,,,,,,
2009,60.3,60.3,,9.5,9.5,5.5,5.5,12.9,12.9,,,,,,
2010,59.0,59.0,64.2,9.3,9.3,5.3,5.3,12.6,12.6,,,,,,
2011,70.4,70.4,70.4,8.9,8.9,5.4,5.4,12.0,12.0,,,,,,
2012,59.9,59.9,59.9,8.8,8.8,4.6,4.6,11.7,11.7,,,,,,
2013,45.7,46.3,46.3,8.6,8.8,4.6,4.7,11.6,11.8,,,,,,
2014,49.2,49.2,49.2,8.4,8.5,4.5,4.6,10.9,11.0,,,,,,
2015,44.6,44.6,44.6,8.9,8.9,5.2,5.2,11.3,11.4,,,,,,
2016,39.7,39.7,39.7,9.1,9.2,5.2,5.2,11.5,11.6,,,,,,
2017,42.8,42.8,42.8,9.7,9.9,5.6,5.7,11.9,12.0,,,,,,
2018,41.1,41.4,41.4,10.2,10.1,6.0,6.1,12.2,12.3,,,,,,
2019,37.0,37.0,37.0,10.1,10.2,6.0,6.1,12.2,12.4,,,,,,
2020,57.6,57.6,57.6,7.7,7.8,4.6,4.7,9.5,9.7,,,,,,
2021 (p**),43.5,43.5,43.5,8.0,8.0,5.1,5.1,9.8,9.8,,,,,,
"1/ Defunciones maternas registrados en el año (t):  corresponden a las defunciones maternas  ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre del mismo año. ",,,,,,,,,,,,,,,
"2/ Defunciones registrados en el año (t+1):  corresponden a las defunciones generales ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre del año siguiente. Cabe mencionar que se ha realizado el ajuste desde el año 2013. ",,,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones generales ocurridas en el año 2021, las mismas que están sujetos a ajustes por registros posteriores y porque aún no ha finalizado el proceso de Búsqueda Intencionada y Reclasificación  de Muerte Materna  - BIRMM, entre el INEC e MSP.",,,,,,,,,,,,,,,
"Fuente: Registro estadístico de defunciones generales, años 1990-2021.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
