x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Serie 1.1.5
Número de muertes violentas en el año (t+1) por sexo a nivel nacional 
Periodo 1990 - 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Años,Muertes violentas (t+1)1/,,,,,,,,,,,,,,,,,,,,,,INDICE,,,,
,,Total muertes violentas,,,"Accidentes de transporte terrestre
CIE-9 (800-829)
CIE-10 (V00 - V89)",,,"Otros accidentes de transporte y otras causas externas de traumatismos accidentales
CIE-9 (830-949)
CIE-10 (V90 - V99)
CIE-10 (W00 - X59)",,,"Suicidios
CIE-9 (950-959)
CIE-10 (X60 - X84)",,,"Agresiones (Homicidios)
CIE-9 (960-969)
CIE-10 (X85 -Y09)",,,"Eventos de intención no determinada
CIE-9 (980-989)
CIE-10 (Y10 - Y34)",,,"Otras muertes violentas
CIE-9 (990-999)
CIE-10 (Y35 - Y98)",,,,,,,,
,,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,,,,,,
,1990,"6,617","5,133","1,484","2,070","1,590",480,"2,973","2,237",736,450,296,154,"1,060",961,99,61,47,14,3,2,1,,,,,,
,1991,"6,893","5,418","1,475","2,231","1,765",466,"2,843","2,162",681,494,305,189,"1,198","1,083",115,127,103,24,-,-,-,,,,,,
,1992,"7,160","5,702","1,458","2,150","1,689",461,"2,995","2,318",677,507,335,172,"1,306","1,197",109,202,163,39,-,-,-,,,,,,
,1993,"7,458","5,830","1,628","2,244","1,737",507,"3,074","2,322",752,578,354,224,"1,444","1,317",127,117,99,18,1,1,-,,,,,,
,1994,"7,174","5,680","1,494","1,854","1,416",438,"2,923","2,288",635,512,341,171,"1,280","1,176",104,605,459,146,-,-,-,,,,,,
,1995,"7,466","5,975","1,491","1,825","1,420",405,"3,139","2,465",674,547,367,180,"1,531","1,395",136,398,303,95,26,25,1,,,,,,
,1996,"7,652","6,090","1,562","1,736","1,353",383,"3,309","2,561",748,593,396,197,"1,632","1,501",131,376,276,100,6,3,3,,,,,,
,1997,"7,565","6,114","1,451","2,007","1,576",431,"2,780","2,201",579,581,391,190,"1,475","1,376",99,698,556,142,24,14,10,,,,,,
,1998,"7,929","6,388","1,541","2,040","1,613",427,"3,000","2,317",683,549,374,175,"1,835","1,697",138,482,375,107,23,12,11,,,,,,
,1999,"7,716","6,230","1,486","1,804","1,418",386,"2,640","2,037",603,616,426,190,"1,834","1,670",164,802,671,131,20,8,12,,,,,,
,2000,"8,112","6,621","1,491","2,041","1,597",444,"2,454","1,913",541,538,375,163,"2,086","1,922",164,967,799,168,26,15,11,,,,,,
,2001,"7,824","6,270","1,554","1,899","1,465",434,"2,537","1,952",585,585,399,186,"1,986","1,809",177,795,634,161,22,11,11,,,,,,
,2002,"7,746","6,212","1,534","1,959","1,523",436,"2,585","1,987",598,579,398,181,"2,059","1,858",201,553,440,113,11,6,5,,,,,,
,2003,"7,476","5,990","1,486","2,010","1,568",442,"2,659","2,079",580,675,453,222,"1,771","1,603",168,346,277,69,15,10,5,,,,,,
,2004,"7,784","6,265","1,519","1,843","1,427",416,"2,690","2,077",613,796,559,237,"2,315","2,104",211,130,91,39,10,7,3,,,,,,
,2005,"8,527","6,896","1,631","2,379","1,865",514,"2,592","1,995",597,943,683,260,"2,409","2,220",189,185,117,68,19,16,3,,,,,,
,2006,"8,566","6,816","1,750","2,520","1,974",546,"2,577","1,954",623,900,602,298,"2,357","2,138",219,186,139,47,26,9,17,,,,,,
,2007,"8,521","6,912","1,609","2,655","2,131",524,"2,425","1,886",539,"1,006",732,274,"2,301","2,070",231,122,85,37,12,8,4,,,,,,
,2008,"9,478","7,764","1,714","2,691","2,188",503,"2,825","2,195",630,929,674,255,"2,479","2,279",200,504,393,111,50,35,15,,,,,,
,2009,"9,641","7,829","1,812","3,176","2,535",641,"2,605","2,013",592,966,721,245,"2,187","1,992",195,685,554,131,22,14,8,,,,,,
