,,,,,,,,,,,,,,,,,,,,,,,,,,
"Serie 1.1.7
Tasa de muertes según agrupamiento de causas (Lista corta de las principales causas de muerte Becker) 
 Periodo 1997 - 2021",,,,,,,,,,,,,,,,,,,,,,,,,,
Agrupamiento causas (Lista corta de las principales causas de muerte Becker)2/,Años (t+1)1/,,,,,,,,,,,,,,,,,,,,,,,,,INDICE
,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 (p**),
Proyección poblacional," 11,735,391 "," 11,992,073 "," 12,257,190 "," 12,531,210 "," 12,814,503 "," 13,093,527 "," 13,319,575 "," 13,551,875 "," 13,721,297 "," 13,964,606 "," 14,214,982 "," 14,472,881 "," 14,738,472 "," 15,012,228 "," 15,266,431 "," 15,520,973 "," 15,774,749 "," 16,027,466 "," 16,278,844 "," 16,528,730 "," 16,776,977 "," 17,023,408 "," 17,267,986 "," 17,510,643 "," 17,751,277 ",
Total Nacional, 443.86 , 453.27 , 456.23 , 450.24 , 430.87 , 424.25 , 401.82 , 403.85 , 414.14 , 414.91 , 408.13 , 414.73 , 405.16 , 410.87 , 408.11 , 409.19 , 407.02 , 397.99 , 401.69 , 413.24 , 418.10 , 422.84 , 431.08 , 669.31 , 592.90 ,
1 Enfermedades infecciosas intestinales, 9.03 , 8.22 , 6.47 , 6.98 , 6.53 , 5.34 , 4.77 , 3.80 , 3.28 , 3.46 , 3.03 , 2.31 , 2.48 , 1.65 , 1.59 , 1.48 , 1.05 , 0.87 , 0.95 , 0.91 , 0.83 , 0.68 , 0.65 , 0.97 , 0.70 ,
2 Tuberculosis, 8.79 , 10.81 , 9.15 , 9.02 , 7.59 , 6.82 , 6.00 , 5.63 , 5.88 , 5.54 , 4.97 , 4.62 , 3.86 , 3.66 , 3.15 , 2.76 , 2.47 , 2.61 , 2.68 , 2.40 , 2.64 , 2.51 , 2.65 , 2.33 , 2.98 ,
3 Enfermedades transmitidas por vectores y rabia, 0.64 , 0.76 , 0.86 , 0.72 , 0.83 , 0.58 , 0.44 , 0.35 , 0.55 , 0.32 , 0.30 , 0.19 , 0.23 , 0.37 , 0.22 , 0.37 , 0.25 , 0.21 , 0.27 , 0.21 , 0.14 , 0.11 , 0.15 , 0.50 , 0.25 ,
4 Enfermedades inmunoprevenibles, 0.66 , 0.47 , 0.62 , 0.49 , 0.30 , 0.23 , 0.35 , 0.32 , 0.28 , 0.18 , 0.20 , 0.30 , 0.26 , 0.27 , 0.18 , 0.15 , 0.21 , 0.18 , 0.16 , 0.18 , 0.17 , 0.17 , 0.19 , 0.09 , 0.08 ,
5 Meningitis, 1.14 , 1.32 , 1.48 , 1.41 , 1.31 , 1.24 , 1.06 , 0.97 , 0.69 , 0.75 , 0.73 , 0.58 , 0.50 , 0.63 , 0.37 , 0.35 , 0.48 , 0.40 , 0.36 , 0.41 , 0.40 , 0.41 , 0.44 , 0.31 , 0.39 ,
