,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Serie No. 1.2.1
Número de defunciones, tasa de mortalidad general en el año (t+1) según región y provincia de residencia habitual del fallecido/a
Periodo 2008 - 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provincia de residencia,Evolución de la Mortalidad General en el año (t+1)1/ por Provincia de Residencia Habitual del Fallecido (a),,,,,,,,,,,,,,Proyecciones poblacionales,,,,,,,,,,,,,,Evolución de la Tasa de Mortalidad General en el año (t+1)1/ por Provincia de Residencia Habitual del Fallecido (a),,,,,,,,,,,,,,INDICE
,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 (**p),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021 (p**),
Total Nacional," 60,023 "," 59,714 "," 61,681 "," 62,304 "," 63,511 "," 64,206 "," 63,788 "," 65,391 "," 68,304 "," 70,144 "," 71,982 "," 74,439 "," 117,200 "," 105,248 ","14,472,881","14,738,472","15,012,228","15,266,431","15,520,973","15,774,749","16,027,466","16,278,844","16,528,730","16,776,977","17,023,408","17,267,986","17,510,643","17,751,277",4.1,4.1,4.1,4.1,4.1,4.1,4.0,4.0,4.1,4.2,4.2,4.3,6.7,5.9,
Región Sierra," 28,575 "," 28,024 "," 28,395 "," 28,841 "," 29,079 "," 29,003 "," 28,789 "," 28,954 "," 30,084 "," 31,011 "," 32,589 "," 33,136 "," 47,350 "," 47,661 ","6,505,011","6,618,970","6,736,640","6,853,411","6,970,827","7,088,261","7,205,558","7,322,549","7,439,121","7,555,183","7,670,682","7,785,535","7,847,136","7,959,793",4.4,4.2,4.2,4.2,4.2,4.1,4.0,4.0,4.0,4.1,4.2,4.3,6.0,6.0,
Azuay," 3,058 "," 3,109 "," 3,104 "," 3,233 "," 3,297 "," 3,366 "," 3,421 "," 3,369 "," 3,440 "," 3,540 "," 3,659 "," 3,701 "," 4,965 "," 5,076 ","714,015","726,564","739,520","753,493","767,695","781,919","796,169","810,412","824,646","838,859","853,070","867,239","881,394","895,503",4.3,4.3,4.2,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.3,4.3,5.6,5.7,
Bolívar," 1,101 "," 1,016 ", 995 ," 1,002 ", 998 ," 1,024 ", 996 ," 1,019 ", 965 , 978 ," 1,039 "," 1,059 "," 1,359 "," 1,410 ","188,551","190,075","191,631","193,689","195,719","197,708","199,646","201,533","203,344","205,094","206,771","208,384","209,933","211,413",5.8,5.3,5.2,5.2,5.1,5.2,5.0,5.1,4.7,4.8,5.0,5.1,6.5,6.7,
Cañar," 1,064 "," 1,039 "," 1,139 "," 1,074 "," 1,153 "," 1,124 "," 1,127 "," 1,146 "," 1,176 "," 1,256 "," 1,255 "," 1,299 "," 1,645 "," 1,632 ","231,539","233,635","235,814","240,248","244,754","249,297","253,863","258,450","263,048","267,643","272,236","276,819","281,396","285,960",4.6,4.4,4.8,4.5,4.7,4.5,4.4,4.4,4.5,4.7,4.6,4.7,5.8,5.7,
Carchi, 805 , 773 , 745 , 749 , 704 , 763 , 760 , 760 , 773 , 778 , 832 , 843 ," 1,095 "," 1,226 ","169,279","170,487","171,746","173,410","175,050","176,662","178,228","179,768","181,265","182,719","184,136","185,523","186,869","188,167",4.8,4.5,4.3,4.3,4.0,4.3,4.3,4.2,4.3,4.3,4.5,4.5,5.9,6.5,
Cotopaxi," 2,120 "," 1,947 "," 2,019 "," 2,036 "," 2,014 "," 2,018 "," 1,937 "," 1,876 "," 1,971 "," 1,671 "," 2,039 "," 2,190 "," 2,864 "," 3,010 ","411,193","417,846","424,663","431,243","437,826","444,398","450,921","457,404","463,819","470,167","476,428","482,615","488,716","494,716",5.2,4.7,4.8,4.7,4.6,4.5,4.3,4.1,4.2,3.6,4.3,4.5,5.9,6.1,
