,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Serie 1.2.5
Defunciones en el año (t+1) por sexo, según región y provincia de residencia habitual del fallecido/a
Periodo 2008 - 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Región y provincia,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021 (p**),,,,INDICE,
,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,,,
Total Nacional (t+1)1/,60023,"34,509 ","25,514 ","59,714 ","33,868 ","25,846 ","61,681 ","34,895 ","26,786 ","62,304 ","35,268 ","27,036 ","63,511 ","35,314 ","28,197 ","64,206 ","35,554 ","28,652 ","63,788 ","35,242 ","28,546 ","65,391 ","35,936 ","29,455 ","68,304 ","37,384 ","30,920 ","70,144 ","38,541 ","31,603 ","71,982 ","39,612 ","32,370 ","74,439 ","41,205 ","33,234 ","117,200 ","69,031 ","48,169 ","105,248 ","60,008 ","45,240 ",,,
Región Sierra,28575,"15,664 ","12,911 ","28,024 ","15,110 ","12,914 ","28,395 ","15,370 ","13,025 ","28,841 ","15,497 ","13,344 ","29,079 ","15,482 ","13,597 ","29,003 ","15,363 ","13,640 ","28,789 ","15,212 ","13,577 ","28,954 ","15,202 ","13,752 ","30,084 ","15,926 ","14,158 ","31,011 ","16,299 ","14,712 ","32,589 ","17,267 ","15,322 ","33,136 ","17,607 ","15,529 ","47,350 ","26,935 ","20,415 ","47,661 ","26,597 ","21,064 ",,,
Azuay,3058,"1,600 ","1,458 ","3,109 ","1,595 ","1,514 ","3,104 ","1,649 ","1,455 ","3,233 ","1,698 ","1,535 ","3,297 ","1,711 ","1,586 ","3,366 ","1,700 ","1,666 ","3,421 ","1,784 ","1,637 ","3,369 ","1,706 ","1,663 ","3,440 ","1,724 ","1,716 ","3,540 ","1,785 ","1,755 ","3,659 ","1,868 ","1,791 ","3,701 ","1,857 ","1,844 ","4,965 ","2,733 ","2,232 ","5,076 ",2750,2326,,,
Bolívar,1101,594 ,507 ,"1,016 ",564 ,452 ,995 ,540 ,455 ,"1,002 ",541 ,461 ,998 ,575 ,423 ,"1,024 ",542 ,482 ,996 ,521 ,475 ,"1,019 ",551 ,468 ,965 ,527 ,438 ,978 ,533 ,445 ,"1,039 ",579 ,460 ,"1,059 ",576 ,483 ,"1,359 ",772 ,587 ,"1,410 ",788,622,,,
Cañar,1064,574 ,490 ,"1,039 ",554 ,485 ,"1,139 ",617 ,522 ,"1,074 ",597 ,477 ,"1,153 ",575 ,578 ,"1,124 ",577 ,547 ,"1,127 ",560 ,567 ,"1,146 ",587 ,559 ,"1,176 ",618 ,558 ,"1,256 ",670 ,586 ,"1,255 ",650 ,605 ,"1,299 ",709 ,590 ,"1,645 ",893 ,752 ,"1,632 ",883,749,,,
Carchi,805,462 ,343 ,773 ,402 ,371 ,745 ,402 ,343 ,749 ,370 ,379 ,704 ,374 ,330 ,763 ,390 ,373 ,760 ,415 ,345 ,760 ,402 ,358 ,773 ,415 ,358 ,778 ,430 ,348 ,832 ,439 ,393 ,843 ,487 ,356 ,"1,095 ",586 ,509 ,"1,226 ",681,545,,,
Cotopaxi,2120,"1,156 ",964 ,"1,947 ","1,077 ",870 ,"2,019 ","1,105 ",914 ,"2,036 ","1,119 ",917 ,"2,014 ","1,096 ",918 ,"2,018 ","1,089 ",929 ,"1,937 ","1,048 ",889 ,"1,876 ",983 ,893 ,"1,971 ","1,035 ",936 ,"1,671 ",923 ,748 ,"2,039 ","1,127 ",912 ,"2,190 ","1,197 ",993 ,"2,864 ","1,656 ","1,208 ","3,010 ",1673,1337,,,
