,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Serie No. 1.2.7
Número de defunciones en el año (t+1) de menores de un año, por sexo, según región y provincia de residencia habitual de la persona fallecida
Período 2008 - 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Región y provincias,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021 (p**),,,,INDICE
,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,,
Total Nacional (t+1)1/," 3,380 "," 1,950 "," 1,430 "," 3,279 "," 1,792 "," 1,487 "," 3,204 "," 1,735 "," 1,469 "," 3,046 "," 1,659 "," 1,387 "," 3,002 "," 1,656 "," 1,346 "," 2,979 "," 1,639 "," 1,340 "," 2,862 "," 1,592 "," 1,270 "," 3,011 "," 1,681 "," 1,330 "," 3,078 "," 1,695 "," 1,383 "," 3,298 "," 1,821 "," 1,477 "," 3,391 "," 1,874 "," 1,517 "," 3,397 "," 1,906 "," 1,491 "," 2,601 "," 1,453 "," 1,148 "," 2,655 "," 1,458 "," 1,197 ",,
Región Sierra," 1,708 ", 991 , 717 ," 1,597 ", 848 , 749 ," 1,584 ", 845 , 739 ," 1,517 ", 814 , 703 ," 1,483 ", 822 , 661 ," 1,421 ", 773 , 648 ," 1,363 ", 750 , 613 ," 1,316 ", 728 , 588 ," 1,373 ", 778 , 595 ," 1,516 ", 840 , 676 ," 1,505 ", 860 , 645 ," 1,533 ", 871 , 662 ," 1,172 ", 620 , 552 ," 1,109 ", 619 , 490 ,,
Azuay, 125 , 73 , 52 , 108 , 57 , 51 , 131 , 66 , 65 , 147 , 80 , 67 , 144 , 81 , 63 , 144 , 76 , 68 , 141 , 82 , 59 , 132 , 80 , 52 , 141 , 75 , 66 , 158 , 89 , 69 , 134 , 75 , 59 , 161 , 86 , 75 , 103 , 59 , 44 , 97 , 61 , 36 ,,
Bolívar, 55 , 32 , 23 , 43 , 26 , 17 , 34 , 17 , 17 , 49 , 26 , 23 , 47 , 27 , 20 , 56 , 29 , 27 , 50 , 22 , 28 , 50 , 29 , 21 , 48 , 20 , 28 , 55 , 26 , 29 , 50 , 27 , 23 , 49 , 29 , 20 , 39 , 29 , 10 , 37 , 19 , 18 ,,
Cañar, 29 , 20 , 9 , 31 , 20 , 11 , 46 , 26 , 20 , 34 , 21 , 13 , 32 , 17 , 15 , 44 , 21 , 23 , 30 , 21 , 9 , 36 , 20 , 16 , 38 , 22 , 16 , 40 , 19 , 21 , 25 , 15 , 10 , 53 , 31 , 22 , 27 , 14 , 13 , 14 , 5 , 9 ,,
Carchi, 37 , 24 , 13 , 20 , 11 , 9 , 35 , 18 , 17 , 33 , 17 , 16 , 33 , 24 , 9 , 29 , 14 , 15 , 37 , 24 , 13 , 41 , 27 , 14 , 36 , 18 , 18 , 45 , 23 , 22 , 38 , 24 , 14 , 35 , 25 , 10 , 18 ,, 18 , 22 , 11 , 11 ,,
Cotopaxi, 128 , 78 , 50 , 128 , 61 , 67 , 132 , 77 , 55 , 129 , 72 , 57 , 130 , 66 , 64 , 100 , 60 , 40 , 86 , 47 , 39 , 94 , 44 , 50 , 93 , 52 , 41 , 112 , 62 , 50 , 118 , 70 , 48 , 117 , 69 , 48 , 62 , 35 , 27 , 96 , 55 , 41 ,,
