,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gráfico No. 2.1.1
Tasas de mortalidad  en el año (t+1) general, masculina, femenina, infantil y razón de mortalidad materna
Periodo 1990 - 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,INDICE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Defunciones registrados en el año (t+1):  corresponden a las defunciones generales ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre del año siguiente. Cabe mencionar que se ha realizado el ajuste desde el año 2013. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/ Tasas por 1.000 habitantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/ Tasas por 1.000 habitantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/ Tasas por 1.000 habitantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4/: Con el fin de converger al cálculo internacional de la Razón de Muerte Materna según (CIE-10, volumen 2, págs. 148-149), mediante Resolución de la Comisión Interinstitucional de Estadísticas de Salud - CIES 001-2014, entre el Ministerio de Salud Pública, Ministerio Coordinador de Desarrollo Social, Dirección Nacional de Registro Civil, Identificación y Cedulación, Secretaría Nacional de Planificación y Desarrollo e Instituto Nacional de Estadística y Censos, se homologa el cálculo del indicador de muerte materna considerando a las muertes maternas oportunas (muertes que ocurrieron en el periodo del embarazo, parto o posparto, hasta los 42 días siguientes a la terminación del embarazo, independientemente de la duración y el sitio del embarazo) dividido para la estimación de nacimientos multiplicado por 100.000. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(*) A nivel mundial las estadísticas sobre mortalidad materna presentan problemas de subregistro y mala clasificación. En este sentido, el INEC ha realizado una adaptación y aplicación de la metodología de Estimación de la Mortalidad Materna (MMEIG) realizado por el Grupo Interagencial integrado por la Organización Mundial de la Salud (OMS), el Fondo de las Naciones Unidas para la Infancia (UNICEF), el Fondo de las Naciones Unidas para la Población (UNFPA), la División de Población de las Naciones Unidas (PNUD) y el Banco Mundial; con el objetivo de presentar estimaciones de dicho indicador para el periodo 1990-2010 corregidos por los problemas de subregistro y mala clasificación de las causas de defunción. Para mayor información puede revisar la nota metodológica respectiva en el siguiente link: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/ Tasa por 1.000 nacimentos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones generales ocurridas en el año 2020, las mismas que están sujetos a ajustes por registros posteriores y porque aún no ha finalizado el proceso de Búsqueda Intencionada y Reclasificación  de Muerte Materna  - BIRMM, entre el INEC e MSP.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fuente: Registro estadístico de defunciones generales, años 1990-2020.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
