,,,,,,,,,,,,,,,,,,,,,
"Gráfico No. 2.1.4
Razón de mortalidad materna en el año (t), según provincias de residencia habitual
Año  2021 (p**)",,,,,,,,,,,,,,,,,,,,,INDICE
, ,,,,,,,,,,,,,,,,,,,,
,Provincias,Muertes maternas oportunas (t)1/,RMM  2/ (*),,,,,,,,,,,,,,,,,,
,Pastaza,5,181.8,,,,,,,,,,,,,,,,,,
,Orellana,4,120.2,,,,,,,,,,,,,,,,,,
,Carchi,3,91.6,,,,,,,,,,,,,,,,,,
,Napo,3,87.7,,,,,,,,,,,,,,,,,,
,Sucumbíos,4,80.9,,,,,,,,,,,,,,,,,,
,Cañar,4,71.8,,,,,,,,,,,,,,,,,,
,Chimborazo,7,70.4,,,,,,,,,,,,,,,,,,
,Santa Elena,6,64.9,,,,,,,,,,,,,,,,,,
,El Oro,8,64.8,,,,,,,,,,,,,,,,,,
,Los Ríos,12,62.9,,,,,,,,,,,,,,,,,,
,Morona Santiago,3,60.0,,,,,,,,,,,,,,,,,,
,Guayas,38,47.4,,,,,,,,,,,,,,,,,,
,Bolívar,2,47.2,,,,,,,,,,,,,,,,,,
,Loja,4,40.5,,,,,,,,,,,,,,,,,,
,Tungurahua,4,39.0,,,,,,,,,,,,,,,,,,
,Cotopaxi,4,37.8,,,,,,,,,,,,,,,,,,
,Zamora Chinchipe,1,35.6,,,,,,,,,,,,,,,,,,
,Esmeraldas,4,31.1,,,,,,,,,,,,,,,,,,
,Manabí,8,26.7,,,,,,,,,,,,,,,,,,
,Pichincha,14,26.6,,,,,,,,,,,,,,,,,,
,Azuay,3,19.4,,,,,,,,,,,,,,,,,,
,Santo Domingo de los Tsáchilas,2,17.0,,,,,,,,,,,,,,,,,,
,Imbabura,1,10.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones generales ocurridas en el año 2021, las mismas que están sujetos a ajustes por registros posteriores y porque aún no ha finalizado el proceso de Búsqueda Intencionada y Reclasificación  de Muerte Materna  - BIRMM, entre el INEC e MSP.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
