,,,,,,,,,,,,,,,
"Gráfico No. 2.1.5
Principales causas  de mortalidad general en el año (t)
Lista corta de las principales causas de muerte Becker
Año 2021 (p**)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total de defunciones (t)1/,"105,248",,,INDICE,,,,,,,,,,,
Lista corta de las principales causas de muerte Becker2/,Absoluto,Relativo,,,,,,,,,,,,,
"COVID-19, virus identificado","16,610",15.78%,,,,,,,,,,,,,
35 Enfermedades isquémicas del corazón,"13,002",12.35%,,,,,,,,,,,,,
26 Diabetes Mellitus,"5,564",5.29%,,,,,,,,,,,,,
42 Enfermedades cerebrovasculares,"5,099",4.84%,,,,,,,,,,,,,
46 Influenza y neumonía,"4,353",4.14%,,,,,,,,,,,,,
"COVID-19, virus no identificado","4,264",4.05%,,,,,,,,,,,,,
34 Enfermedades hipertensivas,"4,082",3.88%,,,,,,,,,,,,,
57 Accidentes de transporte terrestre,"3,279",3.12%,,,,,,,,,,,,,
53 Enfermedades del sistema urinario,"2,688",2.55%,,,,,,,,,,,,,
51 Cirrosis y otras enfermedades del hígado,"2,481",2.36%,,,,,,,,,,,,,
9 Neoplasia maligna del estómago,"1,739",1.65%,,,,,,,,,,,,,
65 Eventos de intención no determinada,"1,647",1.56%,,,,,,,,,,,,,
47 Enfermedades crónicas de las vías respiratorias inferiores,"1,532",1.46%,,,,,,,,,,,,,
55 Ciertas afecciones originadas en el período prenatal,"1,501",1.43%,,,,,,,,,,,,,
48 Edema pulmonar y otras enfermedades respiratorias que afectan al intersticio,"1,390",1.32%,,,,,,,,,,,,,
"41 Insuficiencia cardíaca, complicaciones y enfermedades mal definidas","1,380",1.31%,,,,,,,,,,,,,
64 Agresiones (Homicidios),"1,332",1.27%,,,,,,,,,,,,,
"24 Neoplasia maligna del tejido linfático, hematopoyético y afinies","1,197",1.14%,,,,,,,,,,,,,
6 Septicemia,"1,171",1.11%,,,,,,,,,,,,,
20 Neoplasia maligna de la próstata,"1,152",1.09%,,,,,,,,,,,,,
"10 Neoplasia maligna del colon, sigmoide, recto y ano",969,0.92%,,,,,,,,,,,,,
25 Neoplasias benignas in situ y de comportamiento incierto,940,0.89%,,,,,,,,,,,,,
18 Neoplasia maligna del útero,882,0.84%,,,,,,,,,,,,,
63 Lesiones autoinflingidas intencionalmente (Suicidio),880,0.84%,,,,,,,,,,,,,
11 Neoplasia maligna del hígado y de las vías biliares,821,0.78%,,,,,,,,,,,,,
"56 Malformaciones congénitas, deformidades y anomalías cromosómicas",798,0.76%,,,,,,,,,,,,,
17 Neoplasia maligna de la mama,760,0.72%,,,,,,,,,,,,,
29 Demencia y enfermedad de Alzheimer,700,0.67%,,,,,,,,,,,,,
"15 Neoplasia maligna de la tráquea, bronquios y pulmón",664,0.63%,,,,,,,,,,,,,
49 Insuficiencia respiratoria,650,0.62%,,,,,,,,,,,,,
7 Enfermedad por virus de la inmunodeficiencia (VIH),580,0.55%,,,,,,,,,,,,,
13 Neoplasia maligna de páncreas,537,0.51%,,,,,,,,,,,,,
2 Tuberculosis,529,0.50%,,,,,,,,,,,,,
27 Desnutrición y anemias nutricionales,524,0.50%,,,,,,,,,,,,,
52 Enfermedades del sistema osteomuscular y tejido conjuntivo,492,0.47%,,,,,,,,,,,,,
"50 Apendicitis, hernia y obstrucción intestinal",421,0.40%,,,,,,,,,,,,,
61 Accidentes que obstruyen la respiración,360,0.34%,,,,,,,,,,,,,
23 Neoplasia maligna del encéfalo,356,0.34%,,,,,,,,,,,,,
40 Arritmias cardíacas,355,0.34%,,,,,,,,,,,,,
36 Enfermedad cardiopulmonar y enfermedad de la circulación pulmonar,345,0.33%,,,,,,,,,,,,,
60 Ahogamiento y sumersión accidentales,329,0.31%,,,,,,,,,,,,,
"28 Trastornos de los líquidos, electrolitos, y del equilibrio ácido básico",312,0.30%,,,,,,,,,,,,,
58 Caidas accidentales,307,0.29%,,,,,,,,,,,,,
32 Epilepsia y estado de mal epiléptico,280,0.27%,,,,,,,,,,,,,
19 Neoplasia maligna del ovario,266,0.25%,,,,,,,,,,,,,
12 Neoplasia maligna de la vesícula biliar y de otras,262,0.25%,,,,,,,,,,,,,
16 Melanoma y otra neoplasia maligna de la piel,256,0.24%,,,,,,,,,,,,,
31 Enfermedad de Parkinson,243,0.23%,,,,,,,,,,,,,
37 Trastornos valvulares no reumáticos,228,0.22%,,,,,,,,,,,,,
62 Envenenamiento accidental,205,0.19%,,,,,,,,,,,,,
"54 Embarazo, parto y puerperio",190,0.18%,,,,,,,,,,,,,
44 Aneurisma y disección aórticos,180,0.17%,,,,,,,,,,,,,
"21 Neoplasia maligna del riñón, excepto pelvis renal",174,0.17%,,,,,,,,,,,,,
38 Cardiomiopatía,153,0.15%,,,,,,,,,,,,,
22 Neoplasia maligna de la vejiga urinaria,135,0.13%,,,,,,,,,,,,,
1 Enfermedades infecciosas intestinales,125,0.12%,,,,,,,,,,,,,
8 Neoplasia maligna del esófago,124,0.12%,,,,,,,,,,,,,
30 Trastornos mentales y del comportamiento por uso de sustancias psicoactivas,80,0.08%,,,,,,,,,,,,,
33 Enfermedades cardíacas reumáticas crónicas,71,0.07%,,,,,,,,,,,,,
39 Paro cardíaco,71,0.07%,,,,,,,,,,,,,
5 Meningitis,70,0.07%,,,,,,,,,,,,,
45 Enfermedades respiratorias agudas excepto influenza y neumonía,65,0.06%,,,,,,,,,,,,,
14 Neoplasia maligna de laringe,51,0.05%,,,,,,,,,,,,,
3 Enfermedades transmitidas por vectores y rabia,45,0.04%,,,,,,,,,,,,,
43 Aterosclerosis,24,0.02%,,,,,,,,,,,,,
4 Enfermedades inmunoprevenibles,15,0.01%,,,,,,,,,,,,,
59 Disparo de arma de fuego no intencional,5,0.00%,,,,,,,,,,,,,
88 Resto de causas,"8,859",8.42%,,,,,,,,,,,,,
99 Causas mal definidas,"4,097",3.89%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"2/ Lista corta de las principales causas de muerte Becker, recomendada por OMS",,,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,,,
Fuente: Registro Estadístico de Defunciones Generales 2021,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
