,,,,,
,"Gráfico  No. 2.1.7
Principales causas de mortalidad femenina
Lista corta de las principales causas de muerte Becker
Año 2021 (p**)",,,,
,Total de defunciones (t)1/,"45,240",,,INDICE
,Lista corta de las principales causas de muerte Becker2/,Absoluto,Relativo,,
,"COVID-19, virus identificado","6,398",14.14%,,
,35 Enfermedades isquémicas del corazón,"5,778",12.77%,,
,26 Diabetes Mellitus,"2,930",6.48%,,
,42 Enfermedades cerebrovasculares,"2,474",5.47%,,
,34 Enfermedades hipertensivas,"2,112",4.67%,,
,46 Influenza y neumonía,"1,864",4.12%,,
,"COVID-19, virus no identificado","1,795",3.97%,,
,53 Enfermedades del sistema urinario,"1,218",2.69%,,
,51 Cirrosis y otras enfermedades del hígado,"1,008",2.23%,,
,18 Neoplasia maligna del útero,881,1.95%,,
,17 Neoplasia maligna de la mama,759,1.68%,,
,9 Neoplasia maligna del estómago,753,1.66%,,
,"41 Insuficiencia cardíaca, complicaciones y enfermedades mal definidas",709,1.57%,,
,55 Ciertas afecciones originadas en el período prenatal,664,1.47%,,
,47 Enfermedades crónicas de las vías respiratorias inferiores,634,1.40%,,
,48 Edema pulmonar y otras enfermedades respiratorias que afectan al intersticio,564,1.25%,,
,57 Accidentes de transporte terrestre,562,1.24%,,
,6 Septicemia,549,1.21%,,
,"24 Neoplasia maligna del tejido linfático, hematopoyético y afinies",537,1.19%,,
,"10 Neoplasia maligna del colon, sigmoide, recto y ano",521,1.15%,,
,25 Neoplasias benignas in situ y de comportamiento incierto,459,1.01%,,
,11 Neoplasia maligna del hígado y de las vías biliares,435,0.96%,,
,29 Demencia y enfermedad de Alzheimer,426,0.94%,,
,"56 Malformaciones congénitas, deformidades y anomalías cromosómicas",384,0.85%,,
,52 Enfermedades del sistema osteomuscular y tejido conjuntivo,342,0.76%,,
,"15 Neoplasia maligna de la tráquea, bronquios y pulmón",306,0.68%,,
,49 Insuficiencia respiratoria,297,0.66%,,
,13 Neoplasia maligna de páncreas,287,0.63%,,
,19 Neoplasia maligna del ovario,266,0.59%,,
,27 Desnutrición y anemias nutricionales,256,0.57%,,
,65 Eventos de intención no determinada,225,0.50%,,
,"54 Embarazo, parto y puerperio",190,0.42%,,
,"50 Apendicitis, hernia y obstrucción intestinal",185,0.41%,,
,63 Lesiones autoinflingidas intencionalmente (Suicidio),177,0.39%,,
,40 Arritmias cardíacas,176,0.39%,,
,36 Enfermedad cardiopulmonar y enfermedad de la circulación pulmonar,174,0.38%,,
,23 Neoplasia maligna del encéfalo,169,0.37%,,
,"28 Trastornos de los líquidos, electrolitos, y del equilibrio ácido básico",168,0.37%,,
,12 Neoplasia maligna de la vesícula biliar y de otras,157,0.35%,,
,2 Tuberculosis,139,0.31%,,
,7 Enfermedad por virus de la inmunodeficiencia (VIH),137,0.30%,,
,16 Melanoma y otra neoplasia maligna de la piel,127,0.28%,,
,64 Agresiones (Homicidios),127,0.28%,,
,37 Trastornos valvulares no reumáticos,108,0.24%,,
,31 Enfermedad de Parkinson,100,0.22%,,
,32 Epilepsia y estado de mal epiléptico,99,0.22%,,
,61 Accidentes que obstruyen la respiración,78,0.17%,,
,"21 Neoplasia maligna del riñón, excepto pelvis renal",72,0.16%,,
,1 Enfermedades infecciosas intestinales,71,0.16%,,
,58 Caidas accidentales,61,0.13%,,
,38 Cardiomiopatía,60,0.13%,,
,44 Aneurisma y disección aórticos,55,0.12%,,
,60 Ahogamiento y sumersión accidentales,54,0.12%,,
,62 Envenenamiento accidental,52,0.11%,,
,22 Neoplasia maligna de la vejiga urinaria,49,0.11%,,
,33 Enfermedades cardíacas reumáticas crónicas,49,0.11%,,
,39 Paro cardíaco,37,0.08%,,
,8 Neoplasia maligna del esófago,36,0.08%,,
,45 Enfermedades respiratorias agudas excepto influenza y neumonía,29,0.06%,,
,3 Enfermedades transmitidas por vectores y rabia,24,0.05%,,
,5 Meningitis,23,0.05%,,
,43 Aterosclerosis,14,0.03%,,
,14 Neoplasia maligna de laringe,8,0.02%,,
,4 Enfermedades inmunoprevenibles,5,0.01%,,
,30 Trastornos mentales y del comportamiento por uso de sustancias psicoactivas,2,0.00%,,
,59 Disparo de arma de fuego no intencional,1,0.00%,,
,88 Resto de causas,"3,923",8.67%,,
,99 Causas mal definidas,"1,911",4.22%,,
,,,,,
,,,,,
,"1/ Defunciones registradas (t): corresponden a las defunciones ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre de 2021.",,,,
,"2/ Lista corta de las principales causas de muerte Becker, recomendada por OMS",,,,
,"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,
,Fuente: Registro Estadístico de Defunciones Generales 2021,,,,
