,,,,
"Gráfico  No. 2.1.8
Principales causas de mortalidad infantil
Lista condensada desagregada (67 causas)B para mortalidad infantil
Año 2021 (**p)",,,,
Total de defunciones (t)1/,"2,655",,INDICE,
Lista corta de las principales causas de muerte Becker2/,Absoluto,Relativo,,
55 Ciertas afecciones originadas en el período prenatal,"1,501",56.53%,,
"56 Malformaciones congénitas, deformidades y anomalías cromosómicas",603,22.71%,,
46 Influenza y neumonía,102,3.84%,,
61 Accidentes que obstruyen la respiración,63,2.37%,,
1 Enfermedades infecciosas intestinales,28,1.05%,,
6 Septicemia,23,0.87%,,
27 Desnutrición y anemias nutricionales,22,0.83%,,
65 Eventos de intención no determinada,16,0.60%,,
"28 Trastornos de los líquidos, electrolitos, y del equilibrio ácido básico",15,0.56%,,
"41 Insuficiencia cardíaca, complicaciones y enfermedades mal definidas",12,0.45%,,
42 Enfermedades cerebrovasculares,12,0.45%,,
"COVID-19, virus identificado",12,0.45%,,
53 Enfermedades del sistema urinario,10,0.38%,,
"COVID-19, virus no identificado",10,0.38%,,
45 Enfermedades respiratorias agudas excepto influenza y neumonía,9,0.34%,,
49 Insuficiencia respiratoria,9,0.34%,,
51 Cirrosis y otras enfermedades del hígado,9,0.34%,,
57 Accidentes de transporte terrestre,9,0.34%,,
32 Epilepsia y estado de mal epiléptico,8,0.30%,,
5 Meningitis,6,0.23%,,
"50 Apendicitis, hernia y obstrucción intestinal",6,0.23%,,
38 Cardiomiopatía,5,0.19%,,
"24 Neoplasia maligna del tejido linfático, hematopoyético y afinies",4,0.15%,,
48 Edema pulmonar y otras enfermedades respiratorias que afectan al intersticio,3,0.11%,,
64 Agresiones (Homicidios),3,0.11%,,
25 Neoplasias benignas in situ y de comportamiento incierto,2,0.08%,,
47 Enfermedades crónicas de las vías respiratorias inferiores,2,0.08%,,
52 Enfermedades del sistema osteomuscular y tejido conjuntivo,2,0.08%,,
2 Tuberculosis,1,0.04%,,
3 Enfermedades transmitidas por vectores y rabia,1,0.04%,,
7 Enfermedad por virus de la inmunodeficiencia (VIH),1,0.04%,,
11 Neoplasia maligna del hígado y de las vías biliares,1,0.04%,,
34 Enfermedades hipertensivas,1,0.04%,,
36 Enfermedad cardiopulmonar y enfermedad de la circulación pulmonar,1,0.04%,,
58 Caidas accidentales,1,0.04%,,
60 Ahogamiento y sumersión accidentales,1,0.04%,,
88 Resto de causas,90,3.39%,,
99 Causas mal definidas,51,1.92%,,
,,,,
"1/ Defunciones registradas (t): corresponden a las defunciones ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre de 2021.",,,,
"2/ Lista corta de las principales causas de muerte Becker, recomendada por OMS",,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,
Fuente: Registro Estadístico de Defunciones Generales 2021,,,,
