,,,,,,,,,,,,,,,,,
,"Gráfico No. 2.1.9
Principales causas de muerte materna en el Ecuador
Lista internacional detallada-CIE-10 (Tres dígitos)
Año 2021 (p**)",,,,,,,,,,,,,,,,
,Causas de muerte materna,Número,%,,INDICE,,,,,,,,,,,,
,1/ Muertes maternas,190,100.0%,,,,,,,,,,,,,,
,2/ Causas obstétricas directas (O00-O94),73,38.4%,,,,,,,,,,,,,,
,O14   Hipertensión gestacional [inducida por el embarazo] con proteinuria significativa,23,12.1%,,,,,,,,,,,,,,
,O15   Eclampsia,13,6.8%,,,,,,,,,,,,,,
,"O46   Hemorragia anteparto, no clasificada en otra parte",6,3.2%,,,,,,,,,,,,,,
,O00   Embarazo ectópico,4,2.1%,,,,,,,,,,,,,,
,O72   Hemorragia postparto,4,2.1%,,,,,,,,,,,,,,
,O44   Placenta previa,3,1.6%,,,,,,,,,,,,,,
,O85   Sepsis puerperal,3,1.6%,,,,,,,,,,,,,,
,O86   Otras infecciones puerperales,3,1.6%,,,,,,,,,,,,,,
,O23   Infección de las vías genitourinarias en el embarazo,2,1.1%,,,,,,,,,,,,,,
,O36   Atención materna por otros problemas fetales conocidos o presuntos,2,1.1%,,,,,,,,,,,,,,
,"O73   Retención de la placenta o de las membranas, sin hemorragia",2,1.1%,,,,,,,,,,,,,,
,"O08   Complicaciones consecutivas al aborto, al embarazo ectópico y al embarazo molar",1,0.5%,,,,,,,,,,,,,,
,O26   Atención a la madre por otras complicaciones principalmente relacionadas con el embarazo,1,0.5%,,,,,,,,,,,,,,
,O41   Otros trastornos del líquido amniótico y de las membranas,1,0.5%,,,,,,,,,,,,,,
,O43   Trastornos placentarios,1,0.5%,,,,,,,,,,,,,,
,O45   Desprendimiento prematuro de la placenta [Abruptio placentae],1,0.5%,,,,,,,,,,,,,,
,O62   Anormalidades de la dinámica del trabajo de parto,1,0.5%,,,,,,,,,,,,,,
,"O75   Otras complicaciones del trabajo de parto y del parto, no clasificadas en otra parte",1,0.5%,,,,,,,,,,,,,,
,O88   Embolia obstétrica,1,0.5%,,,,,,,,,,,,,,
,Causas no especificadas  (O95) ,7,3.7%,,,,,,,,,,,,,,
,O95   Muerte obstétrica de causa no especificada,7,3.7%,,,,,,,,,,,,,,
, 3/ Causas obstétricas indirectas (O98-O99),64,33.7%,,,,,,,,,,,,,,
,"O98   Enfermedades maternas infecciosas y parasitarias clasificables en otra parte, pero que complican el embarazo, el p",35,18.4%,,,,,,,,,,,,,,
,"O99   Otras enfermedades maternas clasificables en otra parte, pero que complican el embarazo, el parto y el puerperio",29,15.3%,,,,,,,,,,,,,,
,4/ Causas de muerte materna después de 42 días del parto   (O96 - O97) ,46,24.2%,,,,,,,,,,,,,,
,O96   Muerte materna debida a cualquier causa obstétrica que ocurre después de 42 días pero antes de un año del part,46,24.2%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"3/: Defunciones obstétricas indirectas: son las que resultan de una enfermedad existente desde antes del embarazo o de una enfermedad que evoluciona durante el mismo, no debidas a causas obstétricas directas pero sí agravadas por los efectos fisiológicos del embarazo, según (Clasificación estadística internacional de enfermedades y problemas relacionados con la salud, décima revisión CIE – 10, pagina 1159)",,,,,,,,,,,,,,,,
,"4/: Defunción materna tardía: Una defunción materna tardía es la muerte de una mujer por causas obstétricas directas o indirectas después de los 42 días pero antes de un año de la terminación del embarazo. De acuerdo a la Clasificación estadística internacional de enfermedades y problemas relacionados con la salud, décima revisión CIE – 10, se codifican en el grupo O96, según (Clasificación estadística internacional de enfermedades y problemas relacionados con la salud, décima revisión CIE – 10, pagina 1158).
Defunción materna tardía - secuelas: corresponde a muertes de una mujer por cualquier causa obstétrica (directas o indirectas) que ocurre un año o más después del parto. De acuerdo a la Clasificación estadística internacional de enfermedades y problemas relacionados con la salud, décima revisión CIE – 10, se codifican en el grupo O97”.",,,,,,,,,,,,,,,,
,"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones generales ocurridas en el año 2020, las mismas que están sujetos a ajustes por registros posteriores y porque aún no ha finalizado el proceso de Búsqueda Intencionada y Reclasificación  de Muerte Materna  - BIRMM, entre el INEC e MSP.",,,,,,,,,,,,,,,,
,Fuente: Registro Estadístico de Defunciones Generales 2021,,,,,,,,,,,,,,,,
