,,,,,,,,,,,,,
"Cuadro No. 3.1.1
Defunciones en el año (t), por tipo de certificación de personas residentes y no residentes, según región y provincia de residencia habitual 
Año 2021 (p**)",,,,,,,,,,,,,
Regiones y provincias,Total general,,,Tipo de certificación,,,,,,INDICE,,,
,Total,Residentes,No residentes,Con certificación médica,,,Sin certificación médica,,,,,,
,,,,Total,Residentes,No residentes,Total,Residentes,No residentes,,,,
Total Nacional," 105,248 "," 87,049 "," 18,199 "," 101,764 "," 83,696 "," 18,068 "," 3,139 "," 3,075 ", 64 ,,,,
Región Sierra," 47,661 "," 40,747 "," 6,914 "," 46,159 "," 39,297 "," 6,862 "," 1,253 "," 1,234 ", 19 ,,,,
Azuay," 5,076 "," 4,474 ", 602 ," 4,819 "," 4,228 ", 591 , 142 , 138 , 4 ,,,,
Bolívar," 1,410 "," 1,013 ", 397 ," 1,404 "," 1,007 ", 397 , 6 , 6 ,,,,,
Cañar," 1,632 "," 1,184 ", 448 ," 1,525 "," 1,080 ", 445 , 103 , 103 ,,,,,
Carchi," 1,226 ", 936 , 290 ," 1,224 ", 935 , 289 , 1 ,, 1 ,,,,
Cotopaxi," 3,010 "," 2,208 ", 802 ," 2,975 "," 2,174 ", 801 , 32 , 32 ,,,,,
Chimborazo," 3,406 "," 2,720 ", 686 ," 3,209 "," 2,532 ", 677 , 169 , 166 , 3 ,,,,
Imbabura," 2,942 "," 2,390 ", 552 ," 2,932 "," 2,383 ", 549 , 5 , 5 ,,,,,
Loja," 3,529 "," 2,841 ", 688 ," 2,777 "," 2,097 ", 680 , 749 , 741 , 8 ,,,,
Pichincha," 18,464 "," 17,124 "," 1,340 "," 18,370 "," 17,040 "," 1,330 ", 43 , 40 , 3 ,,,,
Tungurahua," 4,118 "," 3,363 ", 755 ," 4,083 "," 3,332 ", 751 , 1 , 1 ,,,,,
Santo Domingo de los Tsáchilas," 2,848 "," 2,494 ", 354 ," 2,841 "," 2,489 ", 352 , 2 , 2 ,,,,,
Región Costa," 53,512 "," 43,290 "," 10,222 "," 52,389 "," 42,216 "," 10,173 "," 1,039 "," 1,018 ", 21 ,,,,
El Oro," 4,996 "," 3,762 "," 1,234 "," 4,758 "," 3,532 "," 1,226 ", 237 , 229 , 8 ,,,,
Esmeraldas," 2,763 "," 2,086 ", 677 ," 2,649 "," 1,977 ", 672 , 100 , 99 , 1 ,,,,
Guayas," 28,222 "," 24,732 "," 3,490 "," 27,681 "," 24,205 "," 3,476 ", 506 , 502 , 4 ,,,,
Los Ríos," 5,777 "," 4,204 "," 1,573 "," 5,749 "," 4,181 "," 1,568 ", 20 , 20 ,,,,,
Manabí," 9,782 "," 7,144 "," 2,638 "," 9,741 "," 7,113 "," 2,628 ", 23 , 21 , 2 ,,,,
Santa Elena," 1,972 "," 1,362 ", 610 ," 1,811 "," 1,208 ", 603 , 153 , 147 , 6 ,,,,
Región Amazónica," 3,964 "," 2,952 "," 1,012 "," 3,107 "," 2,124 ", 983 , 847 , 823 , 24 ,,,,
Morona Santiago, 726 , 522 , 204 , 571 , 374 , 197 , 154 , 147 , 7 ,,,,
Napo, 582 , 436 , 146 , 389 , 246 , 143 , 192 , 189 , 3 ,,,,
Pastaza, 465 , 369 , 96 , 426 , 331 , 95 , 39 , 38 , 1 ,,,,
Zamora Chinchipe, 522 , 334 , 188 , 357 , 179 , 178 , 162 , 154 , 8 ,,,,
Sucumbíos, 980 , 791 , 189 , 872 , 688 , 184 , 103 , 101 , 2 ,,,,
Orellana, 689 , 500 , 189 , 492 , 306 , 186 , 197 , 194 , 3 ,,,,
Región Insular, 82 , 60 , 22 , 80 , 59 , 21 , -   , -   , -   ,,,,
Galápagos, 82 , 60 , 22 , 80 , 59 , 21 , -   , -   , -   ,,,,
Exterior, 29 , -   , 29 , 29 , -   , 29 , -   , -   , -   ,,,,
"1/ Defunciones registradas (t): corresponden a las defunciones ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre de 2021.",,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones ocurridas en el 2020, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,
Fuente: Registro Estadístico de Defunciones Generales 2021,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
