,,,,,,,,,,,,,,,,,,,,,,,,
"Cuadro No. 3.1.11 
Defunciones en el año (t) por tipo de certificación y grupos de edad, según causas de muerte y sexo
Lista especial de tabulación 6/67  (Décima Revisión CIE - 10)
Año 2021 (p**)",,,,,,,,,,,,,,,,,,,,,,,,
Lista especial de tabulación 6/67  (Décima Revisión CIE - 10),,Tipo de certificación,,,Grupos de edad,,,,,,,,,,,,,,,,,,,
,,Con certificación médica,Sin certificación médica,Sin información,Menor a un año,,,Un año y más,,,,,,,,,,,,,,Sin información,,INDICE
,,,,,Menores de 7 días,7 - 27 días,28 días a 11 meses,1 a 4 años,5 a 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65 años y más,Ignorado,,
"0.00 Sintomas, signos y hallazgos anormales, clínicos y de laboratorio",Total," 2,495 "," 2,449 ", 41 , 15 , 8 , 57 , 54 , 38 , 29 , 60 , 78 , 69 , 83 , 86 , 116 , 125 , 155 , 227 , 244 ," 3,528 ", 13 ,,
,Hombre," 1,273 "," 1,370 ", 22 , 6 , 5 , 28 , 28 , 23 , 16 , 40 , 55 , 51 , 56 , 56 , 73 , 76 , 88 , 121 , 143 ," 1,789 ", 11 ,,
,Mujer," 1,222 "," 1,079 ", 19 , 9 , 3 , 29 , 26 , 15 , 13 , 20 , 23 , 18 , 27 , 30 , 43 , 49 , 67 , 106 , 101 ," 1,739 ", 2 ,,
1.01 Enfermedades infecciosas intestinales,Total, 118 , 13 , 1 , - , 6 , 25 , 14 , 4 , 6 , 1 , 1 , 1 , 3 , - , 2 , 4 , 4 , 2 , 4 , 55 , - ,,
,Hombre, 52 , 8 , - , - , 4 , 15 , 5 , 3 , 3 , - , - , - , 2 , - , - , 2 , 2 , 1 , 1 , 22 , - ,,
,Mujer, 66 , 5 , 1 , - , 2 , 10 , 9 , 1 , 3 , 1 , 1 , 1 , 1 , - , 2 , 2 , 2 , 1 , 3 , 33 , - ,,
1.02 Tuberculosis,Total, 533 , 6 , 2 , - , - , 1 , - , - , 2 , 12 , 41 , 43 , 58 , 46 , 38 , 35 , 28 , 46 , 45 , 146 , - ,,
,Hombre, 392 , 5 , 2 , - , - , 1 , - , - , 2 , 8 , 33 , 38 , 50 , 38 , 29 , 23 , 22 , 38 , 30 , 87 , - ,,
,Mujer, 141 , 1 , - , - , - , - , - , - , - , 4 , 8 , 5 , 8 , 8 , 9 , 12 , 6 , 8 , 15 , 59 , - ,,
1.03 Ciertas enfermedades transmisibles por vectores y rabia,Total, 47 , - , - , - , - , 1 , 3 , 7 , 5 , 5 , 3 , 2 , 1 , 2 , 1 , 2 , 1 , 1 , 2 , 11 , - ,,
,Hombre, 22 , - , - , - , - , 1 , 2 , 3 , 3 , 2 , 1 , - , - , - , 1 , 1 , 1 , - , 2 , 5 , - ,,
,Mujer, 25 , - , - , - , - , - , 1 , 4 , 2 , 3 , 2 , 2 , 1 , 2 , - , 1 , - , 1 , - , 6 , - ,,
1.04 Ciertas enfermedades inmunoprevenibles,Total, 8 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 7 , - ,,
,Hombre, 5 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 4 , - ,,
,Mujer, 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - ,,
1.05 Meningitis,Total, 72 , - , - , - , 1 , 5 , 8 , 5 , 1 , 1 , 5 , 5 , 6 , 3 , 3 , 3 , 5 , - , 3 , 18 , - ,,
,Hombre, 49 , - , - , - , 1 , 3 , 6 , 3 , 1 , 1 , 3 , 4 , 4 , 3 , 2 , 3 , 4 , - , 3 , 8 , - ,,
,Mujer, 23 , - , - , - , - , 2 , 2 , 2 , - , - , 2 , 1 , 2 , - , 1 , - , 1 , - , - , 10 , - ,,
"1.06 Septicemia, excepto neonatal",Total," 1,174 ", - , 2 , - , - , 23 , 14 , 5 , 4 , 11 , 16 , 13 , 29 , 26 , 36 , 47 , 54 , 92 , 117 , 689 , - ,,
,Hombre, 624 , - , 2 , - , - , 14 , 8 , 4 , 3 , 7 , 9 , 10 , 17 , 13 , 21 , 26 , 30 , 42 , 64 , 358 , - ,,
,Mujer, 550 , - , - , - , - , 9 , 6 , 1 , 1 , 4 , 7 , 3 , 12 , 13 , 15 , 21 , 24 , 50 , 53 , 331 , - ,,
1.07 Enfermedad por el VIH,Total, 582 , 1 , 1 , - , - , 1 , - , - , - , 5 , 48 , 80 , 112 , 66 , 86 , 51 , 45 , 37 , 22 , 31 , - ,,
,Hombre, 444 , 1 , 1 , - , - , 1 , - , - , - , 5 , 35 , 64 , 82 , 49 , 60 , 35 , 34 , 34 , 20 , 27 , - ,,
,Mujer, 138 , - , - , - , - , - , - , - , - , - , 13 , 16 , 30 , 17 , 26 , 16 , 11 , 3 , 2 , 4 , - ,,
1.08 Infecciones respiratorias agudas,Total," 4,464 ", 82 , 16 , - , 1 , 114 , 81 , 25 , 29 , 44 , 53 , 66 , 50 , 52 , 87 , 139 , 194 , 260 , 318 ," 3,049 ", - ,,
,Hombre," 2,568 ", 44 , 10 , - , 1 , 67 , 49 , 12 , 14 , 31 , 44 , 45 , 35 , 35 , 63 , 87 , 123 , 172 , 178 ," 1,666 ", - ,,
,Mujer," 1,896 ", 38 , 6 , - , - , 47 , 32 , 13 , 15 , 13 , 9 , 21 , 15 , 17 , 24 , 52 , 71 , 88 , 140 ," 1,383 ", - ,,
1.09 Resto de ciertas enfermedades infecciosas y parasitarias,Total, 305 , 2 , 1 , - , - , 7 , 2 , 4 , 5 , 3 , 2 , 12 , 12 , 15 , 21 , 14 , 13 , 23 , 26 , 149 , - ,,
,Hombre, 189 , 1 , - , - , - , 4 , 1 , 2 , 3 , 1 , 1 , 6 , 5 , 9 , 14 , 10 , 7 , 17 , 16 , 94 , - ,,
,Mujer, 116 , 1 , 1 , - , - , 3 , 1 , 2 , 2 , 2 , 1 , 6 , 7 , 6 , 7 , 4 , 6 , 6 , 10 , 55 , - ,,
2.01 Tumor maligno del estómago,Total," 1,720 ", 44 , 7 , - , - , - , - , 1 , - , 4 , 8 , 21 , 27 , 56 , 58 , 71 , 96 , 134 , 164 ," 1,131 ", - ,,
,Hombre, 979 , 21 , 3 , - , - , - , - , 1 , - , 2 , 5 , 9 , 15 , 27 , 32 , 35 , 55 , 72 , 103 , 647 , - ,,
,Mujer, 741 , 23 , 4 , - , - , - , - , - , - , 2 , 3 , 12 , 12 , 29 , 26 , 36 , 41 , 62 , 61 , 484 , - ,,
2.02 Tumor maligno del colon y de la unión rectosismoidea,Total, 772 , 17 , 2 , - , - , - , - , - , 1 , - , 4 , 3 , 13 , 15 , 22 , 38 , 40 , 55 , 69 , 531 , - ,,
,Hombre, 362 , 7 , 1 , - , - , - , - , - , - , - , 2 , - , 6 , 8 , 9 , 21 , 20 , 31 , 30 , 243 , - ,,
,Mujer, 410 , 10 , 1 , - , - , - , - , - , 1 , - , 2 , 3 , 7 , 7 , 13 , 17 , 20 , 24 , 39 , 288 , - ,,
2.03 Tumor maligno de los órganos digestivo y de peritoneo excepto estómago y colon,Total," 2,056 ", 28 , 8 , - , - , 2 , 7 , 4 , 1 , 3 , 7 , 8 , 14 , 25 , 41 , 68 , 129 , 142 , 215 ," 1,426 ", - ,,
,Hombre, 975 , 15 , 2 , - , - , 1 , 3 , 3 , 1 , 2 , 4 , 5 , 7 , 14 , 25 , 28 , 76 , 76 , 109 , 638 , - ,,
,Mujer," 1,081 ", 13 , 6 , - , - , 1 , 4 , 1 , - , 1 , 3 , 3 , 7 , 11 , 16 , 40 , 53 , 66 , 106 , 788 , - ,,
"2.04 Tumor maligno de la tráquea, los bronquios y el pulmón",Total, 658 , 11 , 4 , - , - , - , 1 , - , - , 1 , 2 , 2 , 10 , 7 , 10 , 26 , 27 , 51 , 66 , 470 , - ,,
