,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Cuadro No. 3.1.12
Defunciones en el año (t) masculinas, por  provincia y área de residencia habitual del fallecido/a, según causas de muerte
Lista especial de tabulación 103  (Décima Revisión CIE - 10)
Año 2021 (p**)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Lista condensada de 103 grupos - Décima Revisión CIE - 10),Hombres,Total,,Azuay,,Bolívar,,Cañar,,Carchi,,Cotopaxi,,Chimborazo,,El Oro,,Esmeraldas,,Guayas,,Imbabura,,Loja,,Los Ríos,,Manabí,,Morona Santiago,,Napo,,Pastaza,,Pichincha,,Tungurahua,,Zamora Chinchipe,,Galapagos,,Sucumbíos,,Orellana,,Santo Domingo de los Tsáchilas,,Santa Elena,,Exterior,,INDICE
,,,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,,
,Total Nacional (t)1/," 60,008 "," 46,588 "," 13,420 "," 1,633 "," 1,117 ", 538 , 250 , 575 , 308 , 496 , 185 ," 1,025 ", 648 ," 1,217 ", 649 ," 2,557 ", 427 ," 1,082 ", 549 ," 15,285 ", 873 ," 1,111 ", 519 ," 1,333 ", 645 ," 2,732 ", 684 ," 4,424 "," 1,168 ", 225 , 181 , 210 , 151 , 183 , 83 ," 7,508 "," 2,842 "," 1,343 ", 957 , 205 , 115 , 48 , 11 , 441 , 186 , 218 , 204 ," 1,413 ", 285 , 767 , 383 , 19 ,,
,003 Diarrea y gastroenteritis de presunto origen infeccioso, 39 , 22 , 17 , 1 , 4 , 1 , 2 , - , - , - , - , - , 1 , - , 2 , 5 , - , - , 1 , 5 , 1 , - , - , - , 2 , - , - , 3 , - , 2 , 1 , - , - , - , - , 2 , 1 , - , - , - , - , - , - , - , 1 , 1 , - , 1 , - , 1 , 1 , - ,,
,004 Otras enfermedades infecciosas intestinales, 15 , 13 , 2 , 1 , - , - , 1 , - , - , - , - , - , - , - , - , - , - , 1 , - , 5 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 3 , - , - , 1 , - , - , - , - , 1 , - , - , - , 1 , - , - , - , - ,,
,005 Tuberculosis respiratoria, 338 , 303 , 35 , 2 , 1 , 3 , 1 , 1 , - , - , - , - , 2 , 1 , 1 , 12 , 1 , 14 , 7 , 221 , 6 , 2 , - , 3 , 2 , 11 , - , 15 , 2 , - , 1 , 1 , 2 , 1 , - , 6 , 2 , - , 4 , 1 , - , - , - , 1 , - , - , 2 , 2 , 1 , 6 , - , - ,,
,006 Otras tuberculosis, 52 , 45 , 7 , - , - , - , - , - , - , 1 , - , 1 , - , - , - , 2 , - , 2 , - , 27 , 2 , - , - , - , 1 , 1 , 1 , 1 , 1 , - , - , - , - , - , - , 3 , 1 , 1 , - , - , - , - , - , - , - , - , - , 3 , - , 3 , 1 , - ,,
,008 Tétanos, 3 , 2 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - ,,
,011 Infección meningococica, 2 , 1 , 1 , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
,012 Septicemia, 622 , 535 , 87 , 8 , 5 , 3 , 3 , 7 , 1 , 3 , - , 5 , 3 , 11 , 3 , 21 , 7 , 5 , 5 , 280 , 13 , 3 , - , 9 , 3 , 24 , 5 , 75 , 8 , 2 , 1 , 2 , - , 1 , - , 42 , 16 , 9 , 6 , - , 1 , - , 1 , 3 , - , 1 , 2 , 14 , - , 7 , 4 , - ,,
,013 Infecciones con un modo de transm.predom.sexual, 2 , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
,017 Ot fieb virals transm. por artropod y fieb. hemorr. vir., 14 , 13 , 1 , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , 9 , - , - , - , - , - , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , 1 , - , - , - , - , - , - , - ,,
,019 Hepatitis viral, 12 , 11 , 1 , - , - , - , - , - , - , - , - , - , - , - , 1 , 2 , - , 1 , - , 2 , - , 1 , - , - , - , 1 , - , 2 , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - ,,
,020 Enf por virus de la inmunodeficiencia humana (VIH), 443 , 376 , 67 , 3 , 5 , 2 , - , 2 , - , - , - , 1 , 1 , 3 , 2 , 27 , 5 , 15 , 6 , 170 , 6 , 6 , 2 , 2 , - , 37 , 10 , 27 , 4 , - , 3 , 1 , - , 3 , 1 , 30 , 11 , 9 , 4 , 2 , - , 1 , - , 3 , 1 , 5 , 1 , 13 , 3 , 14 , 2 , - ,,
,021 Paludismo (Malaria), 4 , 3 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , - , - , 1 , - , - , - , 1 , - , - , - , - , - , - , - , - ,,
,023 Tripanosomiasis, 3 , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - ,,
,025 Resto de ciertas enfermedades infecciosas y parasitarias, 176 , 144 , 32 , 3 , 1 , 2 , - , 1 , 1 , - , - , 19 , 9 , - , - , 8 , 1 , 3 , - , 54 , 2 , - , - , 2 , 1 , 11 , 1 , 13 , 2 , 1 , 2 , 1 , 1 , 1 , 2 , 17 , 5 , 2 , 2 , 1 , 1 , - , - , 1 , - , - , - , 4 , 1 , - , - , - ,,
,027 Tumor maligno del labio de la cavidad bucal y de la faringe, 110 , 87 , 23 , 4 , 3 , 1 , 1 , 2 , - , 2 , - , 1 , 1 , 1 , - , 4 , 1 , 1 , 3 , 41 , - , 3 , 1 , 1 , - , 4 , 1 , 5 , - , 1 , 1 , - , - , - , - , 11 , 7 , 1 , 1 , - , - , - , - , - , - , - , - , 1 , 2 , 3 , 1 , - ,,
,028 Tumor maligno del esófago, 88 , 58 , 30 , 2 , - , 1 , 1 , - , - , 1 , - , 2 , 1 , - , 5 , 5 , - , 1 , 2 , 15 , 3 , 3 , - , - , - , 2 , 3 , 4 , 3 , - , - , 2 , - , 1 , - , 13 , 8 , 1 , 4 , 1 , - , - , - , 1 , - , 1 , - , 1 , - , 1 , - , - ,,
,029 Tumor maligno del estomago, 986 , 695 , 291 , 33 , 29 , 14 , 7 , 14 , 7 , 7 , 3 , 22 , 19 , 19 , 19 , 35 , 7 , 23 , 7 , 183 , 20 , 27 , 12 , 25 , 15 , 27 , 9 , 74 , 34 , 2 , 5 , 1 , - , 3 , - , 117 , 58 , 20 , 18 , 1 , 2 , 1 , - , 8 , - , 5 , - , 27 , 12 , 7 , 8 , - ,,
