,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuadro No. 3.1.13
Defunciones oportunas femeninas, por  provincia y área de residencia habitual del fallecido/a, según causas de muerte
Lista especial de tabulación 103  (Décima Revisión CIE - 10)
Año 2021 (p**)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Lista condensada de 103 grupos - Décima Revisión CIE - 10),Mujeres,Total,,Azuay,,Bolívar,,Cañar,,Carchi,,Cotopaxi,,Chimborazo,,El Oro,,Esmeraldas,,Guayas,,Imbabura,,Loja,,Los Ríos,,Manabí,,Morona Santiago,,Napo,,Pastaza,,Pichincha,,Tungurahua,,Zamora Chinchipe,,Galapagos,,Sucumbíos,,Orellana,,Santo Domingo de los Tsáchilas,,Santa Elena,,Exterior,,INDICE
,,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,Rural,Urbano,,
Total Nacional (t)1/," 45,240 "," 34,934 "," 10,306 "," 1,387 ", 939 , 421 , 201 , 458 , 291 , 373 , 172 , 822 , 515 , 979 , 561 ," 1,753 ", 259 , 759 , 373 ," 11,403 ", 661 , 865 , 447 ," 1,033 ", 518 ," 1,908 ", 453 ," 3,348 ", 842 , 186 , 134 , 123 , 98 , 134 , 65 ," 5,886 "," 2,228 "," 1,021 ", 797 , 139 , 63 , 19 , 4 , 246 , 107 , 157 , 110 , 969 , 181 , 535 , 287 , 10 ,,
003 Diarrea y gastroenteritis de presunto origen infeccioso, 60 , 41 , 19 , 2 , 3 , 2 , 1 , 1 , - , - , - , - , 1 , 2 , 1 , 1 , - , 1 , 1 , 8 , 5 , 4 , - , - , 4 , 4 , - , 2 , - , 1 , - , - , - , 3 , - , 6 , 1 , - , - , - , 1 , 1 , - , - , - , - , - , 3 , 1 , - , - , - ,,
004 Otras enfermedades infecciosas intestinales, 11 , 7 , 4 , - , - , - , 1 , - , - , 1 , - , - , 1 , - , - , 1 , - , - , - , 1 , 1 , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , 2 , - , 1 , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - ,,
005 Tuberculosis respiratoria, 115 , 90 , 25 , 1 , 5 , - , - , 3 , 1 , - , - , 1 , - , 1 , - , 3 , - , 3 , 4 , 51 , 4 , 3 , 2 , 3 , 1 , 6 , 2 , 3 , - , 1 , - , - , 1 , - , - , 7 , 1 , 1 , 2 , 1 , - , - , - , - , 1 , - , 1 , 2 , - , - , - , - ,,
006 Otras tuberculosis, 24 , 16 , 8 , - , 1 , - , - , - , 1 , - , - , 1 , - , - , 2 , 1 , - , - , - , 7 , 2 , - , - , 1 , 1 , 3 , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 1 , - , - , - , - , - , - , - , - , - , 1 , - , - ,,
008 Tétanos, 3 , 1 , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
011 Infección meningococica, 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - ,,
012 Septicemia, 549 , 453 , 96 , 7 , 10 , 4 , 1 , 4 , 3 , 1 , - , 4 , 2 , 3 , 4 , 24 , 4 , 4 , 4 , 247 , 10 , 8 , 3 , 4 , 5 , 13 , 6 , 56 , 18 , 2 , 1 , 3 , - , - , - , 39 , 11 , 10 , 6 , 3 , - , - , - , 2 , 2 , - , 1 , 9 , 2 , 6 , 3 , - ,,
013 Infecciones con un modo de transm.predom.sexual, 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
