,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuadro No. 3.1.14
Defunciones en el año (t), por grupos de edad, según región y provincia  de residencia habitual de la persona fallecida y sexo
Año 2021 (p**)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regiones, provincias y sexo",,Total,Menos de 1 mes,1- 11 meses,1 año,2  años,3 años,4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65 - 69 años,70 - 74 años,75 - 79 años,80 - 84 años,85 y más años,Sin información,,INDICE
Total,Total," 105,248 "," 1,738 ", 917 , 265 , 141 , 107 , 83 , 403 , 532 ," 1,122 "," 2,051 "," 2,292 "," 2,441 "," 2,609 "," 3,045 "," 3,644 "," 4,799 "," 6,439 "," 8,261 "," 9,594 "," 10,323 "," 10,608 "," 10,865 "," 22,961 ", 8 ,,
,Hombre," 60,008 ", 974 , 484 , 151 , 88 , 53 , 39 , 240 , 293 , 782 ," 1,600 "," 1,795 "," 1,814 "," 1,833 "," 2,006 "," 2,286 "," 2,931 "," 3,820 "," 4,772 "," 5,538 "," 5,915 "," 6,053 "," 5,944 "," 10,591 ", 6 ,,
,Mujer," 45,240 ", 764 , 433 , 114 , 53 , 54 , 44 , 163 , 239 , 340 , 451 , 497 , 627 , 776 ," 1,039 "," 1,358 "," 1,868 "," 2,619 "," 3,489 "," 4,056 "," 4,408 "," 4,555 "," 4,921 "," 12,370 ", 2 ,,
Región Sierra,Total," 47,661 ", 728 , 381 , 120 , 56 , 60 , 38 , 180 , 238 , 437 , 733 , 814 , 857 ," 1,085 "," 1,249 "," 1,541 "," 2,063 "," 2,573 "," 3,400 "," 3,939 "," 4,333 "," 4,977 "," 5,321 "," 12,536 ", 2 ,,
,Hombre," 26,597 ", 409 , 210 , 72 , 33 , 32 , 16 , 110 , 130 , 290 , 540 , 618 , 603 , 753 , 820 , 996 ," 1,294 "," 1,540 "," 1,982 "," 2,312 "," 2,509 "," 2,794 "," 2,894 "," 5,639 ", 1 ,,
,Mujer," 21,064 ", 319 , 171 , 48 , 23 , 28 , 22 , 70 , 108 , 147 , 193 , 196 , 254 , 332 , 429 , 545 , 769 ," 1,033 "," 1,418 "," 1,627 "," 1,824 "," 2,183 "," 2,427 "," 6,897 ", 1 ,,
Azuay,Total," 5,076 ", 67 , 30 , 10 , 4 , 8 , 5 , 17 , 35 , 53 , 65 , 99 , 92 , 119 , 125 , 165 , 217 , 264 , 349 , 396 , 448 , 488 , 574 ," 1,446 ",  ,,
,Hombre," 2,750 ", 45 , 16 , 7 , 2 , 5 , 3 , 11 , 20 , 37 , 47 , 80 , 68 , 85 , 85 , 114 , 139 , 154 , 199 , 238 , 232 , 256 , 294 , 613 ,  ,,
,Mujer," 2,326 ", 22 , 14 , 3 , 2 , 3 , 2 , 6 , 15 , 16 , 18 , 19 , 24 , 34 , 40 , 51 , 78 , 110 , 150 , 158 , 216 , 232 , 280 , 833 ,  ,,
Bolívar,Total," 1,410 ", 15 , 22 , 7 , 3 , 1 , 1 , 11 , 10 , 21 , 29 , 17 , 13 , 34 , 26 , 34 , 42 , 43 , 88 , 96 , 124 , 150 , 184 , 439 ,  ,,
,Hombre, 788 , 8 , 11 , 5 , 3 , 1 , 1 , 7 , 7 , 13 , 20 , 17 , 7 , 23 , 20 , 20 , 26 , 25 , 54 , 57 , 69 , 77 , 96 , 221 ,  ,,
,Mujer, 622 , 7 , 11 , 2 ,  ,  ,  , 4 , 3 , 8 , 9 ,  , 6 , 11 , 6 , 14 , 16 , 18 , 34 , 39 , 55 , 73 , 88 , 218 ,  ,,
Cañar,Total," 1,632 ", 10 , 4 , 4 , 2 , 1 , 2 , 7 , 7 , 11 , 29 , 38 , 31 , 38 , 39 , 39 , 63 , 78 , 105 , 135 , 145 , 185 , 205 , 454 ,  ,,
,Hombre, 883 , 2 , 3 , 2 ,  ,  , 1 , 2 , 4 , 8 , 21 , 32 , 21 , 28 , 18 , 27 , 35 , 46 , 65 , 78 , 81 , 101 , 105 , 203 ,  ,,
,Mujer, 749 , 8 , 1 , 2 , 2 , 1 , 1 , 5 , 3 , 3 , 8 , 6 , 10 , 10 , 21 , 12 , 28 , 32 , 40 , 57 , 64 , 84 , 100 , 251 ,  ,,
Carchi,Total," 1,226 ", 15 , 7 , 3 , 5 , 2 , 2 , 7 , 4 , 14 , 18 , 22 , 17 , 29 , 25 , 32 , 69 , 50 , 70 , 90 , 102 , 143 , 167 , 333 ,  ,,
,Hombre, 681 , 6 , 5 , 1 , 4 , 1 , 1 , 4 , 2 , 8 , 11 , 19 , 12 , 18 , 15 , 13 , 44 , 32 , 32 , 54 , 57 , 78 , 99 , 165 ,  ,,
,Mujer, 545 , 9 , 2 , 2 , 1 , 1 , 1 , 3 , 2 , 6 , 7 , 3 , 5 , 11 , 10 , 19 , 25 , 18 , 38 , 36 , 45 , 65 , 68 , 168 ,  ,,
Cotopaxi,Total," 3,010 ", 66 , 30 , 18 , 9 , 4 , 7 , 14 , 15 , 40 , 59 , 51 , 57 , 78 , 94 , 102 , 127 , 135 , 180 , 224 , 265 , 314 , 327 , 794 ,  ,,
,Hombre," 1,673 ", 38 , 17 , 10 , 2 , 4 , 1 , 8 , 10 , 26 , 50 , 40 , 42 , 54 , 67 , 72 , 72 , 82 , 102 , 129 , 159 , 169 , 171 , 348 ,  ,,
,Mujer," 1,337 ", 28 , 13 , 8 , 7 ,  , 6 , 6 , 5 , 14 , 9 , 11 , 15 , 24 , 27 , 30 , 55 , 53 , 78 , 95 , 106 , 145 , 156 , 446 ,  ,,
Chimborazo,Total," 3,406 ", 43 , 29 , 7 , 4 , 8 , 2 , 12 , 18 , 32 , 51 , 45 , 62 , 61 , 61 , 97 , 148 , 175 , 206 , 260 , 311 , 373 , 421 , 980 ,  ,,
,Hombre," 1,866 ", 24 , 13 , 6 , 3 , 2 ,  , 8 , 10 , 18 , 40 , 29 , 40 , 40 , 45 , 64 , 91 , 107 , 114 , 170 , 179 , 196 , 234 , 433 ,  ,,
,Mujer," 1,540 ", 19 , 16 , 1 , 1 , 6 , 2 , 4 , 8 , 14 , 11 , 16 , 22 , 21 , 16 , 33 , 57 , 68 , 92 , 90 , 132 , 177 , 187 , 547 ,  ,,
Imbabura,Total," 2,942 ", 48 , 18 , 5 , 3 , 6 , 3 , 18 , 12 , 32 , 46 , 49 , 44 , 51 , 69 , 84 , 118 , 170 , 190 , 211 , 244 , 302 , 364 , 855 ,  ,,
,Hombre," 1,630 ", 20 , 11 , 5 , 2 , 3 , 1 , 12 , 6 , 22 , 36 , 33 , 27 , 35 , 43 , 50 , 73 , 104 , 114 , 138 , 144 , 178 , 200 , 373 ,  ,,
,Mujer," 1,312 ", 28 , 7 ,  , 1 , 3 , 2 , 6 , 6 , 10 , 10 , 16 , 17 , 16 , 26 , 34 , 45 , 66 , 76 , 73 , 100 , 124 , 164 , 482 ,  ,,
Loja,Total," 3,529 ", 44 , 20 , 6 , 3 , 6 , 1 , 12 , 9 , 31 , 47 , 48 , 52 , 69 , 70 , 99 , 128 , 174 , 257 , 280 , 310 , 383 , 419 ," 1,061 ",  ,,
,Hombre," 1,978 ", 26 , 11 , 4 , 2 , 3 ,  , 8 , 6 , 23 , 37 , 33 , 37 , 47 , 48 , 57 , 80 , 97 , 148 , 158 , 173 , 220 , 233 , 527 ,  ,,
,Mujer," 1,551 ", 18 , 9 , 2 , 1 , 3 , 1 , 4 , 3 , 8 , 10 , 15 , 15 , 22 , 22 , 42 , 48 , 77 , 109 , 122 , 137 , 163 , 186 , 534 ,  ,,
Pichincha,Total," 18,464 ", 349 , 165 , 42 , 17 , 21 , 8 , 51 , 90 , 140 , 271 , 304 , 350 , 427 , 540 , 640 , 831 ," 1,091 "," 1,437 "," 1,649 "," 1,728 "," 1,933 "," 1,861 "," 4,518 ", 1 ,,
,Hombre," 10,350 ", 198 , 94 , 22 , 11 , 10 , 4 , 31 , 47 , 98 , 202 , 225 , 246 , 293 , 350 , 434 , 532 , 656 , 851 , 947 ," 1,015 "," 1,101 "," 1,008 "," 1,975 ",  ,,
,Mujer," 8,114 ", 151 , 71 , 20 , 6 , 11 , 4 , 20 , 43 , 42 , 69 , 79 , 104 , 134 , 190 , 206 , 299 , 435 , 586 , 702 , 713 , 832 , 853 ," 2,543 ", 1 ,,
Tungurahua,Total," 4,118 ", 28 , 26 , 8 , 3 ,  , 3 , 18 , 20 , 36 , 56 , 78 , 62 , 90 , 116 , 141 , 187 , 214 , 282 , 314 , 370 , 415 , 492 ," 1,158 ", 1 ,,
,Hombre," 2,300 ", 16 , 10 , 5 , 2 ,  , 2 , 10 , 11 , 19 , 37 , 57 , 41 , 66 , 78 , 87 , 123 , 133 , 169 , 178 , 230 , 238 , 275 , 512 , 1 ,,
,Mujer," 1,818 ", 12 , 16 , 3 , 1 ,  , 1 , 8 , 9 , 17 , 19 , 21 , 21 , 24 , 38 , 54 , 64 , 81 , 113 , 136 , 140 , 177 , 217 , 646 ,  ,,
Santo Domingo de los Tsáchilas,Total," 2,848 ", 43 , 30 , 10 , 3 , 3 , 4 , 13 , 18 , 27 , 62 , 63 , 77 , 89 , 84 , 108 , 133 , 179 , 236 , 284 , 286 , 291 , 307 , 498 ,  ,,
,Hombre," 1,698 ", 26 , 19 , 5 , 2 , 3 , 2 , 9 , 7 , 18 , 39 , 53 , 62 , 64 , 51 , 58 , 79 , 104 , 134 , 165 , 170 , 180 , 179 , 269 ,  ,,
,Mujer," 1,150 ", 17 , 11 , 5 , 1 ,  , 2 , 4 , 11 , 9 , 23 , 10 , 15 , 25 , 33 , 50 , 54 , 75 , 102 , 119 , 116 , 111 , 128 , 229 ,  ,,
Región Costa,Total," 53,512 ", 895 , 449 , 113 , 70 , 40 , 36 , 179 , 244 , 578 ," 1,166 "," 1,320 "," 1,429 "," 1,387 "," 1,627 "," 1,959 "," 2,531 "," 3,601 "," 4,585 "," 5,338 "," 5,653 "," 5,291 "," 5,185 "," 9,831 ", 5 ,,
,Hombre," 30,931 ", 502 , 233 , 67 , 47 , 18 , 17 , 106 , 137 , 419 , 945 ," 1,056 "," 1,105 ", 980 ," 1,068 "," 1,194 "," 1,512 "," 2,115 "," 2,629 "," 3,041 "," 3,199 "," 3,049 "," 2,840 "," 4,648 ", 4 ,,
,Mujer," 22,581 ", 393 , 216 , 46 , 23 , 22 , 19 , 73 , 107 , 159 , 221 , 264 , 324 , 407 , 559 , 765 ," 1,019 "," 1,486 "," 1,956 "," 2,297 "," 2,454 "," 2,242 "," 2,345 "," 5,183 ", 1 ,,
El Oro,Total," 4,996 ", 99 , 42 , 11 , 6 , 1 , 4 , 14 , 25 , 45 , 100 , 117 , 98 , 129 , 172 , 203 , 220 , 337 , 451 , 433 , 583 , 476 , 517 , 913 ,  ,,
