,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuadro No. 3.1.15
Defunciones, por tipo de certificación y grupos de edad, según sexo y causas de muerte
Lista corta de las principales causas de muerte Becker (Recomendada por la OMS)
Año 2021 (p**)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lista corta de las principales causas de muerte Becker1/  y sexo,,,Total,Tipo de certificación,,,Azuay,,,,,,,,,,,,,,,,,,Bolívar,,,,,,,,,,,,,,,,,Cañar,,,,,,,,,,,,,,,,,,Carchi,,,,,,,,,,,,,,,,,Cotopaxi,,,,,,,,,,,,,,,,,,Chimborazo,,,,,,,,,,,,,,,,,,El Oro,,,,,,,,,,,,,,,,,,Esmeraldas,,,,,,,,,,,,,,,,,Guayas,,,,,,,,,,,,,,,,,,Imbabura,,,,,,,,,,,,,,,,,Loja,,,,,,,,,,,,,,,,,,Los Ríos,,,,,,,,,,,,,,,,,,Manabí,,,,,,,,,,,,,,,,,,,Morona Santiago,,,,,,,,,,,,,,,,,Napo,,,,,,,,,,,,,,,,,Pastaza,,,,,,,,,,,,,,,,,Pichincha,,,,,,,,,,,,,,,,,,,Tungurahua,,,,,,,,,,,,,,,,,,,Zamora Chinchipe,,,,,,,,,,,,,,,,,Galapagos,,,,,,,,,,,Sucumbíos,,,,,,,,,,,,,,,,,,Orellana,,,,,,,,,,,,,,,,,Santo Domingo de los Tsáchilas,,,,,,,,,,,,,,,,,Santa Elena,,,,,,,,,,,,,,,,,,,Exterior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Con certificación médica,Sin certificación médica,Sin información,Menor a un año,,,,Un año y más,,,,,,,,,,,,,,Menor a un año,,,Un año y más,,,,,,,,,,,,,,Menor a un año,,,,Un año y más,,,,,,,,,,,,,,Menor a un año,,,Un año y más,,,,,,,,,,,,,,Menor a un año,,,,Un año y más,,,,,,,,,,,,,,Menor a un año,,,,Un año y más,,,,,,,,,,,,,,Menor a un año,,,,Un año y más,,,,,,,,,,,,,,Menor a un año,,,Un año y más,,,,,,,,,,,,,,Menor a un año,,,,Un año y más,,,,,,,,,,,,,,Menor a un año,,,Un año y más,,,,,,,,,,,,,,Menor a un año,,,,Un año y más,,,,,,,,,,,,,,Menor a un año,,,Un año y más,,,,,,,,,,,,,,Sin información,Menor a un año,,,,Un año y más,,,,,,,,,,,,,,Sin información,Menor a un año,,,Un año y más,,,,,,,,,,,,,,Menor a un año,,,Un año y más,,,,,,,,,,,,,,Menor a un año,,,Un año y más,,,,,,,,,,,,,,Menor a un año,,,,Un año y más,,,,,,,,,,,,,,Sin información,Menor a un año,,,,Un año y más,,,,,,,,,,,,,,Sin información,Menor a un año,,,Un año y más,,,,,,,,,,,,,,Menor a un año,,Un año y más,,,,,,,,,Menor a un año,,,Un año y más,,,,,,,,,,,,,,Sin información,Menor a un año,,,Un año y más,,,,,,,,,,,,,,Menor a un año,,,Un año y más,,,,,,,,,,,,,,Menor a un año,,,,Un año y más,,,,,,,,,,,,,,Sin información,Un año y más,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, Menor de 7 días, 7 - 27 días, 28 - 30 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años, Menor de 7 días, 7 - 27 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años, Menor de 7 días, 7 - 27 días, 28 - 30 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años, Menor de 7 días, 7 - 27 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años, Menor de 7 días, 7 - 27 días, 28 - 30 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años, Menor de 7 días, 7 - 27 días, 28 - 30 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años, Menor de 7 días, 7 - 27 días, 28 - 30 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años, Menor de 7 días, 7 - 27 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años, Menor de 7 días, 7 - 27 días, 28 - 30 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años, Menor de 7 días, 7 - 27 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años, Menor de 7 días, 7 - 27 días, 28 - 30 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años, Menor de 7 días, 7 - 27 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años,Sin información, Menor de 7 días, 7 - 27 días, 28 - 30 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años,Sin información, Menor de 7 días, 7 - 27 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años, Menor de 7 días, 7 - 27 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años, Menor de 7 días, 7 - 27 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años, Menor de 7 días, 7 - 27 días, 28 - 30 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años,Sin información, Menor de 7 días, 7 - 27 días, 28 - 30 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años,Sin información, Menor de 7 días, 7 - 27 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años, Menor de 7 días, 1 - 11 meses,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años, Menor de 7 días, 7 - 27 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años,Sin información, Menor de 7 días, 7 - 27 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años, Menor de 7 días, 7 - 27 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años, Menor de 7 días, 7 - 27 días, 28 - 30 días, 1 - 11 meses,1 - 4 años,5 - 9 años,10 - 14 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,40 - 44 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años,Sin información,5 - 9 años,15 - 19 años,20 - 24 años,25 - 29 años,30 - 34 años,35 - 39 años,45 - 49 años,50 - 54 años,55 - 59 años,60 - 64 años,65  y más años,,INDICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Nacional:,,," 105,248 "," 101,764 "," 3,139 ", 345 , 49 , 17 , 1 , 30 , 27 , 17 , 35 , 53 , 65 , 99 , 92 , 119 , 125 , 165 , 217 , 264 , 349 ," 3,352 ", 8 , 7 , 22 , 12 , 11 , 10 , 21 , 29 , 17 , 13 , 34 , 26 , 34 , 42 , 43 , 88 , 993 , 7 , 2 , 1 , 4 , 9 , 7 , 7 , 11 , 29 , 38 , 31 , 38 , 39 , 39 , 63 , 78 , 105 ," 1,124 ", 7 , 8 , 7 , 12 , 7 , 4 , 14 , 18 , 22 , 17 , 29 , 25 , 32 , 69 , 50 , 70 , 835 , 44 , 19 , 3 , 30 , 38 , 14 , 15 , 40 , 59 , 51 , 57 , 78 , 94 , 102 , 127 , 135 , 180 ," 1,924 ", 24 , 16 , 3 , 29 , 21 , 12 , 18 , 32 , 51 , 45 , 62 , 61 , 61 , 97 , 148 , 175 , 206 ," 2,345 ", 54 , 44 , 1 , 42 , 22 , 14 , 25 , 45 , 100 , 117 , 98 , 129 , 172 , 203 , 220 , 337 , 451 ," 2,922 ", 20 , 14 , 18 , 18 , 26 , 23 , 47 , 67 , 94 , 82 , 95 , 95 , 101 , 120 , 177 , 246 ," 1,520 ", 344 , 162 , 15 , 232 , 116 , 74 , 117 , 304 , 663 , 710 , 801 , 758 , 837 ," 1,031 "," 1,374 "," 1,949 "," 2,504 "," 16,231 ", 32 , 16 , 18 , 17 , 18 , 12 , 32 , 46 , 49 , 44 , 51 , 69 , 84 , 118 , 170 , 190 ," 1,976 ", 30 , 13 , 1 , 20 , 16 , 12 , 9 , 31 , 47 , 48 , 52 , 69 , 70 , 99 , 128 , 174 , 257 ," 2,453 ", 51 , 25 , 57 , 40 , 20 , 30 , 81 , 139 , 169 , 195 , 150 , 194 , 236 , 270 , 375 , 442 ," 3,301 ", 2 , 72 , 46 , 4 , 84 , 50 , 35 , 40 , 84 , 160 , 181 , 194 , 220 , 264 , 312 , 434 , 624 , 768 ," 6,208 ", 2 , 19 , 17 , 26 , 14 , 10 , 9 , 16 , 19 , 31 , 26 , 25 , 30 , 29 , 37 , 43 , 40 , 335 , 3 , 6 , 19 , 8 , 10 , 8 , 16 , 26 , 22 , 16 , 20 , 25 , 16 , 28 , 38 , 35 , 286 , 5 , 2 , 7 , 6 , 6 , 1 , 12 , 15 , 20 , 20 , 13 , 11 , 10 , 20 , 25 , 27 , 265 , 220 , 116 , 13 , 165 , 88 , 51 , 90 , 140 , 271 , 304 , 350 , 427 , 540 , 640 , 831 ," 1,091 "," 1,437 "," 11,689 ", 1 , 14 , 13 , 1 , 26 , 14 , 18 , 20 , 36 , 56 , 78 , 62 , 90 , 116 , 141 , 187 , 214 , 282 ," 2,749 ", 1 , 6 , 3 , 2 , 8 , 5 , 6 , 7 , 9 , 6 , 11 , 17 , 21 , 17 , 22 , 43 , 44 , 295 , 2 , 1 , 3 , 3 , 4 , 2 , 4 , 2 , 4 , 4 , 53 , 22 , 13 , 15 , 16 , 5 , 14 , 20 , 42 , 46 , 40 , 30 , 49 , 43 , 46 , 75 , 73 , 430 , 1 , 11 , 6 , 17 , 11 , 7 , 12 , 33 , 40 , 29 , 35 , 27 , 31 , 23 , 47 , 36 , 48 , 276 , 27 , 16 , 30 , 20 , 13 , 18 , 27 , 62 , 63 , 77 , 89 , 84 , 108 , 133 , 179 , 236 ," 1,666 ", 22 , 20 , 1 , 16 , 13 , 10 , 9 , 17 , 37 , 49 , 59 , 35 , 65 , 76 , 113 , 139 , 174 ," 1,116 ", 1 , 1 , 3 , 1 , 1 , 4 , 1 , 2 , 3 , 1 , 5 , 7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,Hombre,," 60,008 "," 58,087 "," 1,719 ", 202 , 33 , 11 , 1 , 16 , 17 , 11 , 20 , 37 , 47 , 80 , 68 , 85 , 85 , 114 , 139 , 154 , 199 ," 1,633 ", 4 , 4 , 11 , 10 , 7 , 7 , 13 , 20 , 17 , 7 , 23 , 20 , 20 , 26 , 25 , 54 , 520 , 2 , - , - , 3 , 3 , 2 , 4 , 8 , 21 , 32 , 21 , 28 , 18 , 27 , 35 , 46 , 65 , 568 , 2 , 4 , 5 , 7 , 4 , 2 , 8 , 11 , 19 , 12 , 18 , 15 , 13 , 44 , 32 , 32 , 453 , 29 , 8 , 1 , 17 , 17 , 8 , 10 , 26 , 50 , 40 , 42 , 54 , 67 , 72 , 72 , 82 , 102 , 976 , 15 , 7 , 2 , 13 , 11 , 8 , 10 , 18 , 40 , 29 , 40 , 40 , 45 , 64 , 91 , 107 , 114 ," 1,212 ", 35 , 22 , 1 , 30 , 15 , 11 , 14 , 34 , 85 , 97 , 83 , 96 , 119 , 131 , 147 , 195 , 261 ," 1,608 ", 6 , 7 , 8 , 11 , 15 , 11 , 35 , 51 , 71 , 57 , 72 , 54 , 55 , 74 , 104 , 143 , 857 , 198 , 87 , 12 , 113 , 62 , 40 , 66 , 218 , 537 , 577 , 625 , 538 , 537 , 631 , 786 ," 1,145 "," 1,426 "," 8,560 ", 15 , 5 , 11 , 11 , 12 , 6 , 22 , 36 , 33 , 27 , 35 , 43 , 50 , 73 , 104 , 114 ," 1,033 ", 17 , 9 , - , 11 , 9 , 8 , 6 , 23 , 37 , 33 , 37 , 47 , 48 , 57 , 80 , 97 , 148 ," 1,311 ", 31 , 17 , 31 , 24 , 12 , 19 , 56 , 111 , 136 , 148 , 106 , 133 , 136 , 152 , 214 , 245 ," 1,843 ", 2 , 41 , 23 , 1 , 40 , 27 , 22 , 23 , 64 , 130 , 134 , 148 , 141 , 185 , 199 , 271 , 378 , 441 ," 3,323 ", 1 , 9 , 12 , 11 , 6 , 7 , 4 , 11 , 13 , 22 , 13 , 20 , 21 , 15 , 21 , 20 , 21 , 180 , 3 , 2 , 9 , 4 , 6 , 4 , 11 , 20 , 18 , 11 , 11 , 22 , 10 , 24 , 23 , 17 , 166 , 1 , 2 , 3 , 3 , 1 , 1 , 6 , 10 , 15 , 11 , 11 , 5 , 7 , 13 , 17 , 15 , 145 , 126 , 65 , 7 , 94 , 47 , 31 , 47 , 98 , 202 , 225 , 246 , 293 , 350 , 434 , 532 , 656 , 851 ," 6,046 ", - , 9 , 6 , 1 , 10 , 9 , 10 , 11 , 19 , 37 , 57 , 41 , 66 , 78 , 87 , 123 , 133 , 169 ," 1,433 ", 1 , 2 , 2 , 1 , 2 , 4 , 3 , 6 , 6 , 5 , 9 , 13 , 18 , 10 , 12 , 31 , 26 , 170 , 1 , - , 1 , 3 , 2 , 1 , 4 , 2 , 3 , 2 , 40 , 13 , 8 , 8 , 11 , 4 , 8 , 13 , 35 , 37 , 33 , 25 , 32 , 31 , 31 , 46 , 45 , 246 , 1 , 6 , 2 , 9 , 3 , 2 , 6 , 23 , 30 , 22 , 23 , 17 , 19 , 18 , 20 , 24 , 31 , 167 , 18 , 8 , 19 , 12 , 9 , 7 , 18 , 39 , 53 , 62 , 64 , 51 , 58 , 79 , 104 , 134 , 963 , 8 , 12 , 1 , 11 , 10 , 6 , 4 , 12 , 31 , 41 , 44 , 27 , 40 , 42 , 82 , 79 , 113 , 586 , 1 , - , 3 , 1 , 1 , 3 , 1 , 1 , 2 , 1 , 4 , 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mujer,," 45,240 "," 43,677 "," 1,420 ", 143 , 16 , 6 , - , 14 , 10 , 6 , 15 , 16 , 18 , 19 , 24 , 34 , 40 , 51 , 78 , 110 , 150 ," 1,719 ", 4 , 3 , 11 , 2 , 4 , 3 , 8 , 9 , - , 6 , 11 , 6 , 14 , 16 , 18 , 34 , 473 , 5 , 2 , 1 , 1 , 6 , 5 , 3 , 3 , 8 , 6 , 10 , 10 , 21 , 12 , 28 , 32 , 40 , 556 , 5 , 4 , 2 , 5 , 3 , 2 , 6 , 7 , 3 , 5 , 11 , 10 , 19 , 25 , 18 , 38 , 382 , 15 , 11 , 2 , 13 , 21 , 6 , 5 , 14 , 9 , 11 , 15 , 24 , 27 , 30 , 55 , 53 , 78 , 948 , 9 , 9 , 1 , 16 , 10 , 4 , 8 , 14 , 11 , 16 , 22 , 21 , 16 , 33 , 57 , 68 , 92 ," 1,133 ", 19 , 22 , - , 12 , 7 , 3 , 11 , 11 , 15 , 20 , 15 , 33 , 53 , 72 , 73 , 142 , 190 ," 1,314 ", 14 , 7 , 10 , 7 , 11 , 12 , 12 , 16 , 23 , 25 , 23 , 41 , 46 , 46 , 73 , 103 , 663 , 146 , 75 , 3 , 119 , 54 , 34 , 51 , 86 , 126 , 133 , 176 , 220 , 300 , 400 , 588 , 804 ," 1,078 "," 7,671 ", 17 , 11 , 7 , 6 , 6 , 6 , 10 , 10 , 16 , 17 , 16 , 26 , 34 , 45 , 66 , 76 , 943 , 13 , 4 , 1 , 9 , 7 , 4 , 3 , 8 , 10 , 15 , 15 , 22 , 22 , 42 , 48 , 77 , 109 ," 1,142 ", 20 , 8 , 26 , 16 , 8 , 11 , 25 , 28 , 33 , 47 , 44 , 61 , 100 , 118 , 161 , 197 ," 1,458 ", - , 31 , 23 , 3 , 44 , 23 , 13 , 17 , 20 , 30 , 47 , 46 , 79 , 79 , 113 , 163 , 246 , 327 ," 2,885 ", 1 , 10 , 5 , 15 , 8 , 3 , 5 , 5 , 6 , 9 , 13 , 5 , 9 , 14 , 16 , 23 , 19 , 155 , - , 4 , 10 , 4 , 4 , 4 , 5 , 6 , 4 , 5 , 9 , 3 , 6 , 4 , 15 , 18 , 120 , 4 , - , 4 , 3 , 5 , - , 6 , 5 , 5 , 9 , 2 , 6 , 3 , 7 , 8 , 12 , 120 , 94 , 51 , 6 , 71 , 41 , 20 , 43 , 42 , 69 , 79 , 104 , 134 , 190 , 206 , 299 , 435 , 586 ," 5,643 ", 1 , 5 , 7 , - , 16 , 5 , 8 , 9 , 17 , 19 , 21 , 21 , 24 , 38 , 54 , 64 , 81 , 113 ," 1,316 ", - , 4 , 1 , 1 , 6 , 1 , 3 , 1 , 3 , 1 , 2 , 4 , 3 , 7 , 10 , 12 , 18 , 125 , 1 , 1 , 2 , - , 2 , 1 , - , - , 1 , 2 , 13 , 9 , 5 , 7 , 5 , 1 , 6 , 7 , 7 , 9 , 7 , 5 , 17 , 12 , 15 , 29 , 28 , 184 , - , 5 , 4 , 8 , 8 , 5 , 6 , 10 , 10 , 7 , 12 , 10 , 12 , 5 , 27 , 12 , 17 , 109 , 9 , 8 , 11 , 8 , 4 , 11 , 9 , 23 , 10 , 15 , 25 , 33 , 50 , 54 , 75 , 102 , 703 , 14 , 8 , - , 5 , 3 , 4 , 5 , 5 , 6 , 8 , 15 , 8 , 25 , 34 , 31 , 60 , 61 , 530 , - , 1 , - , - , - , 1 , - , 1 , 1 , - , 1 , 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Enfermedades infecciosas intestinales,Total:,, 125 , 114 , 10 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , 10 , - , - , 1 , 1 , 1 , 1 , - , - , - , - , - , - , - , - , - , - , 4 , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , 1 , 2 , - , - , - , - , - , - , - , - , - , - , 1 , 1 , 2 , - , - , 1 , - , 1 , - , - , - , 1 , - , - , - , 1 , - , - , - , - , - , 2 , - , 5 , 3 , - , 1 , - , - , - , 1 , - , - , - , 1 , 1 , 2 , 10 , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , 2 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , 1 , - , - , - , - , - , 1 , - , - , - , - , - , 1 , 1 , - , - , - , - , 2 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , 3 , - , - , - , 1 , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , 1 , - , 1 , - , - , - , - , - , - , - , - , 1 , 1 , 2 , - , - , 9 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , 1 , - , 1 , - , - , - , 1 , - , - , - , - , 1 , - , - , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Sexo,Hombre, 54 , 49 , 5 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , 5 , - , - , 1 , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , 1 , 2 , - , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 3 , 2 , - , - , - , - , - , 1 , - , - , - , - , 1 , - , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
