,,,,,,,,,,,,
"Cuadro No. 3.1.16
Defunciones en el año (t), por lugar y sitio de acaecimiento
Año 2021 (p**)",,,,,,,,,,,,
 Región y provincia de Residencia habitual , Area , Total , Establecimientos del Ministerio de Salud , Establecimientos del IESS , Establecimientos de la Junta de Beneficencia , Otros establecimientos públicos ," Hospital, clínica o consultorio privado ", Casa , Otro , Sin información ,,INDICE
Total,Total," 105,248 "," 25,788 "," 14,054 "," 1,450 "," 1,165 "," 10,400 "," 46,431 "," 5,614 ", 346 ,,
,Urbano," 81,522 "," 20,941 "," 11,703 "," 1,361 ", 990 ," 8,643 "," 33,449 "," 4,198 ", 237 ,,
,Rural," 23,726 "," 4,847 "," 2,351 ", 89 , 175 ," 1,757 "," 12,982 "," 1,416 ", 109 ,,
Región Sierra,Total," 47,660 "," 10,799 "," 6,896 ", 62 , 693 ," 5,101 "," 21,501 "," 2,358 ", 250 ,,
,Urbano," 32,405 "," 7,748 "," 5,241 ", 46 , 554 ," 3,868 "," 13,260 "," 1,530 ", 158 ,,
,Rural," 15,255 "," 3,051 "," 1,655 ", 16 , 139 ," 1,233 "," 8,241 ", 828 , 92 ,,
Azuay,Total," 5,076 ", 907 , 782 , 2 , 29 , 569 ," 2,398 ", 274 , 115 ,,
,Urbano," 3,020 ", 563 , 524 , 1 , 18 , 405 ," 1,296 ", 145 , 68 ,,
,Rural," 2,056 ", 344 , 258 , 1 , 11 , 164 ," 1,102 ", 129 , 47 ,,
Bolívar,Total," 1,410 ", 274 , 141 , 8 , 7 , 130 , 777 , 73 ,  ,,
,Urbano, 959 , 200 , 111 , 8 , 5 , 99 , 480 , 56 ,  ,,
,Rural, 451 , 74 , 30 ,  , 2 , 31 , 297 , 17 ,  ,,
Cañar,Total," 1,632 ", 403 , 126 , 8 , 7 , 131 , 850 , 103 , 4 ,,
,Urbano," 1,033 ", 282 , 93 , 6 , 4 , 72 , 506 , 69 , 1 ,,
,Rural, 599 , 121 , 33 , 2 , 3 , 59 , 344 , 34 , 3 ,,
Carchi,Total," 1,226 ", 397 , 62 , 1 , 1 , 59 , 657 , 48 , 1 ,,
,Urbano, 869 , 309 , 39 , 1 , 1 , 50 , 435 , 33 , 1 ,,
,Rural, 357 , 88 , 23 ,  ,  , 9 , 222 , 15 ,  ,,
Cotopaxi,Total," 3,010 ", 806 , 293 , 6 , 29 , 188 ," 1,500 ", 185 , 3 ,,
,Urbano," 1,847 ", 553 , 200 , 3 , 23 , 143 , 834 , 89 , 2 ,,
,Rural," 1,163 ", 253 , 93 , 3 , 6 , 45 , 666 , 96 , 1 ,,
Chimborazo,Total," 3,406 ", 599 , 440 , 13 , 16 , 364 ," 1,796 ", 150 , 28 ,,
,Urbano," 2,196 ", 434 , 336 , 8 , 11 , 298 ," 1,004 ", 84 , 21 ,,
,Rural," 1,210 ", 165 , 104 , 5 , 5 , 66 , 792 , 66 , 7 ,,
Imbabura,Total," 2,942 ", 608 , 420 , 1 , 12 , 138 ," 1,653 ", 105 , 5 ,,
,Urbano," 1,976 ", 443 , 341 , 1 , 8 , 110 ," 1,006 ", 64 , 3 ,,
,Rural, 966 , 165 , 79 ,  , 4 , 28 , 647 , 41 , 2 ,,
Loja,Total," 3,529 ", 772 , 387 , 3 , 12 , 408 ," 1,803 ", 140 , 4 ,,
,Urbano," 2,366 ", 594 , 278 , 2 , 10 , 324 ," 1,052 ", 104 , 2 ,,
,Rural," 1,163 ", 178 , 109 , 1 , 2 , 84 , 751 , 36 , 2 ,,
Pichincha,Total," 18,464 "," 4,234 "," 3,406 ", 8 , 557 ," 2,347 "," 6,910 ", 951 , 51 ,,
,Urbano," 13,394 "," 3,021 "," 2,720 ", 7 , 456 ," 1,807 "," 4,678 ", 676 , 29 ,,
,Rural," 5,070 "," 1,213 ", 686 , 1 , 101 , 540 ," 2,232 ", 275 , 22 ,,
Tungurahua,Total," 4,117 ", 988 , 512 , 2 , 13 , 445 ," 1,951 ", 172 , 34 ,,
,Urbano," 2,363 ", 620 , 350 ,  , 9 , 284 ," 1,001 ", 71 , 28 ,,
,Rural," 1,754 ", 368 , 162 , 2 , 4 , 161 , 950 , 101 , 6 ,,
Santo Domingo de los Tsáchilas,Total," 2,848 ", 811 , 327 , 10 , 10 , 322 ," 1,206 ", 157 , 5 ,,
,Urbano," 2,382 ", 729 , 249 , 9 , 9 , 276 , 968 , 139 , 3 ,,
,Rural, 466 , 82 , 78 , 1 , 1 , 46 , 238 , 18 , 2 ,,
Región Costa,Total," 53,512 "," 13,435 "," 6,977 "," 1,385 ", 456 ," 5,107 "," 23,173 "," 2,895 ", 84 ,,
,Urbano," 46,553 "," 12,050 "," 6,330 "," 1,312 ", 425 ," 4,634 "," 19,272 "," 2,461 ", 69 ,,
,Rural," 6,959 "," 1,385 ", 647 , 73 , 31 , 473 ," 3,901 ", 434 , 15 ,,
El Oro,Total," 4,996 "," 1,588 ", 788 , 18 , 17 , 574 ," 1,744 ", 266 , 1 ,,
,Urbano," 4,310 "," 1,436 ", 718 , 16 , 17 , 483 ," 1,432 ", 207 , 1 ,,
,Rural, 686 , 152 , 70 , 2 ,  , 91 , 312 , 59 ,  ,,
