,,,,,,,,,,,,,,
"Cuadro No. 3.1.17 
Defunciones por lugar de residencia habitual, edad,sexo y nivel de instrucción
Año 2021 (p**) ",,,,,,,,,,,,,,
"Nacional, provincial por sexo y rangos de edad",,,Total,Ninguno,Centro de alfabetización,Primaria,Educación Básica,Secundaria,Educación Media / Bachillerato,Superior no universitario,Superior universitario,Postgrado,Sin información,INDICE
Nacional,Total,Total," 105,248 "," 18,679 "," 1,023 "," 22,980 "," 25,439 "," 22,456 "," 1,421 ", 825 ," 6,194 ", 164 ," 4,613 ",
,,Hombre," 60,008 "," 8,000 ", 562 ," 13,006 "," 15,197 "," 13,587 "," 1,069 ", 565 ," 4,208 ", 120 ," 2,893 ",
,,Mujer," 45,240 "," 10,679 ", 461 ," 9,974 "," 10,242 "," 8,869 ", 352 , 260 ," 1,986 ", 44 ," 1,720 ",
,Nacional,Menores de 15 años," 4,186 "," 2,181 ",  ,  , 498 ,  ,  ,  ,  ,  , 53 ,
,,15 - 19 años," 1,122 ", 148 , 8 ,  , 501 ,  , 389 , 1 , 2 ,  , 73 ,
,,20 - 49 años," 16,082 ", 757 , 44 ," 2,251 "," 4,098 "," 5,427 "," 1,032 ", 198 ," 1,271 ", 27 , 977 ,
,,50 - 59 años," 11,238 ", 694 , 46 ," 2,469 "," 2,394 "," 3,916 ",  , 129 ," 1,045 ", 26 , 519 ,
,,60 y más años," 72,612 "," 14,898 ", 925 ," 18,260 "," 17,947 "," 13,113 ",  , 497 ," 3,876 ", 111 ," 2,985 ",
,Hombre,Menores de 15 años," 2,322 "," 1,200 ",  ,  , 292 ,  ,  ,  ,  ,  , 29 ,
,,15 - 19 años, 782 , 96 , 6 ,  , 364 ,  , 261 , 1 , 1 ,  , 53 ,
,,20 - 49 años," 11,334 ", 462 , 28 ," 1,526 "," 2,983 "," 3,798 ", 808 , 147 , 792 , 16 , 774 ,
,,50 - 59 años," 6,751 ", 326 , 23 ," 1,429 "," 1,403 "," 2,501 ",  , 79 , 648 , 16 , 326 ,
,,60 y más años," 38,813 "," 5,916 ", 505 ," 10,051 "," 10,154 "," 7,288 ",  , 338 ," 2,767 ", 88 ," 1,706 ",
,Mujer,Menores de 15 años," 1,864 ", 981 ,  ,  , 206 ,  ,  ,  ,  ,  , 24 ,
,,15 - 19 años, 340 , 52 , 2 ,  , 137 ,  , 128 ,  , 1 ,  , 20 ,
,,20 - 49 años," 4,748 ", 295 , 16 , 725 ," 1,115 "," 1,629 ", 224 , 51 , 479 , 11 , 203 ,
,,50 - 59 años," 4,487 ", 368 , 23 ," 1,040 ", 991 ," 1,415 ",  , 50 , 397 , 10 , 193 ,
,,60 y más años," 33,799 "," 8,982 ", 420 ," 8,209 "," 7,793 "," 5,825 ",  , 159 ," 1,109 ", 23 ," 1,279 ",
Azuay,Hombre,Total," 2,750 ", 332 , 50 , 782 , 726 , 484 , 41 , 12 , 223 , 11 , 44 ,
,,Menores de 15 años, 109 , 41 ,  ,  , 20 ,  ,  ,  ,  ,  , 3 ,
,,15 - 19 años, 37 , 5 , 1 ,  , 15 ,  , 15 ,  ,  ,  , 1 ,
,,20 - 49 años, 479 , 20 , 2 , 102 , 154 , 114 , 26 , 4 , 44 , 2 , 11 ,
,,50 - 59 años, 293 , 7 , 1 , 75 , 86 , 85 ,  , 2 , 32 , 3 , 2 ,
