,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Cuadro No. 3.1.2
Defunciones infantiles, mayores de un año  en el año (t) por sexo, según  región, provincia y áreas de residencia habitual de la persona fallecida
Año 2021 (p**)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Regiones, provincias
 y áreas ",, Total general ,,, Menores de un año ,,, De un año y más ,,, Sin información ,,,INDICE,,,,,,,,,,,,,,,,,,,,,,
,, Total , Hombres , Mujeres , Total , Hombres , Mujeres , Total , Hombres , Mujeres , Total , Hombres , Mujeres ,,,,,,,,,,,,,,,,,,,,,,,
 Total Nacional (t)1/ ,," 105,248 "," 60,008 "," 45,240 "," 2,655 "," 1,458 "," 1,197 "," 102,585 "," 58,544 "," 44,041 ", 8 , 6 , 2 ,,,,,,,,,,,,,,,,,,,,,,,
 Región Sierra ,," 47,661 "," 26,597 "," 21,064 "," 1,109 ", 619 , 490 ," 46,550 "," 25,977 "," 20,573 ", 2 , 1 , 1 ,,,,,,,,,,,,,,,,,,,,,,,
 Azuay , Total ," 5,076 "," 2,750 "," 2,326 ", 97 , 61 , 36 ," 4,979 "," 2,689 "," 2,290 ", - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano ," 3,020 "," 1,633 "," 1,387 ", 70 , 43 , 27 ," 2,950 "," 1,590 "," 1,360 ", - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural ," 2,056 "," 1,117 ", 939 , 27 , 18 , 9 ," 2,029 "," 1,099 ", 930 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Bolívar , Total ," 1,410 ", 788 , 622 , 37 , 19 , 18 ," 1,373 ", 769 , 604 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano , 959 , 538 , 421 , 21 , 11 , 10 , 938 , 527 , 411 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural , 451 , 250 , 201 , 16 , 8 , 8 , 435 , 242 , 193 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Cañar , Total ," 1,632 ", 883 , 749 , 14 , 5 , 9 ," 1,618 ", 878 , 740 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano ," 1,033 ", 575 , 458 , 9 , 4 , 5 ," 1,024 ", 571 , 453 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural , 599 , 308 , 291 , 5 , 1 , 4 , 594 , 307 , 287 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Carchi , Total ," 1,226 ", 681 , 545 , 22 , 11 , 11 ," 1,204 ", 670 , 534 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano , 869 , 496 , 373 , 16 , 10 , 6 , 853 , 486 , 367 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural , 357 , 185 , 172 , 6 , 1 , 5 , 351 , 184 , 167 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Cotopaxi , Total ," 3,010 "," 1,673 "," 1,337 ", 96 , 55 , 41 ," 2,914 "," 1,618 "," 1,296 ", - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano ," 1,847 "," 1,025 ", 822 , 68 , 39 , 29 ," 1,779 ", 986 , 793 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural ," 1,163 ", 648 , 515 , 28 , 16 , 12 ," 1,135 ", 632 , 503 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Chimborazo , Total ," 3,406 "," 1,866 "," 1,540 ", 72 , 37 , 35 ," 3,334 "," 1,829 "," 1,505 ", - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano ," 2,196 "," 1,217 ", 979 , 52 , 31 , 21 ," 2,144 "," 1,186 ", 958 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural ," 1,210 ", 649 , 561 , 20 , 6 , 14 ," 1,190 ", 643 , 547 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Imbabura , Total ," 2,942 "," 1,630 "," 1,312 ", 66 , 31 , 35 ," 2,876 "," 1,599 "," 1,277 ", - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano ," 1,976 "," 1,111 ", 865 , 57 , 28 , 29 ," 1,919 "," 1,083 ", 836 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural , 966 , 519 , 447 , 9 , 3 , 6 , 957 , 516 , 441 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Loja , Total ," 3,529 "," 1,978 "," 1,551 ", 64 , 37 , 27 ," 3,465 "," 1,941 "," 1,524 ", - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano ," 2,366 "," 1,333 "," 1,033 ", 47 , 30 , 17 ," 2,319 "," 1,303 "," 1,016 ", - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural ," 1,163 ", 645 , 518 , 17 , 7 , 10 ," 1,146 ", 638 , 508 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Pichincha , Total ," 18,464 "," 10,350 "," 8,114 ", 514 , 292 , 222 ," 17,949 "," 10,058 "," 7,891 ", 1 , - , 1 ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano ," 13,394 "," 7,508 "," 5,886 ", 443 , 252 , 191 ," 12,950 "," 7,256 "," 5,694 ", 1 , - , 1 ,,,,,,,,,,,,,,,,,,,,,,,
, Rural ," 5,070 "," 2,842 "," 2,228 ", 71 , 40 , 31 ," 4,999 "," 2,802 "," 2,197 ", - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Tungurahua , Total ," 4,118 "," 2,300 "," 1,818 ", 54 , 26 , 28 ," 4,063 "," 2,273 "," 1,790 ", 1 , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano ," 2,364 "," 1,343 "," 1,021 ", 24 , 12 , 12 ," 2,339 "," 1,330 "," 1,009 ", 1 , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural ," 1,754 ", 957 , 797 , 30 , 14 , 16 ," 1,724 ", 943 , 781 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Santo Domingo de los Tsáchilas , Total ," 2,848 "," 1,698 "," 1,150 ", 73 , 45 , 28 ," 2,775 "," 1,653 "," 1,122 ", - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano ," 2,382 "," 1,413 ", 969 , 65 , 40 , 25 ," 2,317 "," 1,373 ", 944 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural , 466 , 285 , 181 , 8 , 5 , 3 , 458 , 280 , 178 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Región Costa ,," 53,512 "," 30,931 "," 22,581 "," 1,344 ", 735 , 609 ," 52,163 "," 30,192 "," 21,971 ", 5 , 4 , 1 ,,,,,,,,,,,,,,,,,,,,,,,
 El Oro , Total ," 4,996 "," 2,984 "," 2,012 ", 141 , 88 , 53 ," 4,855 "," 2,896 "," 1,959 ", - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano ," 4,310 "," 2,557 "," 1,753 ", 130 , 80 , 50 ," 4,180 "," 2,477 "," 1,703 ", - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural , 686 , 427 , 259 , 11 , 8 , 3 , 675 , 419 , 256 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Esmeraldas , Total ," 2,763 "," 1,631 "," 1,132 ", 52 , 21 , 31 ," 2,711 "," 1,610 "," 1,101 ", - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano ," 1,841 "," 1,082 ", 759 , 41 , 17 , 24 ," 1,800 "," 1,065 ", 735 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural , 922 , 549 , 373 , 11 , 4 , 7 , 911 , 545 , 366 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Guayas , Total ," 28,222 "," 16,158 "," 12,064 ", 753 , 410 , 343 ," 27,469 "," 15,748 "," 11,721 ", - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano ," 26,688 "," 15,285 "," 11,403 ", 727 , 401 , 326 ," 25,961 "," 14,884 "," 11,077 ", - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural ," 1,534 ", 873 , 661 , 26 , 9 , 17 ," 1,508 ", 864 , 644 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Los Ríos , Total ," 5,777 "," 3,416 "," 2,361 ", 133 , 79 , 54 ," 5,642 "," 3,335 "," 2,307 ", 2 , 2 , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano ," 4,640 "," 2,732 "," 1,908 ", 103 , 57 , 46 ," 4,535 "," 2,673 "," 1,862 ", 2 , 2 , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural ," 1,137 ", 684 , 453 , 30 , 22 , 8 ," 1,107 ", 662 , 445 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Manabí , Total ," 9,782 "," 5,592 "," 4,190 ", 206 , 105 , 101 ," 9,574 "," 5,486 "," 4,088 ", 2 , 1 , 1 ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano ," 7,772 "," 4,424 "," 3,348 ", 177 , 91 , 86 ," 7,593 "," 4,332 "," 3,261 ", 2 , 1 , 1 ,,,,,,,,,,,,,,,,,,,,,,,
, Rural ," 2,010 "," 1,168 ", 842 , 29 , 14 , 15 ," 1,981 "," 1,154 ", 827 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Santa Elena , Total ," 1,972 "," 1,150 ", 822 , 59 , 32 , 27 ," 1,912 "," 1,117 ", 795 , 1 , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano ," 1,302 ", 767 , 535 , 39 , 21 , 18 ," 1,262 ", 745 , 517 , 1 , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural , 670 , 383 , 287 , 20 , 11 , 9 , 650 , 372 , 278 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Región Amazónica ,," 3,964 "," 2,402 "," 1,562 ", 199 , 103 , 96 ," 3,764 "," 2,298 "," 1,466 ", 1 , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,
 Morona Santiago , Total , 726 , 406 , 320 , 62 , 32 , 30 , 664 , 374 , 290 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano , 411 , 225 , 186 , 37 , 21 , 16 , 374 , 204 , 170 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural , 315 , 181 , 134 , 25 , 11 , 14 , 290 , 170 , 120 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Napo , Total , 582 , 361 , 221 , 28 , 14 , 14 , 554 , 347 , 207 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano , 333 , 210 , 123 , 12 , 8 , 4 , 321 , 202 , 119 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural , 249 , 151 , 98 , 16 , 6 , 10 , 233 , 145 , 88 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Pastaza , Total , 465 , 266 , 199 , 14 , 6 , 8 , 451 , 260 , 191 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano , 317 , 183 , 134 , 12 , 4 , 8 , 305 , 179 , 126 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural , 148 , 83 , 65 , 2 , 2 , - , 146 , 81 , 65 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Zamora Chinchipe , Total , 522 , 320 , 202 , 11 , 5 , 6 , 511 , 315 , 196 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano , 344 , 205 , 139 , 8 , 2 , 6 , 336 , 203 , 133 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural , 178 , 115 , 63 , 3 , 3 , - , 175 , 112 , 63 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Sucumbíos , Total , 980 , 627 , 353 , 50 , 29 , 21 , 929 , 597 , 332 , 1 , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano , 687 , 441 , 246 , 36 , 20 , 16 , 651 , 421 , 230 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural , 293 , 186 , 107 , 14 , 9 , 5 , 278 , 176 , 102 , 1 , 1 , - ,,,,,,,,,,,,,,,,,,,,,,,
 Orellana , Total , 689 , 422 , 267 , 34 , 17 , 17 , 655 , 405 , 250 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano , 375 , 218 , 157 , 18 , 10 , 8 , 357 , 208 , 149 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural , 314 , 204 , 110 , 16 , 7 , 9 , 298 , 197 , 101 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Región Insular ,, 82 , 59 , 23 , 3 , 1 , 2 , 79 , 58 , 21 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Galapagos , Total , 82 , 59 , 23 , 3 , 1 , 2 , 79 , 58 , 21 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano , 67 , 48 , 19 , 3 , 1 , 2 , 64 , 47 , 17 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Rural , 15 , 11 , 4 , - , - , - , 15 , 11 , 4 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
 Exterior , Total , 29 , 19 , 10 , - , - , - , 29 , 19 , 10 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
, Urbano , 29 , 19 , 10 , - , - , - , 29 , 19 , 10 , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,
"1/ Defunciones registradas (t): corresponden a las defunciones ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre de 2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Registro Estadístico de Defunciones Generales 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
