"Cuadro No. 3.1.20 
Defunciones por provincia y cantón de residencia del fallecido, por grupos de edad 
Año 2021 (p**)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provincia de residencia habitual del fallecido,Cantón de residencia habitual del fallecido,Sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE
,,Hombre,,,,,,,,,,,,,,,,,,,,,,,,Mujer,,,,,,,,,,,,,,,,,,,,,,,,,
,, 5 a 9 años,10 a 14 años,15 a 19 años,20 a 24 años,25 a 29 años,30 a 34 años,35 a 39 años,40 a 44 años,45 a 49 años,50 a 54 años,55 a 59 años,60 a 64 años,65 a 69 años,70 a 74 años,75 a 79 años,80 a 84 años,85 a 89 años,90 a 94 años,95 a 99 años,100 a 104 años,105 a 109 años,110 a 114 años,115 y más años,Sin información, 5 a 9 años,10 a 14 años,15 a 19 años,20 a 24 años,25 a 29 años,30 a 34 años,35 a 39 años,40 a 44 años,45 a 49 años,50 a 54 años,55 a 59 años,60 a 64 años,65 a 69 años,70 a 74 años,75 a 79 años,80 a 84 años,85 a 89 años,90 a 94 años,95 a 99 años,100 a 104 años,105 a 109 años,110 a 114 años,115 y más años,Sin información,,
Azuay,Cuenca, 6 , 13 , 24 , 30 , 59 , 45 , 65 , 66 , 82 , 104 , 115 , 137 , 173 , 165 , 175 , 194 , 177 , 137 , 51 , 16 ,  ,  ,  ,  , 4 , 13 , 11 , 14 , 14 , 20 , 23 , 31 , 36 , 59 , 78 , 108 , 122 , 149 , 162 , 171 , 224 , 172 , 119 , 32 , 4 ,  ,  ,  ,,
,Girón,  ,  ,  ,  ,  , 1 ,  , 2 , 2 , 2 , 4 , 4 , 3 , 5 , 4 , 18 , 13 , 4 , 2 , 1 ,  ,  ,  ,  ,  ,  ,  ,  , 1 ,  ,  , 1 , 1 , 2 ,  , 5 , 7 , 4 , 8 , 18 , 8 , 6 , 7 , 1 ,  ,  ,  ,  ,,
,Gualaceo, 2 ,  , 2 , 1 , 5 , 4 , 2 , 5 , 7 , 3 , 9 , 15 , 18 , 19 , 13 , 19 , 16 , 15 , 3 ,  ,  ,  ,  ,  ,  ,  , 1 , 1 ,  , 1 , 3 ,  , 2 , 5 , 8 , 10 , 8 , 9 , 14 , 18 , 24 , 23 , 15 , 5 ,  ,  ,  ,  ,,
,Nabón, 1 , 1 , 2 , 2 , 2 , 3 ,  , 1 , 2 , 3 , 2 , 4 , 3 , 3 , 11 , 7 , 10 , 5 , 2 ,  ,  ,  ,  ,  , 1 ,  , 1 , 1 , 1 ,  , 2 , 1 ,  ,  , 3 , 5 , 1 , 10 , 7 , 11 , 8 , 5 , 3 , 1 ,  ,  ,  ,  ,,
,Paute,  ,  ,  , 1 , 1 , 1 , 5 , 1 , 1 , 3 , 4 , 8 , 6 , 10 , 9 , 10 , 22 , 7 , 5 , 2 , 1 ,  ,  ,  , 1 ,  ,  ,  ,  , 1 , 1 , 1 , 4 , 5 , 4 , 4 , 4 , 4 , 7 , 12 , 18 , 12 , 7 , 1 ,  ,  ,  ,  ,,
,Pucará,  ,  ,  , 1 , 2 , 1 , 1 ,  , 3 , 3 , 1 , 2 , 2 , 4 , 6 , 8 , 5 , 3 , 4 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1 ,  , 1 ,  , 1 , 1 , 3 , 2 , 5 , 4 , 3 , 4 , 1 ,  ,  ,  ,  ,  ,,
,San Fernando,  ,  ,  , 1 ,  , 1 , 1 ,  ,  , 1 , 2 ,  ,  , 1 , 3 , 2 , 2 , 4 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 2 , 1 ,  ,  ,  , 2 , 3 , 3 , 3 , 1 ,  ,  ,  ,  ,  ,,
,Santa Isabel, 1 , 1 ,  , 2 , 3 , 5 , 2 , 2 , 6 , 8 , 3 , 5 , 9 , 6 , 4 , 8 , 9 , 12 , 3 , 1 ,  ,  ,  ,  ,  ,  , 1 ,  , 1 ,  , 2 , 1 , 1 , 1 , 2 , 4 , 8 , 8 , 5 , 7 , 4 , 7 , 9 , 2 , 1 ,  ,  ,  ,,
,Sigsig, 1 , 4 , 2 , 3 , 1 , 1 , 2 , 3 , 6 , 7 , 4 , 7 , 15 , 6 , 13 , 10 , 10 , 11 , 7 ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1 , 1 , 1 , 1 , 1 , 3 , 4 , 6 , 4 , 11 , 11 , 16 , 23 , 17 , 10 , 2 ,  ,  ,  ,  ,,
,Oña,  ,  , 1 ,  ,  ,  ,  ,  , 1 ,  , 1 , 2 ,  , 3 , 3 , 5 , 4 , 3 , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1 ,  ,  , 4 , 3 , 2 , 4 , 3 , 1 , 1 ,  ,  ,  ,  ,,
,Chordeleg,  ,  , 1 , 3 ,  , 1 , 2 , 1 , 1 , 2 , 6 , 7 , 3 , 3 , 6 , 2 , 5 , 6 , 3 , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1 ,  ,  , 2 ,  , 3 , 2 ,  , 4 , 4 , 5 , 4 , 8 , 2 ,  ,  ,  ,  ,  ,,
,El Pan,  ,  ,  ,  ,  ,  ,  ,  , 1 , 1 , 1 , 3 ,  , 1 , 2 , 3 , 4 , 1 , 2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 3 ,  , 3 , 1 , 1 ,  ,  ,  ,  ,  ,  ,,
,Sevilla De Oro,  ,  ,  , 1 ,  ,  , 2 ,  ,  , 1 ,  , 1 , 1 , 1 , 2 , 2 , 3 , 4 , 2 ,  ,  ,  ,  ,  ,  ,  , 1 ,  ,  ,  ,  ,  ,  ,  , 1 ,  , 1 , 3 ,  , 2 , 3 , 3 , 2 ,  ,  ,  ,  ,  ,,
,Guachapala,  ,  ,  ,  , 1 ,  ,  ,  , 1 ,  ,  ,  ,  ,  ,  , 2 , 1 ,  , 2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1 ,  ,  , 1 , 2 , 4 , 4 , 2 ,  , 1 ,  ,  ,  ,  ,,
,Camilo Ponce Enríquez,  , 1 , 5 , 2 , 6 , 5 , 3 , 4 , 1 , 1 , 2 , 4 , 5 , 5 , 5 , 4 , 4 , 3 , 3 , 1 ,  ,  ,  ,  ,  , 2 , 1 , 2 , 1 ,  , 1 , 4 , 3 , 1 , 3 , 5 ,  , 4 , 2 , 4 , 6 , 1 , 1 ,  ,  ,  ,  ,  ,,
Bolívar,Guaranda, 6 , 6 , 6 , 9 , 5 , 4 , 7 , 8 , 9 , 11 , 11 , 28 , 26 , 36 , 33 , 47 , 42 , 31 , 12 , 1 ,  ,  ,  ,  , 3 , 2 , 5 , 4 ,  , 3 , 7 , 1 , 9 , 6 , 9 , 16 , 17 , 28 , 30 , 35 , 32 , 28 , 16 , 4 , 1 ,  ,  ,  ,,
,Chillanes,  ,  , 1 , 1 , 4 , 1 , 2 , 2 , 2 , 2 , 5 , 4 , 3 , 8 , 6 , 12 , 10 , 6 , 7 , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1 , 2 , 1 ,  , 1 , 5 , 2 , 6 , 14 , 8 , 14 , 7 , 3 , 2 ,  ,  ,  ,  ,,
,Chimbo, 1 , 1 , 2 , 2 ,  ,  , 2 , 4 ,  , 2 , 1 , 7 , 7 , 5 , 11 , 8 , 11 , 7 , 3 , 1 , 1 ,  ,  ,  ,  ,  , 1 , 2 ,  ,  , 1 , 1 , 2 , 2 , 2 , 4 , 4 , 6 , 7 , 13 , 11 , 4 , 1 , 2 ,  ,  ,  ,  ,,
,Echeandia,  ,  ,  , 3 , 3 ,  , 3 ,  , 2 , 4 , 3 ,  , 6 , 4 , 6 , 7 , 6 , 4 , 1 , 3 ,  ,  ,  ,  , 1 , 1 ,  ,  ,  ,  ,  ,  , 1 , 4 , 2 , 2 , 2 , 2 , 5 , 10 , 10 , 7 , 2 , 1 ,  ,  ,  ,  ,,
,San Miguel,  ,  , 2 , 2 , 1 ,  , 5 , 3 , 1 , 6 , 2 , 9 , 10 , 7 , 14 , 15 , 23 , 17 , 5 , 1 ,  ,  ,  ,  ,  ,  , 2 , 3 ,  , 1 , 1 , 1 , 1 , 3 , 2 , 4 , 9 , 6 , 9 , 15 , 28 , 18 , 9 , 2 ,  ,  ,  ,  ,,
,Caluma,  ,  , 1 , 1 , 3 , 2 , 2 , 2 , 4 , 1 , 2 , 4 , 5 , 6 , 4 , 6 , 9 , 6 , 2 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 2 , 1 ,  ,  , 1 , 2 , 3 , 5 , 3 , 8 , 6 , 7 , 7 ,  ,  ,  ,  ,  ,  ,,
,Las Naves,  ,  , 1 , 2 , 1 ,  , 2 , 1 , 2 ,  , 1 , 2 ,  , 3 , 3 , 1 , 6 , 1 , 3 , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1 ,  ,  ,  ,  ,  , 4 ,  , 1 , 1 , 1 ,  ,  ,  ,  ,  ,  ,,
Cañar,Azoques,  , 1 , 2 , 10 , 7 , 3 , 7 , 6 , 6 , 5 , 16 , 15 , 34 , 23 , 36 , 43 , 22 , 30 , 15 , 1 ,  ,  ,  ,  ,  , 2 , 2 , 1 , 3 , 2 , 3 , 4 , 4 , 11 , 9 , 10 , 23 , 21 , 28 , 41 , 48 , 53 , 17 , 2 , 1 ,  ,  ,  ,,
,Biblian,  , 1 ,  , 1 , 4 , 2 ,  , 1 , 3 , 5 , 5 , 8 , 2 , 8 , 11 , 7 , 12 , 9 , 6 , 3 ,  ,  ,  ,  , 1 , 1 ,  ,  ,  , 1 , 1 , 2 , 1 , 1 , 1 , 5 , 6 , 7 , 8 , 3 , 6 , 14 , 9 , 2 ,  ,  ,  ,  ,,
,Cañar,  ,  , 3 , 2 , 6 , 3 , 6 , 1 , 3 , 6 , 10 , 14 , 21 , 15 , 22 , 23 , 21 , 12 , 7 , 2 ,  ,  ,  ,  , 1 ,  , 1 , 3 , 2 , 2 , 1 , 2 , 2 , 7 , 3 , 7 , 7 , 12 , 27 , 22 , 27 , 11 , 5 , 4 ,  ,  ,  ,  ,,
,La Troncal, 1 , 2 , 3 , 5 , 15 , 13 , 14 , 10 , 11 , 15 , 13 , 22 , 15 , 25 , 26 , 23 , 22 , 11 , 2 , 3 ,  ,  ,  ,  , 3 ,  ,  , 4 , 1 , 5 , 5 , 11 , 4 , 7 , 13 , 15 , 17 , 17 , 16 , 22 , 14 , 5 , 1 ,  , 1 ,  ,  ,  ,,
,El Tambo,  ,  ,  , 2 ,  ,  , 1 ,  , 2 , 2 ,  , 4 , 2 , 6 , 4 , 2 , 6 , 1 , 4 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1 ,  , 1 , 1 ,  , 3 , 1 , 1 , 5 , 2 , 5 ,  , 2 ,  ,  ,  ,  ,,
,Deleg,  ,  ,  , 1 ,  ,  ,  ,  , 1 , 1 , 2 ,  , 2 , 2 , 2 , 6 , 5 , 2 , 2 ,  , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1 , 1 , 3 , 1 ,  , 3 , 4 , 6 , 7 , 7 , 2 , 1 ,  ,  ,  ,  ,,
,Suscal, 1 ,  ,  ,  ,  ,  ,  ,  , 1 , 1 ,  , 2 , 2 , 2 ,  , 1 , 1 , 2 , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1 ,  ,  , 2 , 2 , 1 , 3 ,  , 1 , 2 , 1 ,  , 2 ,  ,  ,  ,  ,,
Carchi,Tulcán, 1 , 2 , 5 , 4 , 9 , 4 , 13 , 9 , 8 , 28 , 16 , 22 , 32 , 29 , 40 , 40 , 37 , 26 , 10 , 1 ,  ,  ,  ,  , 1 , 2 , 4 , 2 ,  , 3 , 3 , 3 , 14 , 17 , 8 , 23 , 22 , 22 , 25 , 26 , 32 , 23 , 12 , 2 ,  ,  ,  ,  ,,
,Bolívar, 1 ,  ,  , 1 , 2 , 1 , 3 ,  ,  , 2 , 2 ,  , 2 , 4 , 13 , 12 , 5 , 6 , 2 , 1 ,  ,  ,  ,  , 1 ,  ,  , 1 , 1 ,  , 1 ,  ,  , 1 , 2 , 2 , 1 , 6 , 6 , 5 , 12 , 8 , 4 , 1 ,  ,  ,  ,  ,,
,Espejo,  ,  , 1 , 2 , 4 , 1 , 1 , 2 ,  , 3 , 5 , 2 , 2 , 6 , 5 , 10 , 6 , 5 , 6 ,  ,  ,  ,  ,  ,  ,  ,  ,  , 1 , 1 , 2 , 4 , 2 , 1 , 1 , 3 , 4 , 3 , 8 , 5 , 6 , 11 , 3 ,  ,  ,  ,  ,  ,,
,Mira, 1 ,  ,  , 2 , 1 , 1 ,  , 2 , 2 , 2 , 2 , 3 , 7 , 5 , 3 , 8 , 5 , 4 , 1 ,  ,  ,  ,  ,  ,  ,  ,  , 1 ,  ,  , 2 ,  ,  , 2 , 1 , 2 , 1 , 5 , 8 , 9 , 12 , 6 , 1 ,  ,  ,  ,  ,  ,,
,Montúfar, 1 ,  , 1 , 1 , 3 , 4 , 1 , 2 , 3 , 8 , 7 , 5 , 8 , 12 , 15 , 20 , 20 , 11 , 5 ,  ,  ,  ,  ,  ,  ,  , 2 , 3 , 1 , 1 , 2 , 3 , 1 , 4 , 4 , 7 , 4 , 8 , 16 , 20 , 8 , 16 , 4 ,  ,  ,  ,  ,  ,,
,San Pedro De Huaca,  ,  , 1 , 1 ,  , 1 ,  ,  ,  , 1 ,  ,  , 3 , 1 , 2 , 9 , 5 , 8 , 1 ,  ,  ,  ,  ,  , 1 ,  ,  ,  ,  ,  , 1 ,  , 2 ,  , 2 , 1 , 4 , 1 , 2 , 3 , 3 , 3 , 1 ,  ,  ,  ,  ,  ,,
Cotopaxi,Latacunga, 3 , 3 , 12 , 24 , 23 , 26 , 33 , 35 , 33 , 38 , 41 , 48 , 55 , 56 , 81 , 74 , 77 , 61 , 22 , 2 , 1 ,  ,  ,  , 4 , 2 , 3 , 3 , 6 , 6 , 7 , 10 , 12 , 26 , 20 , 41 , 46 , 41 , 68 , 65 , 89 , 98 , 37 , 3 , 1 ,  ,  ,  ,,
,La Maná,  , 1 , 2 , 2 , 4 , 1 , 4 , 11 , 10 , 7 , 17 , 12 , 18 , 24 , 15 , 17 , 12 , 8 , 3 , 1 ,  ,  ,  ,  ,  ,  , 4 , 1 , 2 , 3 , 5 , 4 , 6 , 7 , 8 , 8 , 10 , 14 , 15 , 9 , 7 , 6 , 3 , 2 , 1 ,  ,  ,  ,,
,Pangua,  ,  , 2 , 5 , 1 , 1 , 1 , 3 , 2 , 1 ,  , 5 , 5 , 13 , 11 , 9 , 10 , 6 , 2 , 1 ,  ,  ,  ,  ,  ,  , 2 ,  ,  , 1 ,  , 1 , 1 ,  , 1 , 1 , 6 , 6 , 9 , 5 , 10 , 10 , 2 , 1 ,  ,  ,  ,  ,,
