,,,,,,,,,,,,,,,
"Cuadro No. 3.1.3
 Defunciones infantiles en el año (t), mayores de un año por sexo, según región y provincia  de residencia habitual de la persona fallecida
Año 2021 (p**)",,,,,,,,,,,,,,,
 Regiones y provincias , Total general ,  ,  , Menores de un año ,  ,  , De un año y más ,  ,  , Sin información ,,,INDICE,,
  , Total , Hombres , Mujeres , Total , Hombres , Mujeres , Total , Hombres , Mujeres , Total , Hombres , Mujeres ,,,
 Total Nacional (t)1/ ," 105,248 "," 60,008 "," 45,240 "," 2,655 "," 1,458 "," 1,197 "," 102,585 "," 58,544 "," 44,041 ", 8 , 6 , 2 ,,,
 Región Sierra ," 47,661 "," 26,597 "," 21,064 "," 1,109 ", 619 , 490 ," 46,550 "," 25,977 "," 20,573 ", 2 , 1 , 1 ,,,
 Azuay ," 5,076 "," 2,750 "," 2,326 ", 97 , 61 , 36 ," 4,979 "," 2,689 "," 2,290 ", - , - , - ,,,
 Bolívar ," 1,410 ", 788 , 622 , 37 , 19 , 18 ," 1,373 ", 769 , 604 , - , - , - ,,,
 Cañar ," 1,632 ", 883 , 749 , 14 , 5 , 9 ," 1,618 ", 878 , 740 , - , - , - ,,,
 Carchi ," 1,226 ", 681 , 545 , 22 , 11 , 11 ," 1,204 ", 670 , 534 , - , - , - ,,,
 Cotopaxi ," 3,010 "," 1,673 "," 1,337 ", 96 , 55 , 41 ," 2,914 "," 1,618 "," 1,296 ", - , - , - ,,,
 Chimborazo ," 3,406 "," 1,866 "," 1,540 ", 72 , 37 , 35 ," 3,334 "," 1,829 "," 1,505 ", - , - , - ,,,
 Imbabura ," 2,942 "," 1,630 "," 1,312 ", 66 , 31 , 35 ," 2,876 "," 1,599 "," 1,277 ", - , - , - ,,,
 Loja ," 3,529 "," 1,978 "," 1,551 ", 64 , 37 , 27 ," 3,465 "," 1,941 "," 1,524 ", - , - , - ,,,
 Pichincha ," 18,464 "," 10,350 "," 8,114 ", 514 , 292 , 222 ," 17,949 "," 10,058 "," 7,891 ", 1 , - , 1 ,,,
 Tungurahua ," 4,118 "," 2,300 "," 1,818 ", 54 , 26 , 28 ," 4,063 "," 2,273 "," 1,790 ", 1 , 1 , - ,,,
 Santo Domingo de los Tsáchilas ," 2,848 "," 1,698 "," 1,150 ", 73 , 45 , 28 ," 2,775 "," 1,653 "," 1,122 ", - , - , - ,,,
 Región Costa ," 53,512 "," 30,931 "," 22,581 "," 1,344 ", 735 , 609 ," 52,163 "," 30,192 "," 21,971 ", 5 , 4 , 1 ,,,
 El Oro ," 4,996 "," 2,984 "," 2,012 ", 141 , 88 , 53 ," 4,855 "," 2,896 "," 1,959 ", - , - , - ,,,
 Esmeraldas ," 2,763 "," 1,631 "," 1,132 ", 52 , 21 , 31 ," 2,711 "," 1,610 "," 1,101 ", - , - , - ,,,
 Guayas ," 28,222 "," 16,158 "," 12,064 ", 753 , 410 , 343 ," 27,469 "," 15,748 "," 11,721 ", - , - , - ,,,
 Los Ríos ," 5,777 "," 3,416 "," 2,361 ", 133 , 79 , 54 ," 5,642 "," 3,335 "," 2,307 ", 2 , 2 , - ,,,
 Manabí ," 9,782 "," 5,592 "," 4,190 ", 206 , 105 , 101 ," 9,574 "," 5,486 "," 4,088 ", 2 , 1 , 1 ,,,
 Santa Elena ," 1,972 "," 1,150 ", 822 , 59 , 32 , 27 ," 1,912 "," 1,117 ", 795 , 1 , 1 , - ,,,
 Región Amazónica ," 3,964 "," 2,402 "," 1,562 ", 199 , 103 , 96 ," 3,764 "," 2,298 "," 1,466 ", 1 , 1 , - ,,,
 Morona Santiago , 726 , 406 , 320 , 62 , 32 , 30 , 664 , 374 , 290 , - , - , - ,,,
 Napo , 582 , 361 , 221 , 28 , 14 , 14 , 554 , 347 , 207 , - , - , - ,,,
 Pastaza , 465 , 266 , 199 , 14 , 6 , 8 , 451 , 260 , 191 , - , - , - ,,,
 Zamora Chinchipe , 522 , 320 , 202 , 11 , 5 , 6 , 511 , 315 , 196 , - , - , - ,,,
 Sucumbíos , 980 , 627 , 353 , 50 , 29 , 21 , 929 , 597 , 332 , 1 , 1 , - ,,,
 Orellana , 689 , 422 , 267 , 34 , 17 , 17 , 655 , 405 , 250 , - , - , - ,,,
 Región Insular , 82 , 59 , 23 , 3 , 1 , 2 , 79 , 58 , 21 , - , - , - ,,,
 Galápagos , 82 , 59 , 23 , 3 , 1 , 2 , 79 , 58 , 21 , - , - , - ,,,
 Exterior , 29 , 19 , 10 , - , - , - , 29 , 19 , 10 , - , - , - ,,,
"1/ Defunciones registradas (t): corresponden a las defunciones ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre de 2021.",,,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones ocurridas en el 2021, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,,,
Fuente: Registro Estadístico de Defunciones Generales 2021,,,,,,,,,,,,,,,
