,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuadro No. 3.1.4 
Defunciones en el año (t) de  personas de doce años y más de edad, por estado civil y sexo, según grupos de edad
Año 2021 (p**)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grupos de Edad,Total,,,Estado civil y/o conyugal,,,,,,,,,,,,,,,,,,,,,,,,INDICE
,,,,Soltero (a),,,Casad o (a),,,Divorciado (a),,,Viudo (a),,,Unión de hecho,,,Unión Libre,,,Separado (a),,,Sin información,,,
,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,
Total," 101,423 "," 57,887 "," 43,536 "," 35,003 "," 19,759 "," 15,244 "," 39,745 "," 26,309 "," 13,436 "," 5,960 "," 3,555 "," 2,405 "," 16,857 "," 5,748 "," 11,109 ", 400 , 314 , 86 , 691 , 460 , 231 , 82 , 66 , 16 ," 2,685 "," 1,676 "," 1,009 ",
12 a 14 años, 361 , 201 , 160 , 346 , 191 , 155 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 15 , 10 , 5 ,
15 a 19 años," 1,122 ", 782 , 340 ," 1,079 ", 753 , 326 , 4 , - , 4 , - , - , - , - , - , - , 2 , 1 , 1 , 6 , 3 , 3 , - , - , - , 31 , 25 , 6 ,
20 a 24 años," 2,051 "," 1,600 ", 451 ," 1,844 "," 1,452 ", 392 , 60 , 35 , 25 , 5 , 2 , 3 , 4 , 1 , 3 , 5 , 4 , 1 , 36 , 25 , 11 , 1 , - , 1 , 96 , 81 , 15 ,
25 a 29 años," 2,292 "," 1,795 ", 497 ," 1,824 "," 1,450 ", 374 , 239 , 160 , 79 , 21 , 11 , 10 , 4 , 3 , 1 , 8 , 6 , 2 , 72 , 55 , 17 , 1 , 1 , - , 123 , 109 , 14 ,
30 a 34 años," 2,441 "," 1,814 ", 627 ," 1,696 "," 1,307 ", 389 , 451 , 286 , 165 , 74 , 42 , 32 , 8 , 2 , 6 , 19 , 15 , 4 , 65 , 49 , 16 , 2 , 1 , 1 , 126 , 112 , 14 ,
35 a 39 años," 2,609 "," 1,833 ", 776 ," 1,531 "," 1,094 ", 437 , 763 , 515 , 248 , 117 , 75 , 42 , 16 , 3 , 13 , 25 , 23 , 2 , 55 , 43 , 12 , 1 , 1 , - , 101 , 79 , 22 ,
40 a 44 años," 3,045 "," 2,006 "," 1,039 "," 1,521 "," 1,001 ", 520 ," 1,104 ", 720 , 384 , 220 , 161 , 59 , 34 , 12 , 22 , 25 , 11 , 14 , 45 , 22 , 23 , 6 , 6 , - , 90 , 73 , 17 ,
