,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuadro No. 3.1.5 
Defunciones en el año (t) por sexo y grupos de edad, según región, provincia y áreas de residencia habitual de la persona fallecida
Año 2021 (p**)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Regiones, provincias
 y áreas",,Total,,, Menores de 1 año,,, 1 a 4 años,,, 5 a 14 años,,,15 a 49 años,,,50 a 64 años,,,65 y más años,,,Sin información,,,INDICE,,,,,
,,Total,Sexo,,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,Total,Hombre,Mujer,,,,,,
,,,Hombre,Mujer,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total Nacional (t)1/ ,," 105,248 "," 60,008 "," 45,240 "," 2,655 "," 1,458 "," 1,197 ", 596 , 331 , 265 , 403 , 240 , 163 , 532 , 293 , 239 ," 1,122 ", 782 , 340 ," 99,933 "," 56,899 "," 43,034 ", 6 , 5 , 1 ,,,,,,
 Región Sierra ,," 47,661 "," 26,597 "," 21,064 "," 1,109 ", 619 , 490 , 274 , 153 , 121 , 180 , 110 , 70 , 238 , 130 , 108 , 437 , 290 , 147 ," 45,421 "," 25,294 "," 20,127 ", - , - , - ,,,,,,
 Azuay , Total ," 5,076 "," 2,750 "," 2,326 ", 97 , 61 , 36 , 27 , 17 , 10 , 17 , 11 , 6 , 35 , 20 , 15 , 53 , 37 , 16 ," 4,847 "," 2,604 "," 2,243 ", - , - , - ,,,,,,
, Urbano ," 3,020 "," 1,633 "," 1,387 ", 70 , 43 , 27 , 13 , 11 , 2 , 8 , 5 , 3 , 19 , 10 , 9 , 25 , 16 , 9 ," 2,885 "," 1,548 "," 1,337 ", - , - , - ,,,,,,
, Rural ," 2,056 "," 1,117 ", 939 , 27 , 18 , 9 , 14 , 6 , 8 , 9 , 6 , 3 , 16 , 10 , 6 , 28 , 21 , 7 ," 1,962 "," 1,056 ", 906 , - , - , - ,,,,,,
 Bolívar , Total ," 1,410 ", 788 , 622 , 37 , 19 , 18 , 12 , 10 , 2 , 11 , 7 , 4 , 10 , 7 , 3 , 21 , 13 , 8 ," 1,319 ", 732 , 587 , - , - , - ,,,,,,
, Urbano , 959 , 538 , 421 , 21 , 11 , 10 , 6 , 6 , - , 4 , 3 , 1 , 8 , 6 , 2 , 14 , 10 , 4 , 906 , 502 , 404 , - , - , - ,,,,,,
, Rural , 451 , 250 , 201 , 16 , 8 , 8 , 6 , 4 , 2 , 7 , 4 , 3 , 2 , 1 , 1 , 7 , 3 , 4 , 413 , 230 , 183 , - , - , - ,,,,,,
 Cañar , Total ," 1,632 ", 883 , 749 , 14 , 5 , 9 , 9 , 3 , 6 , 7 , 2 , 5 , 7 , 4 , 3 , 11 , 8 , 3 ," 1,584 ", 861 , 723 , - , - , - ,,,,,,
, Urbano ," 1,033 ", 575 , 458 , 9 , 4 , 5 , 6 , 2 , 4 , 5 , 1 , 4 , 6 , 3 , 3 , 4 , 3 , 1 ," 1,003 ", 562 , 441 , - , - , - ,,,,,,
, Rural , 599 , 308 , 291 , 5 , 1 , 4 , 3 , 1 , 2 , 2 , 1 , 1 , 1 , 1 , - , 7 , 5 , 2 , 581 , 299 , 282 , - , - , - ,,,,,,
 Carchi , Total ," 1,226 ", 681 , 545 , 22 , 11 , 11 , 12 , 7 , 5 , 7 , 4 , 3 , 4 , 2 , 2 , 14 , 8 , 6 ," 1,167 ", 649 , 518 , - , - , - ,,,,,,
, Urbano , 869 , 496 , 373 , 16 , 10 , 6 , 9 , 6 , 3 , 3 , 2 , 1 , 2 , 1 , 1 , 12 , 6 , 6 , 827 , 471 , 356 , - , - , - ,,,,,,
, Rural , 357 , 185 , 172 , 6 , 1 , 5 , 3 , 1 , 2 , 4 , 2 , 2 , 2 , 1 , 1 , 2 , 2 , - , 340 , 178 , 162 , - , - , - ,,,,,,
 Cotopaxi , Total ," 3,010 "," 1,673 "," 1,337 ", 96 , 55 , 41 , 38 , 17 , 21 , 14 , 8 , 6 , 15 , 10 , 5 , 40 , 26 , 14 ," 2,807 "," 1,557 "," 1,250 ", - , - , - ,,,,,,
, Urbano ," 1,847 "," 1,025 ", 822 , 68 , 39 , 29 , 17 , 9 , 8 , 7 , 4 , 3 , 6 , 4 , 2 , 19 , 13 , 6 ," 1,730 ", 956 , 774 , - , - , - ,,,,,,
, Rural ," 1,163 ", 648 , 515 , 28 , 16 , 12 , 21 , 8 , 13 , 7 , 4 , 3 , 9 , 6 , 3 , 21 , 13 , 8 ," 1,077 ", 601 , 476 , - , - , - ,,,,,,
 Chimborazo , Total ," 3,406 "," 1,866 "," 1,540 ", 72 , 37 , 35 , 21 , 11 , 10 , 12 , 8 , 4 , 18 , 10 , 8 , 32 , 18 , 14 ," 3,251 "," 1,782 "," 1,469 ", - , - , - ,,,,,,
, Urbano ," 2,196 "," 1,217 ", 979 , 52 , 31 , 21 , 13 , 6 , 7 , 8 , 5 , 3 , 8 , 7 , 1 , 18 , 12 , 6 ," 2,097 "," 1,156 ", 941 , - , - , - ,,,,,,
, Rural ," 1,210 ", 649 , 561 , 20 , 6 , 14 , 8 , 5 , 3 , 4 , 3 , 1 , 10 , 3 , 7 , 14 , 6 , 8 ," 1,154 ", 626 , 528 , - , - , - ,,,,,,
 Imbabura , Total ," 2,942 "," 1,630 "," 1,312 ", 66 , 31 , 35 , 17 , 11 , 6 , 18 , 12 , 6 , 12 , 6 , 6 , 32 , 22 , 10 ," 2,797 "," 1,548 "," 1,249 ", - , - , - ,,,,,,
, Urbano ," 1,976 "," 1,111 ", 865 , 57 , 28 , 29 , 8 , 6 , 2 , 11 , 6 , 5 , 6 , 3 , 3 , 20 , 14 , 6 ," 1,874 "," 1,054 ", 820 , - , - , - ,,,,,,
, Rural , 966 , 519 , 447 , 9 , 3 , 6 , 9 , 5 , 4 , 7 , 6 , 1 , 6 , 3 , 3 , 12 , 8 , 4 , 923 , 494 , 429 , - , - , - ,,,,,,
 Loja , Total ," 3,529 "," 1,978 "," 1,551 ", 64 , 37 , 27 , 16 , 9 , 7 , 12 , 8 , 4 , 9 , 6 , 3 , 31 , 23 , 8 ," 3,397 "," 1,895 "," 1,502 ", - , - , - ,,,,,,
, Urbano ," 2,366 "," 1,333 "," 1,033 ", 47 , 30 , 17 , 12 , 6 , 6 , 8 , 5 , 3 , 9 , 6 , 3 , 15 , 9 , 6 ," 2,275 "," 1,277 ", 998 , 1 , - , 1 ,,,,,,
, Rural ," 1,163 ", 645 , 518 , 17 , 7 , 10 , 4 , 3 , 1 , 4 , 3 , 1 , - , - , - , 16 , 14 , 2 ," 1,122 ", 618 , 504 , 1 , - , 1 ,,,,,,
 Pichincha , Total ," 18,464 "," 10,350 "," 8,114 ", 514 , 292 , 222 , 88 , 47 , 41 , 51 , 31 , 20 , 90 , 47 , 43 , 140 , 98 , 42 ," 17,580 "," 9,835 "," 7,745 ", - , - , - ,,,,,,
, Urbano ," 13,394 "," 7,508 "," 5,886 ", 443 , 252 , 191 , 65 , 38 , 27 , 36 , 22 , 14 , 60 , 31 , 29 , 93 , 74 , 19 ," 12,696 "," 7,091 "," 5,605 ", 1 , 1 , - ,,,,,,
, Rural ," 5,070 "," 2,842 "," 2,228 ", 71 , 40 , 31 , 23 , 9 , 14 , 15 , 9 , 6 , 30 , 16 , 14 , 47 , 24 , 23 ," 4,884 "," 2,744 "," 2,140 ", 1 , 1 , - ,,,,,,
