,,,,,,,,,,,,,,,,,
"Cuadro No. 3.1.7 
Defunciones en el año (t) de menores de un año, por meses de edad, según región, provincia  y sexo de residencia habitual de la madre
Año 2021 (p**)",,,,,,,,,,,,,,,,,
"Regiones, provincias y sexo",,,Total,Meses de edad,,,,,,,,,,,,INDICE,
,,,, Menores de 1 mes,1 mes,2 meses,3 meses,4 meses,5 meses,6 meses,7 meses,8 meses,9 meses,10 meses,11 meses,,
Total nacional,,," 2,655 "," 1,738 ", 322 , 124 , 102 , 80 , 66 , 54 , 41 , 31 , 35 , 26 , 36 ,,
Hombre,,," 1,458 ", 974 , 170 , 66 , 54 , 46 , 35 , 31 , 20 , 20 , 15 , 13 , 14 ,,
Mujer,,," 1,197 ", 764 , 152 , 58 , 48 , 34 , 31 , 23 , 21 , 11 , 20 , 13 , 22 ,,
Región Sierra,,Total," 1,109 ", 728 , 142 , 47 , 44 , 31 , 28 , 27 , 14 , 13 , 14 , 5 , 16 ,,
,,Hombre, 619 , 409 , 81 , 28 , 23 , 21 , 14 , 15 , 9 , 8 , 5 , 2 , 4 ,,
,,Mujer, 490 , 319 , 61 , 19 , 21 , 10 , 14 , 12 , 5 , 5 , 9 , 3 , 12 ,,
Región Sierra,Azuay,Total, 97 , 67 , 10 ,  , 2 , 4 , 3 , 2 , 1 , 3 , 1 , 1 , 3 ,,
,,Hombre, 61 , 45 , 7 ,  , 2 , 2 , 1 , 2 , 1 , 1 ,  ,  ,  ,,
,,Mujer, 36 , 22 , 3 ,  ,  , 2 , 2 ,  ,  , 2 , 1 , 1 , 3 ,,
,Bolívar,Total, 37 , 15 , 4 , 5 , 2 ,  , 4 , 3 , 1 ,  , 2 ,  , 1 ,,
,,Hombre, 19 , 8 , 1 , 3 , 1 ,  , 3 , 2 , 1 ,  ,  ,  ,  ,,
,,Mujer, 18 , 7 , 3 , 2 , 1 ,  , 1 , 1 ,  ,  , 2 ,  , 1 ,,
,Cañar,Total, 14 , 10 ,  ,  , 1 , 1 ,  ,  ,  ,  , 2 ,  ,  ,,
,,Hombre, 5 , 2 ,  ,  , 1 , 1 ,  ,  ,  ,  , 1 ,  ,  ,,
,,Mujer, 9 , 8 ,  ,  ,  ,  ,  ,  ,  ,  , 1 ,  ,  ,,
,Carchi,Total, 22 , 15 , 2 , 1 , 3 , 1 ,  ,  ,  ,  ,  ,  ,  ,,
,,Hombre, 11 , 6 , 1 , 1 , 2 , 1 ,  ,  ,  ,  ,  ,  ,  ,,
,,Mujer, 11 , 9 , 1 ,  , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,,
,Cotopaxi,Total, 96 , 66 , 10 , 5 , 5 , 2 , 1 , 2 , 1 , 1 , 2 ,  , 1 ,,
,,Hombre, 55 , 38 , 7 , 2 , 2 ,  , 1 , 1 , 1 , 1 , 2 ,  ,  ,,
,,Mujer, 41 , 28 , 3 , 3 , 3 , 2 ,  , 1 ,  ,  ,  ,  , 1 ,,
,Chimborazo,Total, 72 , 43 , 16 , 2 , 2 , 2 , 3 ,  ,  ,  , 3 ,  , 1 ,,
,,Hombre, 37 , 24 , 7 , 1 , 2 , 2 ,  ,  ,  ,  , 1 ,  ,  ,,
,,Mujer, 35 , 19 , 9 , 1 ,  ,  , 3 ,  ,  ,  , 2 ,  , 1 ,,
,Imbabura,Total, 66 , 48 , 5 , 2 , 3 , 3 , 2 , 2 ,  ,  ,  ,  , 1 ,,
,,Hombre, 31 , 20 , 4 ,  , 1 , 2 , 1 , 2 ,  ,  ,  ,  , 1 ,,
,,Mujer, 35 , 28 , 1 , 2 , 2 , 1 , 1 ,  ,  ,  ,  ,  ,  ,,
,Loja,Total, 64 , 44 , 8 , 1 , 5 , 1 , 2 , 1 ,  , 1 ,  ,  , 1 ,,
,,Hombre, 37 , 26 , 5 ,  , 2 , 1 , 2 , 1 ,  ,  ,  ,  ,  ,,
,,Mujer, 27 , 18 , 3 , 1 , 3 ,  ,  ,  ,  , 1 ,  ,  , 1 ,,
,Pichincha,Total, 514 , 349 , 73 , 26 , 14 , 10 , 6 , 12 , 5 , 5 , 3 , 3 , 8 ,,
,,Hombre, 292 , 198 , 41 , 19 , 7 , 9 , 3 , 4 , 1 , 4 , 1 , 2 , 3 ,,
,,Mujer, 222 , 151 , 32 , 7 , 7 , 1 , 3 , 8 , 4 , 1 , 2 , 1 , 5 ,,
,Tungurahua,Total, 54 , 28 , 5 , 3 , 3 , 2 , 3 , 3 , 4 , 1 , 1 , 1 ,  ,,
,,Hombre, 26 , 16 , 1 , 1 , 1 , 1 , 1 , 2 , 3 ,  ,  ,  ,  ,,
,,Mujer, 28 , 12 , 4 , 2 , 2 , 1 , 2 , 1 , 1 , 1 , 1 , 1 ,  ,,
,Santo Domingo de los Tsáchilas,Total, 73 , 43 , 9 , 2 , 4 , 5 , 4 , 2 , 2 , 2 ,  ,  ,  ,,
,,Hombre, 45 , 26 , 7 , 1 , 2 , 2 , 2 , 1 , 2 , 2 ,  ,  ,  ,,
,,Mujer, 28 , 17 , 2 , 1 , 2 , 3 , 2 , 1 ,  ,  ,  ,  ,  ,,
Región Costa,,Total," 1,344 ", 895 , 166 , 67 , 44 , 42 , 29 , 23 , 19 , 13 , 15 , 14 , 17 ,,
,,Hombre, 735 , 502 , 83 , 32 , 22 , 23 , 16 , 15 , 9 , 9 , 7 , 9 , 8 ,,
,,Mujer, 609 , 393 , 83 , 35 , 22 , 19 , 13 , 8 , 10 , 4 , 8 , 5 , 9 ,,
Región Costa,El Oro,Total, 141 , 99 , 16 , 7 , 3 , 3 , 5 , 4 , 1 , 2 ,  ,  , 1 ,,
,,Hombre, 88 , 58 , 10 , 4 , 2 , 2 , 5 , 4 , 1 , 2 ,  ,  ,  ,,
,,Mujer, 53 , 41 , 6 , 3 , 1 , 1 ,  ,  ,  ,  ,  ,  , 1 ,,
,Esmeraldas,Total, 52 , 34 , 5 , 5 ,  ,  , 1 , 2 , 1 ,  , 2 ,  , 2 ,,
,,Hombre, 21 , 13 , 2 , 2 ,  ,  , 1 , 1 ,  ,  , 1 ,  , 1 ,,
,,Mujer, 31 , 21 , 3 , 3 ,  ,  ,  , 1 , 1 ,  , 1 ,  , 1 ,,
,Guayas,Total, 753 , 521 , 89 , 35 , 26 , 25 , 10 , 11 , 7 , 9 , 5 , 7 , 8 ,,
,,Hombre, 410 , 297 , 43 , 18 , 13 , 14 , 2 , 5 , 2 , 6 , 2 , 4 , 4 ,,
,,Mujer, 343 , 224 , 46 , 17 , 13 , 11 , 8 , 6 , 5 , 3 , 3 , 3 , 4 ,,
,Los Ríos,Total, 133 , 76 , 20 , 10 , 5 , 8 , 4 , 1 , 3 ,  , 2 , 3 , 1 ,,
,,Hombre, 79 , 48 , 9 , 4 , 3 , 4 , 4 , 1 , 2 ,  , 2 , 1 , 1 ,,
,,Mujer, 54 , 28 , 11 , 6 , 2 , 4 ,  ,  , 1 ,  ,  , 2 ,  ,,
,Manabí,Total, 206 , 122 , 30 , 9 , 9 , 6 , 8 , 5 , 4 , 1 , 5 , 4 , 3 ,,
,,Hombre, 105 , 65 , 14 , 3 , 3 , 3 , 3 , 4 , 3 ,  , 2 , 4 , 1 ,,
,,Mujer, 101 , 57 , 16 , 6 , 6 , 3 , 5 , 1 , 1 , 1 , 3 ,  , 2 ,,
,Santa Elena,Total, 59 , 43 , 6 , 1 , 1 ,  , 1 ,  , 3 , 1 , 1 ,  , 2 ,,
,,Hombre, 32 , 21 , 5 , 1 , 1 ,  , 1 ,  , 1 , 1 ,  ,  , 1 ,,
,,Mujer, 27 , 22 , 1 ,  ,  ,  ,  ,  , 2 ,  , 1 ,  , 1 ,,
Región Amazónica,,Total, 199 , 113 , 13 , 10 , 14 , 7 , 9 , 4 , 8 , 5 , 6 , 7 , 3 ,,
,,Hombre, 103 , 62 , 6 , 6 , 9 , 2 , 5 , 1 , 2 , 3 , 3 , 2 , 2 ,,
,,Mujer, 96 , 51 , 7 , 4 , 5 , 5 , 4 , 3 , 6 , 2 , 3 , 5 , 1 ,,
Región Amazónica,Morona Santiago,Total, 62 , 36 , 6 , 2 , 2 , 3 , 4 , 1 , 2 , 2 , 2 ,  , 2 ,,
,,Hombre, 32 , 21 , 3 , 1 , 1 , 1 , 2 ,  ,  , 1 , 1 ,  , 1 ,,
,,Mujer, 30 , 15 , 3 , 1 , 1 , 2 , 2 , 1 , 2 , 1 , 1 ,  , 1 ,,
,Napo,Total, 28 , 9 , 3 , 4 , 3 ,  , 2 , 2 , 1 , 2 , 1 , 1 ,  ,,
,,Hombre, 14 , 5 , 2 , 3 , 2 ,  ,  , 1 ,  , 1 ,  ,  ,  ,,
,,Mujer, 14 , 4 , 1 , 1 , 1 ,  , 2 , 1 , 1 , 1 , 1 , 1 ,  ,,
,Pastaza,Total, 14 , 7 , 1 , 2 ,  ,  ,  , 1 , 1 ,  ,  , 1 , 1 ,,
,,Hombre, 6 , 3 , 1 ,  ,  ,  ,  ,  , 1 ,  ,  ,  , 1 ,,
,,Mujer, 8 , 4 ,  , 2 ,  ,  ,  , 1 ,  ,  ,  , 1 ,  ,,
,Zamora Chinchipe,Total, 11 , 9 , 1 ,  , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,,
,,Hombre, 5 , 4 ,  ,  , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,,
,,Mujer, 6 , 5 , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,
,Sucumbíos,Total, 50 , 35 , 2 ,  , 5 , 3 , 1 ,  , 2 ,  , 1 , 1 ,  ,,
,,Hombre, 29 , 21 ,  ,  , 4 ,  , 1 ,  , 1 ,  , 1 , 1 ,  ,,
,,Mujer, 21 , 14 , 2 ,  , 1 , 3 ,  ,  , 1 ,  ,  ,  ,  ,,
,Orellana,Total, 34 , 17 ,  , 2 , 3 , 1 , 2 ,  , 2 , 1 , 2 , 4 ,  ,,
,,Hombre, 17 , 8 ,  , 2 , 1 , 1 , 2 ,  ,  , 1 , 1 , 1 ,  ,,
,,Mujer, 17 , 9 ,  ,  , 2 ,  ,  ,  , 2 ,  , 1 , 3 ,  ,,
Región Insular,,Total, 3 , 2 , 1 ,,,,,,,,,,,,
,,Hombre, 1 , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,
,,Mujer, 2 , 1 , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,
Región Insular,Galapagos,Total, 3 , 2 , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,
,,Hombre, 1 , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,
,,Mujer, 2 , 1 , 1 ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,
"1/ Defunciones registradas (t): corresponden a las defunciones ocurridas en el año de estudio, e inscritos hasta el 31 de diciembre de 2020.",,,,,,,,,,,,,,,,,
"p**) cifras provisionales: corresponden a los datos o indicadores que se generan con información de las defunciones ocurridas en el 2020, y que están sujetos a ajustes por registros posteriores.",,,,,,,,,,,,,,,,,
Fuente: Registro Estadístico de Defunciones Generales 2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
