,,,,,,,,,,,,,,,,
"Cuadro No. 3.1.8 
Defunciones de menores de un mes, por días de edad, según región,  provincia y sexo de residencia habitual de la madre
Año 2021 (p**)",,,,,,,,,,,,,,,,
"Regiones, provincias y sexo",,,Total,Días de edad,,,,,,,,,,,INDICE,
,,,,menor de 1 día,1 día,2 días,3 días,4 días,5 días,6 días,7 - 13 días,14 - 20 días,21 - 27 días,28 - 29 días,,
Total Nacional (t)1/,,," 1,738 ", 352 , 171 , 166 , 140 , 114 , 81 , 69 , 319 , 169 , 113 , 44 ,,
Región Sierra,,Total, 728 , 168 , 79 , 62 , 56 , 41 , 34 , 22 , 118 , 83 , 42 , 23 ,,
,,Hombre, 409 , 98 , 49 , 31 , 30 , 21 , 25 , 16 , 57 , 48 , 22 , 12 ,,
,,Mujer, 319 , 70 , 30 , 31 , 26 , 20 , 9 , 6 , 61 , 35 , 20 , 11 ,,
Región Sierra,Azuay,Total, 67 , 16 , 8 , 4 , 8 , 6 , 2 , 5 , 6 , 5 , 6 , 1 ,,
,,Hombre, 45 , 11 , 5 , 3 , 4 , 3 , 2 , 5 , 2 , 4 , 5 , 1 ,,
,,Mujer, 22 , 5 , 3 , 1 , 4 , 3 ,  ,  , 4 , 1 , 1 ,  ,,
,Bolívar,Total, 15 , 3 , 3 , 2 ,  ,  ,  ,  , 5 , 1 , 1 ,  ,,
,,Hombre, 8 , 2 , 1 , 1 ,  ,  ,  ,  , 3 ,  , 1 ,  ,,
,,Mujer, 7 , 1 , 2 , 1 ,  ,  ,  ,  , 2 , 1 ,  ,  ,,
,Cañar,Total, 10 , 2 , 1 ,  , 1 , 1 , 2 ,  , 1 ,  , 1 , 1 ,,
,,Hombre, 2 , 1 ,  ,  ,  ,  , 1 ,  ,  ,  ,  ,  ,,
,,Mujer, 8 , 1 , 1 ,  , 1 , 1 , 1 ,  , 1 ,  , 1 , 1 ,,
,Carchi,Total, 15 , 2 , 3 , 1 ,  ,  , 1 ,  , 5 , 2 , 1 ,  ,,
,,Hombre, 6 ,  , 1 ,  ,  ,  , 1 ,  , 3 , 1 ,  ,  ,,
,,Mujer, 9 , 2 , 2 , 1 ,  ,  ,  ,  , 2 , 1 , 1 ,  ,,
,Cotopaxi,Total, 66 , 15 , 9 , 6 , 5 , 4 , 1 , 4 , 8 , 8 , 3 , 3 ,,
,,Hombre, 38 , 9 , 6 , 3 , 4 , 3 , 1 , 3 , 3 , 3 , 2 , 1 ,,
,,Mujer, 28 , 6 , 3 , 3 , 1 , 1 ,  , 1 , 5 , 5 , 1 , 2 ,,
,Chimborazo,Total, 43 , 5 , 5 , 3 , 4 , 2 , 3 , 2 , 7 , 6 , 3 , 3 ,,
,,Hombre, 24 , 3 , 2 , 2 , 2 , 2 , 3 , 1 , 6 , 1 ,  , 2 ,,
,,Mujer, 19 , 2 , 3 , 1 , 2 ,  ,  , 1 , 1 , 5 , 3 , 1 ,,
,Imbabura,Total, 48 , 10 , 8 , 4 , 4 , 1 , 3 , 2 , 9 , 4 , 3 ,  ,,
,,Hombre, 20 , 6 , 5 , 1 , 1 ,  , 1 , 1 , 4 ,  , 1 ,  ,,
,,Mujer, 28 , 4 , 3 , 3 , 3 , 1 , 2 , 1 , 5 , 4 , 2 ,  ,,
,Loja,Total, 44 , 11 , 5 , 7 , 1 , 5 , 1 ,  , 4 , 7 , 2 , 1 ,,
,,Hombre, 26 , 8 , 2 , 3 ,  , 3 , 1 ,  , 3 , 4 , 2 ,  ,,
,,Mujer, 18 , 3 , 3 , 4 , 1 , 2 ,  ,  , 1 , 3 ,  , 1 ,,
,Pichincha,Total, 349 , 93 , 27 , 29 , 27 , 18 , 18 , 8 , 55 , 40 , 21 , 13 ,,
,,Hombre, 198 , 53 , 18 , 14 , 15 , 9 , 12 , 5 , 26 , 29 , 10 , 7 ,,
,,Mujer, 151 , 40 , 9 , 15 , 12 , 9 , 6 , 3 , 29 , 11 , 11 , 6 ,,
,Tungurahua,Total, 28 , 4 , 4 , 2 , 2 , 1 , 1 ,  , 7 , 5 , 1 , 1 ,,
