,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
," Cuadro No. 3.1.9
Defunciones en el año (t), por provincia y área de residencia habitual de la persona fallecida, según causas de muerte
(Lista condensada de 103 Grupos - Décima Revisión - CIE - 10)
Año 2021 (p**) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lista condensada (103 causas),Total,Total,,SecA P12 Provincia de residencia habitual del fallecido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE
,,,Total,,Azuay,,,Bolívar,,,Cañar,,,Carchi,,,Cotopaxi,,,Chimborazo,,,El Oro,,,Esmeraldas,,,Guayas,,,Imbabura,,,Loja,,,Los Ríos,,,Manabí,,,Morona Santiago,,,Napo,,,Pastaza,,,Pichincha,,,Tungurahua,,,Zamora Chinchipe,,,Galápagos,,,Sucumbíos,,,Orellana,,,Santo Domingo de los Tsáchilas,,,Santa Elena,,,Exterior,,,
,,,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,Rural,Total,Urbano,,
, Total ," 105,248 "," 81,522 "," 23,726 "," 5,076 "," 3,020 "," 2,056 "," 1,410 ", 959 , 451 ," 1,632 "," 1,033 ", 599 ," 1,226 ", 869 , 357 ," 3,010 "," 1,847 "," 1,163 "," 3,406 "," 2,196 "," 1,210 "," 4,996 "," 4,310 ", 686 ," 2,763 "," 1,841 ", 922 ," 28,222 "," 26,688 "," 1,534 "," 2,942 "," 1,976 ", 966 ," 3,529 "," 2,366 "," 1,163 "," 5,777 "," 4,640 "," 1,137 "," 9,782 "," 7,772 "," 2,010 ", 726 , 411 , 315 , 582 , 333 , 249 , 465 , 317 , 148 ," 18,464 "," 13,394 "," 5,070 "," 4,118 "," 2,364 "," 1,754 ", 522 , 344 , 178 , 82 , 67 , 15 , 980 , 687 , 293 , 689 , 375 , 314 ," 2,848 "," 2,382 ", 466 ," 1,972 "," 1,302 ", 670 , 29 , 29 ,,
, 003 Diarrea y gastroenteritis de presunto origen infeccioso , 99 , 63 , 36 , 10 , 3 , 7 , 6 , 3 , 3 , 1 , 1 , - , - , - , - , 2 , - , 2 , 5 , 2 , 3 , 6 , 6 , - , 3 , 1 , 2 , 19 , 13 , 6 , 4 , 4 , - , 6 , - , 6 , 4 , 4 , - , 5 , 5 , - , 4 , 3 , 1 , - , - , - , 3 , 3 , - , 10 , 8 , 2 , - , - , - , 1 , - , 1 , 1 , 1 , - , 1 , - , 1 , 1 , 1 , - , 5 , 4 , 1 , 2 , 1 , 1 , - , - ,,
, 004 Otras enfermedades infecciosas intestinales , 26 , 20 , 6 , 1 , 1 , - , 2 , - , 2 , - , - , - , 1 , 1 , - , 1 , - , 1 , - , - , - , 1 , 1 , - , 1 , 1 , - , 7 , 6 , 1 , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , 1 , 1 , - , 5 , 5 , - , 2 , 1 , 1 , - , - , - , - , - , - , 1 , 1 , - , 1 , - , 1 , 1 , 1 , - , - , - , - , - , - ,,
, 005 Tuberculosis respiratoria , 453 , 393 , 60 , 9 , 3 , 6 , 4 , 3 , 1 , 5 , 4 , 1 , - , - , - , 3 , 1 , 2 , 3 , 2 , 1 , 16 , 15 , 1 , 28 , 17 , 11 , 282 , 272 , 10 , 7 , 5 , 2 , 9 , 6 , 3 , 19 , 17 , 2 , 20 , 18 , 2 , 2 , 1 , 1 , 4 , 1 , 3 , 1 , 1 , - , 16 , 13 , 3 , 7 , 1 , 6 , 2 , 2 , - , - , - , - , 2 , 1 , 1 , 3 , - , 3 , 5 , 4 , 1 , 6 , 6 , - , - , - ,,
, 006 Otras tuberculosis , 76 , 61 , 15 , 1 , - , 1 , - , - , - , 1 , - , 1 , 1 , 1 , - , 2 , 2 , - , 2 , - , 2 , 3 , 3 , - , 2 , 2 , - , 38 , 34 , 4 , - , - , - , 3 , 1 , 2 , 5 , 4 , 1 , 2 , 1 , 1 , - , - , - , - , - , - , - , - , - , 4 , 3 , 1 , 3 , 2 , 1 , 1 , 1 , - , - , - , - , - , - , - , - , - , - , 3 , 3 , - , 5 , 4 , 1 , - , - ,,
, 008 Tétanos , 6 , 3 , 3 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 1 , 1 , - , 1 , 1 , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - ,,
, 011 Infección meningococica , 3 , 1 , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
, 012 Septicemia ," 1,171 ", 988 , 183 , 30 , 15 , 15 , 11 , 7 , 4 , 15 , 11 , 4 , 4 , 4 , - , 14 , 9 , 5 , 21 , 14 , 7 , 56 , 45 , 11 , 18 , 9 , 9 , 550 , 527 , 23 , 14 , 11 , 3 , 21 , 13 , 8 , 48 , 37 , 11 , 157 , 131 , 26 , 6 , 4 , 2 , 5 , 5 , - , 1 , 1 , - , 108 , 81 , 27 , 31 , 19 , 12 , 4 , 3 , 1 , 1 , - , 1 , 7 , 5 , 2 , 4 , 1 , 3 , 25 , 23 , 2 , 20 , 13 , 7 , - , - ,,
, 013 Infecciones con un modo de transm.predom.sexual , 3 , 2 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
, 017 Ot fieb virals transm. por artropod y fieb. hemorr. vir. , 37 , 34 , 3 , 1 , 1 , - , - , - , - , - , - , - , - , - , - , 2 , 2 , - , - , - , - , - , - , - , 3 , 3 , - , 18 , 17 , 1 , - , - , - , - , - , - , 5 , 5 , - , 1 , 1 , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , 2 , 1 , 1 , - , - , - , - , - , - , 3 , 2 , 1 , - , - ,,
, 019 Hepatitis viral , 15 , 14 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 , 2 , 2 , - , 1 , 1 , - , 3 , 3 , - , 2 , 2 , - , - , - , - , 1 , 1 , - , 2 , 2 , - , - , - , - , - , - , - , - , - , - , 2 , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - ,,
, 020 Enf por virus de la inmunodeficiencia humana (VIH) , 580 , 495 , 85 , 11 , 6 , 5 , 2 , 2 , - , 4 , 4 , - , - , - , - , 3 , 1 , 2 , 6 , 4 , 2 , 38 , 33 , 5 , 33 , 22 , 11 , 242 , 233 , 9 , 8 , 6 , 2 , 3 , 3 , - , 62 , 50 , 12 , 38 , 34 , 4 , 4 , - , 4 , 1 , 1 , - , 4 , 3 , 1 , 51 , 37 , 14 , 17 , 12 , 5 , 2 , 2 , - , 2 , 2 , - , 5 , 4 , 1 , 7 , 6 , 1 , 21 , 16 , 5 , 16 , 14 , 2 , - , - ,,
, 021 Paludismo (Malaria) , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,
, 022 Leishmaniasis , 4 , 3 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 1 , - , 1 , - , - , - , 1 , 1 , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - ,,
, 023 Tripanosomiasis , 4 , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 1 , 1 , - , - , - , - , - , - , - , - , - ,,
, 025 Resto de ciertas enfermedades infecciosas y parasitarias , 288 , 236 , 52 , 9 , 6 , 3 , 3 , 3 , - , 4 , 3 , 1 , - , - , - , 41 , 27 , 14 , 3 , 2 , 1 , 12 , 11 , 1 , 7 , 7 , - , 94 , 89 , 5 , - , - , - , 4 , 3 , 1 , 17 , 16 , 1 , 17 , 15 , 2 , 6 , 4 , 2 , 2 , 1 , 1 , 3 , 1 , 2 , 48 , 35 , 13 , 4 , 2 , 2 , 3 , 1 , 2 , - , - , - , 2 , 2 , - , 1 , 1 , - , 7 , 6 , 1 , 1 , 1 , - , - , - ,,
, 027 Tumor maligno del labio de la cavidad bucal y de la faringe , 180 , 142 , 38 , 11 , 6 , 5 , 2 , 1 , 1 , 3 , 3 , - , 2 , 2 , - , 3 , 2 , 1 , 1 , 1 , - , 9 , 7 , 2 , 5 , 1 , 4 , 69 , 69 , - , 7 , 4 , 3 , 5 , 4 , 1 , 7 , 6 , 1 , 8 , 7 , 1 , 2 , 1 , 1 , - , - , - , - , - , - , 30 , 20 , 10 , 6 , 3 , 3 , - , - , - , - , - , - , - , - , - , - , - , - , 5 , 2 , 3 , 5 , 3 , 2 , - , - ,,
, 028 Tumor maligno del esófago , 124 , 80 , 44 , 2 , 2 , - , 2 , 1 , 1 , 1 , - , 1 , 4 , 3 , 1 , 6 , 3 , 3 , 6 , 1 , 5 , 5 , 5 , - , 4 , 1 , 3 , 25 , 20 , 5 , 3 , 3 , - , - , - , - , 6 , 3 , 3 , 10 , 7 , 3 , 1 , - , 1 , 2 , 2 , - , 2 , 1 , 1 , 28 , 19 , 9 , 11 , 4 , 7 , 1 , 1 , - , - , - , - , 1 , 1 , - , 1 , 1 , - , 1 , 1 , - , 2 , 1 , 1 , - , - ,,
, 029 Tumor maligno del estomago ," 1,739 "," 1,237 ", 502 , 120 , 59 , 61 , 37 , 27 , 10 , 42 , 28 , 14 , 13 , 10 , 3 , 85 , 46 , 39 , 73 , 34 , 39 , 68 , 59 , 9 , 46 , 35 , 11 , 362 , 332 , 30 , 75 , 56 , 19 , 78 , 46 , 32 , 70 , 58 , 12 , 159 , 112 , 47 , 9 , 4 , 5 , 3 , 3 , - , 7 , 5 , 2 , 305 , 201 , 104 , 74 , 41 , 33 , 9 , 5 , 4 , 1 , 1 , - , 10 , 10 , - , 8 , 6 , 2 , 51 , 37 , 14 , 34 , 22 , 12 , - , - ,,
, 030 Tumor maligno del colon  del recto y del ano , 969 , 781 , 188 , 67 , 43 , 24 , 12 , 5 , 7 , 12 , 5 , 7 , 13 , 10 , 3 , 18 , 15 , 3 , 26 , 21 , 5 , 47 , 42 , 5 , 26 , 14 , 12 , 260 , 244 , 16 , 34 , 27 , 7 , 32 , 24 , 8 , 45 , 32 , 13 , 90 , 77 , 13 , 2 , 1 , 1 , 6 , 2 , 4 , 5 , 5 , - , 190 , 143 , 47 , 29 , 21 , 8 , 3 , 1 , 2 , 1 , 1 , - , 5 , 5 , - , 2 , 2 , - , 30 , 28 , 2 , 14 , 13 , 1 , - , - ,,
, 031 Tumor maligno del hígado y de las vías biliares intrahepat , 821 , 611 , 210 , 48 , 26 , 22 , 7 , 4 , 3 , 14 , 12 , 2 , 10 , 5 , 5 , 20 , 14 , 6 , 31 , 20 , 11 , 42 , 30 , 12 , 17 , 10 , 7 , 167 , 163 , 4 , 32 , 21 , 11 , 37 , 24 , 13 , 34 , 31 , 3 , 92 , 77 , 15 , 12 , 6 , 6 , 4 , 3 , 1 , 4 , 4 , - , 138 , 92 , 46 , 43 , 25 , 18 , 3 , 1 , 2 , - , - , - , 9 , 6 , 3 , 1 , - , 1 , 27 , 22 , 5 , 29 , 15 , 14 , - , - ,,
, 032 Tumor maligno del páncreas , 537 , 403 , 134 , 39 , 23 , 16 , 10 , 8 , 2 , 7 , 5 , 2 , 8 , 5 , 3 , 11 , 8 , 3 , 16 , 9 , 7 , 20 , 16 , 4 , 9 , 7 , 2 , 130 , 124 , 6 , 18 , 10 , 8 , 19 , 15 , 4 , 19 , 15 , 4 , 37 , 30 , 7 , 3 , 2 , 1 , 1 , - , 1 , - , - , - , 145 , 91 , 54 , 23 , 15 , 8 , 2 , 2 , - , - , - , - , 3 , 3 , - , 1 , 1 , - , 10 , 8 , 2 , 6 , 6 , - , - , - ,,
, 033 Tumor maligno de la laringe , 51 , 45 , 6 , 2 , 1 , 1 , 2 , 2 , - , - , - , - , 1 , 1 , - , - , - , - , 1 , 1 , - , 3 , 2 , 1 , 1 , 1 , - , 17 , 17 , - , 2 , 2 , - , 1 , - , 1 , 1 , 1 , - , 7 , 5 , 2 , - , - , - , - , - , - , - , - , - , 7 , 6 , 1 , 2 , 2 , - , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 2 , - , 2 , 2 , - , - , - ,,
, 034 Tumor maligno de la tráquea de los bronquios y del pulmón , 664 , 527 , 137 , 47 , 32 , 15 , 14 , 10 , 4 , 13 , 11 , 2 , 5 , 3 , 2 , 8 , 5 , 3 , 14 , 12 , 2 , 22 , 16 , 6 , 21 , 20 , 1 , 176 , 172 , 4 , 21 , 15 , 6 , 26 , 18 , 8 , 36 , 28 , 8 , 51 , 41 , 10 , 4 , 3 , 1 , 5 , 4 , 1 , 2 , 1 , 1 , 142 , 98 , 44 , 20 , 11 , 9 , 2 , 2 , - , - , - , - , 5 , 4 , 1 , 1 , 1 , - , 19 , 12 , 7 , 10 , 8 , 2 , - , - ,,
, 035 Melanoma maligno de la piel , 99 , 74 , 25 , 10 , 7 , 3 , 1 , 1 , - , 1 , 1 , - , 1 , - , 1 , 5 , 2 , 3 , 2 , 2 , - , 1 , 1 , - , 1 , 1 , - , 17 , 17 , - , 7 , 3 , 4 , 5 , 4 , 1 , 1 , 1 , - , 5 , 5 , - , - , - , - , - , - , - , - , - , - , 31 , 21 , 10 , 9 , 6 , 3 , - , - , - , - , - , - , - , - , - , - , - , - , 2 , 2 , - , - , - , - , - , - ,,
, 036 Tumor maligno de la mama , 760 , 628 , 132 , 28 , 24 , 4 , 6 , 4 , 2 , 5 , 5 , - , 10 , 7 , 3 , 14 , 12 , 2 , 20 , 18 , 2 , 19 , 17 , 2 , 19 , 15 , 4 , 221 , 215 , 6 , 22 , 17 , 5 , 28 , 21 , 7 , 34 , 28 , 6 , 79 , 66 , 13 , 3 , - , 3 , 2 , 2 , - , 3 , 1 , 2 , 187 , 135 , 52 , 20 , 12 , 8 , 2 , 1 , 1 , - , - , - , 6 , 4 , 2 , 5 , 3 , 2 , 21 , 17 , 4 , 6 , 4 , 2 , - , - ,,
, 037 Tumor maligno del cuello del útero , 505 , 377 , 128 , 16 , 9 , 7 , 11 , 8 , 3 , 6 , 4 , 2 , 12 , 10 , 2 , 24 , 10 , 14 , 19 , 14 , 5 , 16 , 12 , 4 , 19 , 13 , 6 , 99 , 92 , 7 , 27 , 15 , 12 , 20 , 13 , 7 , 25 , 19 , 6 , 33 , 28 , 5 , 5 , 5 , - , 6 , 4 , 2 , 3 , 2 , 1 , 102 , 72 , 30 , 18 , 11 , 7 , - , - , - , 1 , - , 1 , 9 , 6 , 3 , 7 , 6 , 1 , 22 , 20 , 2 , 4 , 3 , 1 , 1 , 1 ,,
, 038 Tumor maligno de las partes y de las no especificadas del útero , 377 , 289 , 88 , 34 , 19 , 15 , 5 , 4 , 1 , 1 , - , 1 , 4 , 4 , - , 2 , 1 , 1 , 6 , 5 , 1 , 21 , 17 , 4 , 9 , 7 , 2 , 135 , 118 , 17 , 10 , 6 , 4 , 14 , 12 , 2 , 19 , 13 , 6 , 30 , 21 , 9 , 3 , 3 , - , 2 , 2 , - , - , - , - , 45 , 28 , 17 , 14 , 9 , 5 , - , - , - , - , - , - , 2 , 1 , 1 , - , - , - , 12 , 12 , - , 9 , 7 , 2 , - , - ,,
, 039 Tumor maligno del ovario , 266 , 196 , 70 , 9 , 4 , 5 , 1 , 1 , - , 2 , 1 , 1 , 6 , 3 , 3 , 7 , 6 , 1 , 12 , 10 , 2 , 7 , 6 , 1 , 7 , 4 , 3 , 63 , 60 , 3 , 8 , 7 , 1 , 15 , 9 , 6 , 5 , 5 , - , 26 , 19 , 7 , 1 , - , 1 , 2 , 1 , 1 , 2 , - , 2 , 55 , 37 , 18 , 15 , 6 , 9 , - , - , - , - , - , - , 3 , 2 , 1 , 1 , 1 , - , 11 , 8 , 3 , 8 , 6 , 2 , - , - ,,
, 040 Tumor maligno de la próstata ," 1,152 ", 848 , 304 , 53 , 33 , 20 , 14 , 11 , 3 , 20 , 10 , 10 , 21 , 17 , 4 , 42 , 22 , 20 , 40 , 27 , 13 , 47 , 43 , 4 , 37 , 29 , 8 , 283 , 260 , 23 , 45 , 28 , 17 , 56 , 32 , 24 , 72 , 58 , 14 , 117 , 75 , 42 , 2 , 1 , 1 , 3 , 3 , - , 4 , 3 , 1 , 183 , 121 , 62 , 49 , 25 , 24 , 5 , 3 , 2 , - , - , - , 5 , 4 , 1 , 6 , 3 , 3 , 36 , 32 , 4 , 12 , 8 , 4 , - , - ,,
, 041 Tumor maligno de la vejiga urinaria , 135 , 105 , 30 , 6 , 5 , 1 , 4 , 3 , 1 , 3 , 1 , 2 , 2 , 2 , - , 2 , 2 , - , 4 , 3 , 1 , 10 , 7 , 3 , 3 , 3 , - , 27 , 27 , - , 6 , 6 , - , 4 , 3 , 1 , 3 , 3 , - , 19 , 16 , 3 , 1 , 1 , - , - , - , - , - , - , - , 32 , 18 , 14 , 5 , 3 , 2 , 1 , - , 1 , - , - , - , - , - , - , - , - , - , 1 , 1 , - , 2 , 1 , 1 , - , - ,,
," 042 Tumor maligno de la mening, del encefalo y de otras partes del snc ", 378 , 283 , 95 , 26 , 15 , 11 , 5 , 3 , 2 , 9 , 6 , 3 , 3 , 1 , 2 , 11 , 6 , 5 , 10 , 6 , 4 , 18 , 16 , 2 , 10 , 7 , 3 , 87 , 83 , 4 , 18 , 12 , 6 , 11 , 7 , 4 , 16 , 15 , 1 , 19 , 18 , 1 , 1 , 1 , - , 1 , - , 1 , 3 , 2 , 1 , 86 , 54 , 32 , 19 , 9 , 10 , 4 , 4 , - , 1 , 1 , - , 4 , 4 , - , 1 , 1 , - , 11 , 8 , 3 , 4 , 4 , - , - , - ,,
, 043 Linfoma no Hodgkin , 413 , 320 , 93 , 31 , 21 , 10 , 10 , 7 , 3 , 7 , 4 , 3 , 6 , 5 , 1 , 13 , 11 , 2 , 19 , 13 , 6 , 24 , 23 , 1 , 6 , 5 , 1 , 74 , 70 , 4 , 16 , 10 , 6 , 14 , 9 , 5 , 6 , 6 , - , 25 , 21 , 4 , 2 , 2 , - , 2 , 1 , 1 , 4 , 4 , - , 109 , 77 , 32 , 19 , 11 , 8 , 1 , - , 1 , 1 , 1 , - , 3 , 2 , 1 , 2 , 2 , - , 11 , 9 , 2 , 8 , 6 , 2 , - , - ,,
, 044 Mieloma multiple y tumores malignos de célula plasmáticas , 145 , 110 , 35 , 13 , 9 , 4 , 2 , 1 , 1 , 2 , - , 2 , 2 , 1 , 1 , 4 , 2 , 2 , 3 , 3 , - , 4 , 4 , - , 2 , 1 , 1 , 36 , 32 , 4 , 6 , 4 , 2 , 2 , 2 , - , 4 , 2 , 2 , 13 , 10 , 3 , 1 , 1 , - , - , - , - , - , - , - , 42 , 31 , 11 , 6 , 6 , - , - , - , - , - , - , - , 1 , - , 1 , - , - , - , 1 , - , 1 , 1 , 1 , - , - , - ,,
, 045 Leucemia , 576 , 421 , 155 , 43 , 22 , 21 , 6 , 5 , 1 , 8 , 4 , 4 , 4 , - , 4 , 19 , 11 , 8 , 13 , 9 , 4 , 22 , 17 , 5 , 20 , 15 , 5 , 125 , 118 , 7 , 17 , 9 , 8 , 26 , 16 , 10 , 31 , 23 , 8 , 38 , 31 , 7 , 5 , 3 , 2 , 3 , 1 , 2 , 5 , 4 , 1 , 120 , 82 , 38 , 27 , 15 , 12 , 2 , 1 , 1 , 1 , 1 , - , 7 , 5 , 2 , 3 , 3 , - , 19 , 19 , - , 12 , 7 , 5 , - , - ,,
, 046 Resto de tumores malignos ," 2,052 "," 1,519 ", 533 , 155 , 98 , 57 , 34 , 24 , 10 , 30 , 19 , 11 , 35 , 28 , 7 , 58 , 32 , 26 , 78 , 51 , 27 , 104 , 87 , 17 , 44 , 29 , 15 , 393 , 378 , 15 , 73 , 43 , 30 , 86 , 57 , 29 , 88 , 69 , 19 , 160 , 134 , 26 , 9 , 7 , 2 , 9 , 9 , - , 8 , 4 , 4 , 469 , 311 , 158 , 95 , 46 , 49 , 16 , 10 , 6 , 2 , 2 , - , 23 , 19 , 4 , 8 , 6 , 2 , 48 , 38 , 10 , 27 , 18 , 9 , - , - ,,
, 047 Resto de tumores , 940 , 750 , 190 , 37 , 22 , 15 , 11 , 9 , 2 , 18 , 11 , 7 , 7 , 3 , 4 , 24 , 12 , 12 , 31 , 20 , 11 , 47 , 41 , 6 , 29 , 17 , 12 , 289 , 280 , 9 , 28 , 19 , 9 , 31 , 22 , 9 , 62 , 50 , 12 , 71 , 62 , 9 , 5 , 4 , 1 , 4 , 2 , 2 , 5 , 4 , 1 , 141 , 103 , 38 , 36 , 25 , 11 , 1 , 1 , - , 2 , 2 , - , 16 , 10 , 6 , 4 , 2 , 2 , 18 , 14 , 4 , 23 , 15 , 8 , - , - ,,
, 049 Anemias , 390 , 300 , 90 , 15 , 9 , 6 , 14 , 6 , 8 , 4 , 1 , 3 , 4 , 3 , 1 , 7 , 3 , 4 , 7 , 3 , 4 , 27 , 22 , 5 , 11 , 4 , 7 , 94 , 89 , 5 , 8 , 6 , 2 , 19 , 13 , 6 , 42 , 31 , 11 , 43 , 37 , 6 , 1 , - , 1 , - , - , - , 2 , 1 , 1 , 43 , 32 , 11 , 17 , 14 , 3 , 4 , 4 , - , - , - , - , 2 , 2 , - , 2 , 2 , - , 7 , 5 , 2 , 17 , 13 , 4 , - , - ,,
, 050 Resto de enfermedades de la sangre y organos hematopoyéticos y otros transtornos que afectan al mecanismo inmunoló , 176 , 143 , 33 , 10 , 6 , 4 , 4 , 4 , - , 2 , 1 , 1 , 3 , 3 , - , 4 , 2 , 2 , 7 , 6 , 1 , 11 , 9 , 2 , 2 , 1 , 1 , 34 , 33 , 1 , 7 , 6 , 1 , 4 , 4 , - , 12 , 8 , 4 , 12 , 11 , 1 , - , - , - , 4 , 3 , 1 , - , - , - , 42 , 33 , 9 , 5 , 2 , 3 , 1 , 1 , - , - , - , - , - , - , - , 2 , - , 2 , 4 , 4 , - , 6 , 6 , - , - , - ,,
, 052 Diabetes mellitus ," 5,564 "," 4,485 "," 1,079 ", 174 , 105 , 69 , 61 , 50 , 11 , 83 , 58 , 25 , 43 , 28 , 15 , 100 , 72 , 28 , 119 , 101 , 18 , 275 , 249 , 26 , 172 , 112 , 60 ," 1,870 "," 1,712 ", 158 , 103 , 74 , 29 , 141 , 91 , 50 , 431 , 356 , 75 , 746 , 569 , 177 , 23 , 12 , 11 , 13 , 8 , 5 , 19 , 14 , 5 , 573 , 416 , 157 , 128 , 80 , 48 , 21 , 16 , 5 , 2 , 2 , - , 42 , 36 , 6 , 12 , 10 , 2 , 210 , 168 , 42 , 202 , 145 , 57 , 1 , 1 ,,
, 053 Desnutrición , 375 , 261 , 114 , 25 , 15 , 10 , 11 , 8 , 3 , 2 , 2 , - , 6 , 3 , 3 , 28 , 13 , 15 , 21 , 9 , 12 , 11 , 10 , 1 , 5 , 2 , 3 , 69 , 65 , 4 , 15 , 4 , 11 , 8 , 5 , 3 , 27 , 23 , 4 , 45 , 40 , 5 , 4 , 2 , 2 , 1 , - , 1 , 3 , 1 , 2 , 58 , 41 , 17 , 14 , 6 , 8 , 1 , - , 1 , 1 , 1 , - , 1 , 1 , - , 3 , 1 , 2 , 7 , 7 , - , 9 , 2 , 7 , - , - ,,
