,,,,,,,,,,,,,,,,,,,,,,,,,,
"ANEXO No. 5.1
Proyección de población a nivel nacional
 1990 - 2021",,,,,,,,,,,,,,,,,,,,,,,,,,
Años,Proyecciones población 1/,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Hombre,Mujer,,INDICE,,,,,,,,,,,,,,,,,,,,,
1990,"10,149,666","5,098,988","5,050,678",,,,,,,,,,,,,,,,,,,,,,,
1991,"10,355,598","5,201,174","5,154,424",,,,,,,,,,,,,,,,,,,,,,,
1992,"10,567,946","5,306,547","5,261,399",,,,,,,,,,,,,,,,,,,,,,,
1993,"10,786,984","5,415,226","5,371,758",,,,,,,,,,,,,,,,,,,,,,,
1994,"11,012,925","5,527,302","5,485,623",,,,,,,,,,,,,,,,,,,,,,,
1995,"11,246,107","5,642,924","5,603,183",,,,,,,,,,,,,,,,,,,,,,,
1996,"11,486,884","5,762,327","5,724,557",,,,,,,,,,,,,,,,,,,,,,,
1997,"11,735,391","5,885,530","5,849,861",,,,,,,,,,,,,,,,,,,,,,,
1998,"11,992,073","6,012,789","5,979,284",,,,,,,,,,,,,,,,,,,,,,,
1999,"12,257,190","6,144,204","6,112,986",,,,,,,,,,,,,,,,,,,,,,,
2000,"12,531,210","6,279,998","6,251,212",,,,,,,,,,,,,,,,,,,,,,,
2001,"12,814,503","6,420,387","6,394,116",,,,,,,,,,,,,,,,,,,,,,,
2002,"13,093,527","6,712,509","6,381,018",,,,,,,,,,,,,,,,,,,,,,,
2003,"13,319,575","6,821,153","6,498,422",,,,,,,,,,,,,,,,,,,,,,,
2004,"13,551,875","6,932,731","6,619,144",,,,,,,,,,,,,,,,,,,,,,,
2005,"13,721,297","6,842,019","6,879,278",,,,,,,,,,,,,,,,,,,,,,,
2006,"13,964,606","6,955,272","7,009,334",,,,,,,,,,,,,,,,,,,,,,,
2007,"14,214,982","7,071,884","7,143,098",,,,,,,,,,,,,,,,,,,,,,,
2008,"14,472,881","7,192,128","7,280,753",,,,,,,,,,,,,,,,,,,,,,,
2009,"14,738,472","7,316,020","7,422,452",,,,,,,,,,,,,,,,,,,,,,,
2010,"15,012,228","7,443,875","7,568,353",,,,,,,,,,,,,,,,,,,,,,,
2011,"15,266,431","7,567,676","7,698,755",,,,,,,,,,,,,,,,,,,,,,,
2012,"15,520,973","7,691,912","7,829,061",,,,,,,,,,,,,,,,,,,,,,,
2013,"15,774,749","7,815,935","7,958,814",,,,,,,,,,,,,,,,,,,,,,,
2014,"16,027,466","7,939,552","8,087,914",,,,,,,,,,,,,,,,,,,,,,,
2015,"16,278,844","8,062,610","8,216,234",,,,,,,,,,,,,,,,,,,,,,,
2016,"16,528,730","8,184,970","8,343,760",,,,,,,,,,,,,,,,,,,,,,,
2017,"16,776,977","8,306,557","8,470,420",,,,,,,,,,,,,,,,,,,,,,,
2018," 17,023,408 "," 8,427,261 "," 8,596,147 ",,,,,,,,,,,,,,,,,,,,,,,
2019," 17,267,986 "," 8,547,067 "," 8,720,919 ",,,,,,,,,,,,,,,,,,,,,,,
2020," 17,510,643 "," 8,665,937 "," 8,844,706 ",,,,,,,,,,,,,,,,,,,,,,,
2021," 17,751,277 "," 8,783,789 "," 8,967,488 ",,,,,,,,,,,,,,,,,,,,,,,
"1/ La proyección de población de los años 1990-2019, corresponde a las estimaciones  en base al Censo de Población 2010.",,,,,,,,,,,,,,,,,,,,,,,,,,
