Satisfacción del servicio recibido por parte de la Fiscalía General del Estado;;;;;;;;
;;;;;;;;
Periodo ;Desagregación;"Estimación
";"Error estándar 
";"Límite inferior
";"Límite superior 
";"Coeficiente de variación
";Numerador muestral;Denominador muestral 
2018;Nacional ;5,94;0,143;5,66;6,22;2,40;6.250;1.039
;Urbana ;5,91;0,160;5,60;6,23;2,71;4.634;771
;Rural ;6,05;0,310;5,44;6,66;5,12;1.616;268
2019;Nacional ;5,46;0,113;5,24;5,68;2,07;4.223;774
;Urbana ;5,38;0,129;5,13;5,64;2,40;3.157;591
;Rural ;5,82;0,209;5,41;6,23;3,58;1.066;183
2020;Nacional ;4,91;0,213;4,49;5,33;4,33;2.677;509
;Urbana ;4,72;0,256;4,22;5,22;5,43;1.338;272
;Rural ;5,66;0,259;5,15;6,17;4,58;1.339;237
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
